pickup_date,pickup_month,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2019-05-01,2019-05,0,HV0003,Uber,14105,76922.0,13826794,217888.02,5507.93,215587.79,0,13451.75,3900,2923
2019-05-01,2019-05,1,HV0003,Uber,8538,44333.2,7705907,120664.95,2785.07,119397.71,0,7899.5,2531,1723
2019-05-01,2019-05,2,HV0003,Uber,5647,29435.43,4965908,77674.94,1614.08,78202.58,0,4762.0,1667,1073
2019-05-01,2019-05,3,HV0003,Uber,3972,22960.04,3617760,61455.34,1532.32,60297.03,0,3042.5,1131,680
2019-05-01,2019-05,4,HV0003,Uber,4756,31366.95,4604332,87851.65,2450.19,83476.77,0,4064.0,1100,666
2019-05-01,2019-05,5,HV0003,Uber,7627,51799.54,7822222,150742.83,3894.51,139424.01,0,7102.0,1427,858
2019-05-01,2019-05,6,HV0003,Uber,14184,77649.03,15281710,253190.96,6032.87,236540.93,0,12878.0,2789,1923
2019-05-01,2019-05,7,HV0003,Uber,24270,101286.77,27453492,408394.33999999997,9998.029999999999,390327.39,0,20596.75,4026,2950
2019-05-01,2019-05,8,HV0003,Uber,29769,116506.04,34264513,488869.08,11783.63,471539.85,0,27040.0,5514,4091
2019-05-01,2019-05,9,HV0003,Uber,26094,109456.81,30660623,417239.78,11559.88,408902.18,0,26316.5,5363,3937
2019-05-01,2019-05,10,HV0003,Uber,20517,92137.47,24255351,335812.35,9979.97,332816.83999999997,0,21192.0,4359,3042
2019-05-01,2019-05,11,HV0003,Uber,19493,90523.81,23602077,333026.18,10671.92,325716.97,0,20980.25,4376,3056
2019-05-01,2019-05,12,HV0003,Uber,19388,91068.48,23077536,329242.95,11021.62,325060.68,0,19799.75,4476,3093
2019-05-01,2019-05,13,HV0003,Uber,20605,99533.23000000001,24938284,358294.32,11670.32,351915.72,0,20373.25,4890,3451
2019-05-01,2019-05,14,HV0003,Uber,22996,106138.17,30361112,412965.0,12466.39,405352.43,0,22009.75,5308,3789
2019-05-01,2019-05,15,HV0003,Uber,24398,109078.24,33592226,445083.75,13264.71,435338.04,0,23795.5,5708,4171
2019-05-01,2019-05,16,HV0003,Uber,25485,112540.39,34734225,456664.76,14329.55,447841.26,0,25072.0,5971,4389
2019-05-01,2019-05,17,HV0003,Uber,31205,127077.07,40870397,508378.62,15496.43,511421.88,0,31756.75,7648,6046
2019-05-01,2019-05,18,HV0003,Uber,34465,137405.55,40176403,522655.29,16085.12,525847.8,0,38184.5,8090,6475
2019-05-01,2019-05,19,HV0003,Uber,33110,139599.11,35198112,484331.15,14300.460000000001,484351.0,0,36179.0,7878,6274
2019-05-01,2019-05,20,HV0003,Uber,33346,159430.46,34908839,534581.1,16203.49,541527.3,0,36466.75,7969,2715
2019-05-01,2019-05,21,HV0003,Uber,31967,165483.36000000002,33211480,554851.6,16519.86,551186.62,0,35270.0,7198,2391
2019-05-01,2019-05,22,HV0003,Uber,28775,151411.6,29119905,518934.39,15250.87,504896.39,0,32622.0,6123,2362
2019-05-01,2019-05,23,HV0003,Uber,22241,114876.26,21381590,363506.82,9258.58,356443.69,0,24471.25,5229,1575
2019-05-02,2019-05,0,HV0003,Uber,14588,76214.73999999999,13444067,222596.08,6108.62,224920.19999999998,0,14179.5,3928,927
2019-05-02,2019-05,1,HV0003,Uber,8694,44345.31,7514575,125387.09,2825.4,127619.01,0,8148.75,2505,406
2019-05-02,2019-05,2,HV0003,Uber,5574,27995.45,4653126,77940.39,1848.62,79407.07,0,4912.5,1509,230
2019-05-02,2019-05,3,HV0003,Uber,4182,23350.14,3576859,64093.26,1467.31,64340.01,0,3306.25,1155,119
2019-05-02,2019-05,4,HV0003,Uber,5020,33432.55,4681849,93420.41,2859.84,90373.62,0,4457.5,1120,137
2019-05-02,2019-05,5,HV0003,Uber,8163,55869.69,8333694,163575.81,4260.51,154696.76,0,7908.0,1492,234
2019-05-02,2019-05,6,HV0003,Uber,14998,85127.4,16255350,281555.48,6972.93,268729.35,0,13357.5,2923,526
2019-05-02,2019-05,7,HV0003,Uber,24829,104485.67,27571117,427200.97,10663.15,413310.26,0,21294.75,4037,810
2019-05-02,2019-05,8,HV0003,Uber,29803,114237.41,33780898,488031.24,12488.43,482555.11,0,27815.5,5276,1049
2019-05-02,2019-05,9,HV0003,Uber,25754,105953.06,29265986,410407.28,11253.66,408083.63999999996,0,25741.25,5295,844
2019-05-02,2019-05,10,HV0003,Uber,21271,94910.11,24818722,356515.29,11031.08,357301.35,0,22231.75,4590,606
2019-05-02,2019-05,11,HV0003,Uber,19459,90004.1,23033957,336747.83,10988.69,336390.97,0,20484.0,4286,502
2019-05-02,2019-05,12,HV0003,Uber,19646,92958.65,23336744,347304.67,10960.93,344526.7,0,20686.5,4299,503
2019-05-02,2019-05,13,HV0003,Uber,21250,103556.18,25886213,384402.08999999997,12367.380000000001,383031.33999999997,0,21100.75,4885,665
2019-05-02,2019-05,14,HV0003,Uber,23426,109207.16,31847535,440931.58,13737.3,438072.74,0,22773.0,5174,1723
2019-05-02,2019-05,15,HV0003,Uber,24416,113460.7,37008894,486000.32,15000.55,477254.88,0,24944.75,5140,3454
2019-05-02,2019-05,16,HV0003,Uber,25783,113491.61,38730667,497072.89,15271.349999999999,488026.76,0,26204.5,5433,3963
2019-05-02,2019-05,17,HV0003,Uber,31075,125805.09,43613971,555289.55,16586.31,548538.64,0,31593.0,6728,5263
2019-05-02,2019-05,18,HV0003,Uber,33691,133789.44,41469678,565120.22,16593.0,554128.7200000001,0,36979.0,7073,5612
2019-05-02,2019-05,19,HV0003,Uber,33653,145348.84,37763616,531027.13,15278.94,519278.56,0,36752.0,7197,5792
2019-05-02,2019-05,20,HV0003,Uber,36964,167726.69,40886574,611548.83,17905.86,595787.86,0,42477.25,7804,6506
2019-05-02,2019-05,21,HV0003,Uber,40140,189558.6,44957249,763517.99,22464.55,738776.0800000001,0,44550.5,8650,7323
2019-05-02,2019-05,22,HV0003,Uber,34630,181058.65,39610468,697097.72,19745.27,664595.16,0,38196.25,7226,6144
2019-05-02,2019-05,23,HV0003,Uber,28502,156589.62000000002,31896001,557915.55,15227.480000000001,530678.5900000001,0,32428.75,5653,4700
2019-05-03,2019-05,0,HV0003,Uber,20062,112755.22,21339574,353304.26,9067.83,339174.11,0,21274.5,4554,3632
2019-05-03,2019-05,1,HV0003,Uber,12078,65521.13,11623214,195626.98,4711.53,187338.48,0,12669.0,2889,2088
2019-05-03,2019-05,2,HV0003,Uber,7641,39611.91,6954468,114374.16,2564.28,109663.61,0,7806.25,1992,1325
2019-05-03,2019-05,3,HV0003,Uber,5675,32566.52,5284756,92424.3,1926.27,88144.45999999999,0,5021.5,1404,862
2019-05-03,2019-05,4,HV0003,Uber,6393,43536.74,6444699,122674.97,3233.21,114593.85,0,5676.0,1372,887
2019-05-03,2019-05,5,HV0003,Uber,8652,61795.73,9538396,180590.97,4890.3,168042.25,0,7817.5,1561,1055
2019-05-03,2019-05,6,HV0003,Uber,14839,86671.49,16658019,282006.82,7092.49,262449.91,0,12838.0,2755,2040
2019-05-03,2019-05,7,HV0003,Uber,24717,108290.02,27957920,426574.08,9784.83,405290.21,0,20301.0,3878,2891
2019-05-03,2019-05,8,HV0003,Uber,31069,123782.82,35345399,506983.04000000004,12377.119999999999,487620.19,0,27260.75,5249,4020
2019-05-03,2019-05,9,HV0003,Uber,27162,113960.44,31436719,433683.63,11795.77,419685.68,0,27164.75,5142,3735
2019-05-03,2019-05,10,HV0003,Uber,22549,100851.95,26577741,372474.15,11091.23,364418.91,0,23077.75,4577,3200
2019-05-03,2019-05,11,HV0003,Uber,21672,100100.08,26197896,370080.47,10942.49,360622.1,0,22957.5,4406,3105
2019-05-03,2019-05,12,HV0003,Uber,22172,104947.73,27611368,392029.01,12133.23,380954.74,0,23273.0,4636,3331
2019-05-03,2019-05,13,HV0003,Uber,24318,116609.43,31434538,439504.99,13437.82,431146.35,0,24108.0,5300,4037
2019-05-03,2019-05,14,HV0003,Uber,27508,119188.48,38592209,515994.51,14984.75,514459.48000000004,0,26449.0,5939,4603
2019-05-03,2019-05,15,HV0003,Uber,28865,121530.99,42834462,544638.33,15495.28,547051.43,0,26938.25,6368,4931
2019-05-03,2019-05,16,HV0003,Uber,28756,122934.94,43142363,531305.37,16316.35,529607.29,0,28320.5,6070,4652
2019-05-03,2019-05,17,HV0003,Uber,33405,135482.83,46279794,567857.53,15618.11,570321.63,0,32880.75,7399,6019
2019-05-03,2019-05,18,HV0003,Uber,38581,155166.7,46920410,614181.93,17583.21,605847.99,0,40616.25,7901,6517
2019-05-03,2019-05,19,HV0003,Uber,38287,154269.96,42013600,568443.81,16272.84,560323.88,0,42537.5,7576,6219
2019-05-03,2019-05,20,HV0003,Uber,37264,159468.58000000002,39583847,556018.85,14489.609999999999,545990.63,0,41203.5,6897,5568
2019-05-03,2019-05,21,HV0003,Uber,35729,164612.22,37618347,552649.1,14661.97,538037.58,0,38126.75,6695,5424
2019-05-03,2019-05,22,HV0003,Uber,38090,184741.81,41194116,610532.47,16194.02,596902.28,0,41479.25,6890,5781
2019-05-03,2019-05,23,HV0003,Uber,37580,182913.41,41389848,615329.2,15496.09,597217.43,0,40600.0,6711,5877
2019-05-04,2019-05,0,HV0003,Uber,33008,157428.11,34035142,545528.5700000001,11784.27,525793.75,0,36089.75,5817,5017
2019-05-04,2019-05,1,HV0003,Uber,24290,117265.67,23641650,367443.83,7360.83,353898.94,0,26586.5,4445,3624
2019-05-04,2019-05,2,HV0003,Uber,18165,90586.2,17027646,276036.05,5222.11,261436.3,0,18990.0,3487,2734
2019-05-04,2019-05,3,HV0003,Uber,13215,70686.47,12498661,215649.59,3408.59,200297.84,0,12443.0,2675,2034
2019-05-04,2019-05,4,HV0003,Uber,10178,58186.36,9647277,173216.2,3445.38,162032.69,0,8329.5,2072,1455
2019-05-04,2019-05,5,HV0003,Uber,7882,53300.92,7875691,148532.41,3445.11,137674.01,0,6212.5,1546,1004
2019-05-04,2019-05,6,HV0003,Uber,9514,62256.96,9567803,172799.07,4102.77,161008.19,0,7508.5,2081,1452
2019-05-04,2019-05,7,HV0003,Uber,13325,75792.55,12842073,216991.59,5498.83,207718.9,0,10382.75,2770,1961
2019-05-04,2019-05,8,HV0003,Uber,18914,95563.6,18762486,288134.04,7182.51,283647.06,0,15527.75,3810,2819
2019-05-04,2019-05,9,HV0003,Uber,22863,105005.55,22526692,332758.38,9040.21,331832.9,0,20335.0,4273,3206
2019-05-04,2019-05,10,HV0003,Uber,25414,109920.1,25828954,368322.43,10991.4,366830.98,0,26063.75,4546,3377
2019-05-04,2019-05,11,HV0003,Uber,28891,123713.85,31317670,438732.53,12613.2,433474.45,0,31210.25,5176,4020
2019-05-04,2019-05,12,HV0003,Uber,31492,127927.45,34925962,495931.79000000004,13769.49,484920.63,0,34494.5,5653,4520
2019-05-04,2019-05,13,HV0003,Uber,30372,128959.35,34663855,474501.26,13349.92,469649.81,0,32436.75,5540,4486
2019-05-04,2019-05,14,HV0003,Uber,29004,123799.07,33506868,463751.17,12780.79,447769.25,0,29891.25,5523,4433
2019-05-04,2019-05,15,HV0003,Uber,29896,129729.34,35645462,490616.86,12590.93,472713.74,0,30859.25,5893,4702
2019-05-04,2019-05,16,HV0003,Uber,31493,133864.96,38513106,513439.12,13762.23,502398.6,0,33674.75,6086,4965
2019-05-04,2019-05,17,HV0003,Uber,34837,146773.81,41727053,569790.08,16799.15,552238.74,0,40184.75,6117,5036
2019-05-04,2019-05,18,HV0003,Uber,36380,154295.12,42409877,583810.78,16127.74,568250.66,0,41458.75,6138,5143
2019-05-04,2019-05,19,HV0003,Uber,38502,159009.47999999998,43360196,594715.55,15847.8,580477.54,0,46049.0,5911,5058
2019-05-04,2019-05,20,HV0003,Uber,38960,165720.39,42690405,594823.66,14207.6,582697.09,0,42388.75,6363,5486
2019-05-04,2019-05,21,HV0003,Uber,39261,170448.45,41743401,594889.21,14123.560000000001,579867.12,0,40752.5,6553,5735
2019-05-04,2019-05,22,HV0003,Uber,41440,188462.17,44864049,657917.55,16635.34,643554.88,0,44134.0,6542,5801
2019-05-04,2019-05,23,HV0003,Uber,42189,192186.91999999998,44906399,731689.86,15612.23,695385.5,0,45581.75,6596,6136
2019-05-05,2019-05,0,HV0003,Uber,37751,173637.28,38319989,623114.28,12292.81,599983.64,0,40092.5,6080,5538
2019-05-05,2019-05,1,HV0003,Uber,31322,145930.81,30419028,488277.41,8813.56,472812.22,0,30444.75,5097,4417
2019-05-05,2019-05,2,HV0003,Uber,25379,119127.79,23873953,423773.63,7000.54,398625.73,0,25630.0,4227,3550
2019-05-05,2019-05,3,HV0003,Uber,18239,92110.29000000001,17308398,298762.42000000004,5036.25,280169.08,0,16887.5,3041,2371
2019-05-05,2019-05,4,HV0003,Uber,13780,74568.41,13109942,243740.1,4009.16,226557.91,0,11122.25,2485,1804
2019-05-05,2019-05,5,HV0003,Uber,9238,59174.01,9383279,173076.14,3955.55,160885.6,0,7295.25,1697,1117
