pickup_date,pickup_month,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2022-07-01,2022-07,0,HV0003,Uber,15777,86039.98,16317289,374001.32,14364.44,294987.35,1728.75,18853.75,286,34
2022-07-01,2022-07,1,HV0003,Uber,10089,51631.0,9430814,214282.95,7227.68,167621.01,678.75,12881.5,205,19
2022-07-01,2022-07,2,HV0003,Uber,7023,37012.46,6473914,151063.18,4629.81,117691.52,676.25,8558.5,152,26
2022-07-01,2022-07,3,HV0003,Uber,5385,33162.54,5213733,129337.68,4596.24,99915.1,1942.5,5783.5,134,20
2022-07-01,2022-07,4,HV0003,Uber,5703,45049.43,6444035,202777.56,7651.49,148528.67,4998.75,5327.0,86,6
2022-07-01,2022-07,5,HV0003,Uber,7443,59956.48,8538142,229312.76,9512.94,177223.09,6286.25,6990.25,86,10
2022-07-01,2022-07,6,HV0003,Uber,10577,73041.55,12194579,285593.35,11198.54,221383.33,5437.5,11201.5,142,20
2022-07-01,2022-07,7,HV0003,Uber,14341,85335.56,16372748,357499.62,13056.17,275160.99,4866.25,13916.0,196,20
2022-07-01,2022-07,8,HV0003,Uber,18409,94389.76,20766075,413026.07,16552.78,329118.16,4395.0,17217.75,224,19
2022-07-01,2022-07,9,HV0003,Uber,18556,93487.4,21790859,414695.53,18826.41,339895.61,4281.25,18960.25,212,4
2022-07-01,2022-07,10,HV0003,Uber,17744,90778.62,21909015,418947.94,18662.14,337494.28,4251.25,18856.0,181,10
2022-07-01,2022-07,11,HV0003,Uber,17767,90371.94,22819932,435952.52,20431.71,347463.3,4472.5,19034.25,202,23
2022-07-01,2022-07,12,HV0003,Uber,18681,96863.47,25168893,491370.78,22558.49,387769.79,5367.5,19842.25,222,14
2022-07-01,2022-07,13,HV0003,Uber,20336,104579.47,28514507,570080.75,25700.62,462963.22,6127.5,20883.75,237,24
2022-07-01,2022-07,14,HV0003,Uber,23099,116498.01,33133187,639725.1,27128.35,558657.14,7020.0,22540.25,290,28
2022-07-01,2022-07,15,HV0003,Uber,24212,121449.42,34419381,638112.68,26758.11,558212.45,7050.0,23473.0,335,26
2022-07-01,2022-07,16,HV0003,Uber,23413,112906.06,31350440,581606.72,23931.45,468975.82,5890.0,23599.25,289,23
2022-07-01,2022-07,17,HV0003,Uber,25233,114533.68,30445697,568923.19,22884.31,460216.85,4222.5,25904.75,321,40
2022-07-01,2022-07,18,HV0003,Uber,25533,120316.56,28324813,553304.5900000001,23799.59,448698.06,4025.0,28041.0,331,34
2022-07-01,2022-07,19,HV0003,Uber,24821,115335.1,26058991,516281.02,20634.75,420370.84,3101.25,28609.5,285,27
2022-07-01,2022-07,20,HV0003,Uber,21825,102656.6,22620758,455708.14,17289.76,368105.84,2775.0,23869.75,261,16
2022-07-01,2022-07,21,HV0003,Uber,21605,104344.79,22823475,459916.54,17721.98,371016.61,2596.25,23368.25,288,27
2022-07-01,2022-07,22,HV0003,Uber,23218,116927.69,24596448,516145.51,19913.59,410001.67,2573.75,25621.25,304,33
2022-07-01,2022-07,23,HV0003,Uber,23754,118743.09,24572055,522838.6,19643.84,439182.63,2376.25,26628.5,341,38
2022-07-02,2022-07,0,HV0003,Uber,20470,103176.91,20490654,445561.15,15792.81,354543.83,2311.25,22371.25,320,36
2022-07-02,2022-07,1,HV0003,Uber,16997,87320.1,16492676,381501.54,12446.45,297254.84,1747.5,19009.5,313,53
2022-07-02,2022-07,2,HV0003,Uber,13413,70299.59,12651186,308423.13,8426.71,238385.46,871.25,15274.0,263,41
2022-07-02,2022-07,3,HV0003,Uber,10264,59690.87,9926227,256950.53,6945.09,195952.93,1825.0,10763.75,228,40
2022-07-02,2022-07,4,HV0003,Uber,8479,56473.79,8552539,241955.83,6986.05,182980.61,3683.75,7341.0,183,24
2022-07-02,2022-07,5,HV0003,Uber,6871,50760.55,7136877,187119.89,6541.82,146217.1,4332.5,5556.5,149,17
2022-07-02,2022-07,6,HV0003,Uber,7533,52928.67,7574540,186029.87,6720.21,145494.52,4025.0,6556.0,142,13
2022-07-02,2022-07,7,HV0003,Uber,8671,57629.61,8755375,205090.77,8257.07,163561.85,3936.25,7484.75,158,5
2022-07-02,2022-07,8,HV0003,Uber,10527,62919.89,10462796,235353.21,9875.98,187693.2,3516.25,9278.5,165,7
2022-07-02,2022-07,9,HV0003,Uber,13244,72090.22,12936176,283099.88,13361.7,225496.91,3441.25,12882.25,190,21
2022-07-02,2022-07,10,HV0003,Uber,15086,78143.14,15147268,319453.52,16189.62,256790.26,3490.0,15845.75,174,6
2022-07-02,2022-07,11,HV0003,Uber,17253,87210.21,18103169,370639.89,17896.98,299506.26,3736.25,19003.0,190,6
2022-07-02,2022-07,12,HV0003,Uber,18214,92687.49,19932706,399200.79,19009.71,324553.64,3833.75,20439.25,228,22
2022-07-02,2022-07,13,HV0003,Uber,20045,99142.74,22241550,441297.79,20972.26,393470.09,4011.25,22394.75,256,20
2022-07-02,2022-07,14,HV0003,Uber,20129,100809.65,22596302,444012.4,19367.9,364836.66,4042.5,20960.0,279,21
2022-07-02,2022-07,15,HV0003,Uber,20973,107260.48999999999,23536966,465949.22000000003,19204.79,382289.82,4027.5,21635.75,321,25
2022-07-02,2022-07,16,HV0003,Uber,21174,104745.0,22999291,454573.17,19572.59,373235.94,3565.0,22136.75,301,25
2022-07-02,2022-07,17,HV0003,Uber,22452,108899.63,23899687,472203.27,20453.26,389664.52,3315.0,24826.5,313,29
2022-07-02,2022-07,18,HV0003,Uber,22688,107354.43,23771964,467517.92,20290.53,387330.61,2627.5,26090.5,297,31
2022-07-02,2022-07,19,HV0003,Uber,22677,104497.76,22944852,464557.33,19572.59,377264.89,2477.5,26746.75,287,28
2022-07-02,2022-07,20,HV0003,Uber,20533,95696.68,20238260,417449.13,16017.75,337513.06,1926.25,22294.0,238,17
2022-07-02,2022-07,21,HV0003,Uber,21748,100764.69,21728027,440405.76,16035.34,358190.87,1585.0,22694.0,310,25
2022-07-02,2022-07,22,HV0003,Uber,22791,108715.37,22969079,476851.64,16698.94,381670.50999999995,1473.75,23980.25,318,26
2022-07-02,2022-07,23,HV0003,Uber,22724,108709.0,22619936,477549.54,16797.0,394899.82,1651.25,24298.75,327,35
2022-07-03,2022-07,0,HV0003,Uber,19487,92348.81,18335025,393985.96,12687.81,314098.43,1450.0,20207.25,298,26
2022-07-03,2022-07,1,HV0003,Uber,16670,78852.57,15155848,331267.19,10054.66,263597.24,437.5,17476.5,310,45
2022-07-03,2022-07,2,HV0003,Uber,13388,67827.6,12306321,288104.41,8065.8,226357.62,522.5,13808.75,266,45
2022-07-03,2022-07,3,HV0003,Uber,10448,57239.99,9758823,241111.22,6399.96,187942.83,1217.5,10152.0,226,41
2022-07-03,2022-07,4,HV0003,Uber,8495,53179.21,8379572,230238.95,6395.62,180135.45,2857.5,7129.0,180,38
2022-07-03,2022-07,5,HV0003,Uber,6218,42429.26,6133983,154058.27,5440.46,121782.77,3195.0,4462.75,152,18
2022-07-03,2022-07,6,HV0003,Uber,6599,46180.7,6463345,161718.29,5947.66,127259.76,3410.0,5366.5,145,16
2022-07-03,2022-07,7,HV0003,Uber,7549,49849.6,7187980,174251.45,6696.26,139016.14,3022.5,6282.5,146,13
2022-07-03,2022-07,8,HV0003,Uber,8747,53008.87,8291777,189878.21000000002,7838.5599999999995,154298.88,2962.5,7658.25,149,9
2022-07-03,2022-07,9,HV0003,Uber,11736,65200.08,11060050,247176.35,11312.63,199925.73,3088.75,11226.75,200,11
2022-07-03,2022-07,10,HV0003,Uber,14428,76971.01,14073144,305073.35,14251.68,246711.37,3122.5,14158.0,183,9
2022-07-03,2022-07,11,HV0003,Uber,16467,86344.47,16991430,356740.26,16768.18,288170.88,3372.5,17455.75,243,28
2022-07-03,2022-07,12,HV0003,Uber,17941,95077.4,19685397,401929.77,18740.68,327670.4,4086.25,19300.5,238,20
2022-07-03,2022-07,13,HV0003,Uber,18588,99361.23,21490313,440341.01,20386.59,367091.56,4267.5,19685.0,233,13
2022-07-03,2022-07,14,HV0003,Uber,19823,106312.62,23366887,474273.39,19878.93,386506.13,4673.75,20518.0,259,30
2022-07-03,2022-07,15,HV0003,Uber,20365,109640.24,23833904,478353.81,19892.77,392769.22,4986.25,19618.0,258,13
2022-07-03,2022-07,16,HV0003,Uber,20872,109559.85,23425731,473413.22,19522.17,388465.56999999995,4306.25,20531.0,258,19
2022-07-03,2022-07,17,HV0003,Uber,20471,106133.84,22105662,451892.36,19435.59,371816.63,4030.0,21366.75,257,20
2022-07-03,2022-07,18,HV0003,Uber,20594,101958.13,21214998,433610.55,18094.32,357461.7,3220.0,22274.75,278,28
