pickup_date,pickup_month,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2021-06-01,2021-06,0,HV0003,Uber,10002,51279.39,8859791,205585.06,4579.91,174547.1,880.0,6784.25,0,0
2021-06-01,2021-06,1,HV0003,Uber,6288,33088.77,5502934,124896.36,2713.82,103765.58,492.5,4119.5,0,0
2021-06-01,2021-06,2,HV0003,Uber,4034,20995.02,3461326,76724.51,1753.24,62542.11,367.5,2673.0,0,0
2021-06-01,2021-06,3,HV0003,Uber,2738,16549.33,2465184,60772.64,1323.6,49268.67,775.0,1771.0,0,0
2021-06-01,2021-06,4,HV0003,Uber,2871,20392.04,2775518,75427.02,2426.57,62797.46,1667.5,2026.75,0,0
2021-06-01,2021-06,5,HV0003,Uber,5087,37956.63,5195604,139414.68,5015.24,114164.38,3025.0,4303.75,0,0
2021-06-01,2021-06,6,HV0003,Uber,9058,61875.61,10256946,243177.84,7792.34,199110.52,3487.5,9179.5,0,0
2021-06-01,2021-06,7,HV0003,Uber,13370,75633.35,16058772,370022.22,10926.3,304611.16,2782.5,14520.0,0,0
2021-06-01,2021-06,8,HV0003,Uber,17547,83303.84,20623172,457783.03,14497.96,383556.25,2332.5,19393.0,0,0
2021-06-01,2021-06,9,HV0003,Uber,16892,75494.95999999999,18328639,346895.52999999997,11919.130000000001,291862.97000000003,2030.0,17784.25,0,0
2021-06-01,2021-06,10,HV0003,Uber,14749,67166.91,16456582,294168.27,11053.3,247063.48,2000.0,14495.25,0,0
2021-06-01,2021-06,11,HV0003,Uber,13961,63298.21,15694693,281170.99,10407.55,232281.39,1980.0,14261.5,0,0
2021-06-01,2021-06,12,HV0003,Uber,14214,65795.02,16037568,291544.66,10679.35,239596.9,2002.5,14594.25,0,0
2021-06-01,2021-06,13,HV0003,Uber,14664,66316.13,16923454,306433.04,11258.3,254598.92,2120.0,14319.25,0,0
2021-06-01,2021-06,14,HV0003,Uber,15996,72137.5,20650316,362720.24,12751.98,304532.01999999996,2577.5,15347.75,0,0
2021-06-01,2021-06,15,HV0003,Uber,16656,74319.71,22274355,391000.44,13667.83,328209.95,2830.0,15378.0,0,0
2021-06-01,2021-06,16,HV0003,Uber,16927,73653.79,22570478,381027.54,13202.65,321787.92,2435.0,16043.5,0,0
2021-06-01,2021-06,17,HV0003,Uber,18017,76842.33,23237221,406168.8,13619.9,342289.2,2167.5,17682.5,0,0
2021-06-01,2021-06,18,HV0003,Uber,18234,79579.01999999999,21460444,398255.05000000005,14226.23,339191.67,2145.0,20278.5,0,0
