pickup_date,pickup_month,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2020-02-01,2020-02,0,HV0003,Uber,28908,135562.31,27841343,450251.89,11487.01,405544.06,0.0,30552.5,3362,2651
2020-02-01,2020-02,1,HV0003,Uber,22032,103785.8,20086368,319269.22,7987.96,290283.73,0.0,22976.25,2667,2086
2020-02-01,2020-02,2,HV0003,Uber,16794,80373.92,15067216,242882.3,5084.7,220519.25,0.0,17290.5,2070,1549
2020-02-01,2020-02,3,HV0003,Uber,12689,64446.42,11396894,192515.66999999998,3816.5899999999997,171622.32,0.0,12108.25,1576,1085
2020-02-01,2020-02,4,HV0003,Uber,9638,53067.92,8708657,153985.0,3671.53,136111.15,0.0,7813.25,1267,822
2020-02-01,2020-02,5,HV0003,Uber,7412,47535.49,6999116,131573.53,3535.95,114840.53,0.0,5445.25,987,513
2020-02-01,2020-02,6,HV0003,Uber,9081,55948.06,8526059,156821.58,4366.45,137181.5,0.0,6877.5,1213,726
2020-02-01,2020-02,7,HV0003,Uber,11924,64293.15,10684941,182792.88,5186.0,166101.38,0.0,9043.5,1457,837
2020-02-01,2020-02,8,HV0003,Uber,17410,83418.36,15386739,242941.14,7305.33,227234.15,0.0,13796.25,1994,1218
2020-02-01,2020-02,9,HV0003,Uber,20897,93498.73,18429139,287593.06,9079.279999999999,270135.26,0.0,18663.25,2063,1217
2020-02-01,2020-02,10,HV0003,Uber,22807,96438.86,20509225,310804.54,10681.66,291823.19,0.0,22759.5,2188,1243
2020-02-01,2020-02,11,HV0003,Uber,24153,100820.89,22605301,332223.99,11357.55,311791.21,0.0,24603.75,2385,1466
2020-02-01,2020-02,12,HV0003,Uber,26045,105951.94,24962479,363584.5,12379.29,339499.53,0.0,27090.75,2423,1528
2020-02-01,2020-02,13,HV0003,Uber,26805,107876.76,26088044,374031.31,12217.72,350124.53,0.0,27217.25,2586,1635
2020-02-01,2020-02,14,HV0003,Uber,26848,112136.13,27168507,383884.77,11437.05,363558.65,0.0,25516.25,2676,1775
2020-02-01,2020-02,15,HV0003,Uber,28261,116319.72,29223782,404468.24,12361.6,384356.05,0.0,26614.0,2976,1955
2020-02-01,2020-02,16,HV0003,Uber,28722,115876.84,29880365,412809.47,13108.99,392224.11,0.0,28227.5,2927,1970
2020-02-01,2020-02,17,HV0003,Uber,31746,126480.81,33122396,459100.31999999995,15552.68,433328.16,0.0,33555.0,2838,1867
2020-02-01,2020-02,18,HV0003,Uber,35864,144004.81,37265033,513737.38,16426.85,490572.33,0.0,39576.5,3062,2168
2020-02-01,2020-02,19,HV0003,Uber,37981,148601.78,38503456,523946.78,16010.56,507352.22,0.0,43942.25,3067,2267
2020-02-01,2020-02,20,HV0003,Uber,35928,147124.43,35245561,493639.27,14322.1,476010.27,0.0,37941.25,2984,2216
2020-02-01,2020-02,21,HV0003,Uber,35731,150946.21,35033160,494187.55,13839.93,476818.62,0.0,37584.5,3166,2432
2020-02-01,2020-02,22,HV0003,Uber,36826,157280.44,36240150,537654.33,14686.08,495738.93,0.0,39518.75,3468,2832
2020-02-01,2020-02,23,HV0003,Uber,37140,158498.73,35565843,557319.39,14105.169999999998,506873.42,0.0,40771.25,3563,3094
2020-02-02,2020-02,0,HV0003,Uber,33417,147098.28,30975102,506111.41,11537.27,458163.9,0.0,35639.0,3358,2816
2020-02-02,2020-02,1,HV0003,Uber,25507,116195.84,22995608,365819.42,8355.470000000001,335464.44,0.0,25973.25,2672,2197
2020-02-02,2020-02,2,HV0003,Uber,19741,92889.89,17375969,297018.52,6473.5,264562.87,0.0,19727.0,2112,1637
2020-02-02,2020-02,3,HV0003,Uber,14989,75158.44,13255076,234095.05,4642.9,206610.27,0.0,13622.25,1743,1275
2020-02-02,2020-02,4,HV0003,Uber,11150,58083.29,9804523,180954.97,3188.3,160832.03,0.0,8657.0,1340,868
2020-02-02,2020-02,5,HV0003,Uber,7498,46235.33,6969297,129526.36,3333.55,113365.06,0.0,5338.75,1006,567
2020-02-02,2020-02,6,HV0003,Uber,8192,51859.22,7783065,146514.91,4058.5200000000004,128080.22,0.0,6005.0,1126,682
2020-02-02,2020-02,7,HV0003,Uber,10005,56441.43,8889556,158171.26,4725.76,141240.44,0.0,7334.5,1299,741
2020-02-02,2020-02,8,HV0003,Uber,13247,65509.49,11094662,187892.88,5640.08,171743.78,0.0,11725.5,1486,856
2020-02-02,2020-02,9,HV0003,Uber,17099,78677.34,14257577,234528.31,7838.41,217331.94,0.0,15371.5,1708,1003
2020-02-02,2020-02,10,HV0003,Uber,21911,95264.46,18669780,297762.23,9788.26,276371.69,0.0,21404.0,2091,1321
2020-02-02,2020-02,11,HV0003,Uber,23830,100490.91,20694580,325969.32,10713.060000000001,302078.81,0.0,24263.0,2325,1415
2020-02-02,2020-02,12,HV0003,Uber,24301,104995.06,21998360,348879.3,11447.32,316176.62,0.0,24900.25,2345,1466
2020-02-02,2020-02,13,HV0003,Uber,25103,111335.45,23708763,370531.83,12060.53,336872.94,0.0,24832.25,2527,1575
2020-02-02,2020-02,14,HV0003,Uber,25118,114562.3,24791873,389373.55,11945.83,350739.27999999997,0.0,23080.25,2480,1568
2020-02-02,2020-02,15,HV0003,Uber,27207,124303.21,27964760,426926.25,12796.9,388508.85,0.0,24788.75,2793,1825
2020-02-02,2020-02,16,HV0003,Uber,31330,133428.35,32713245,485869.55000000005,14317.89,445299.08,0.0,29318.0,3290,2344
2020-02-02,2020-02,17,HV0003,Uber,39342,153315.13,39574422,701903.52,19019.83,631693.56,0.0,40112.75,4373,3729
2020-02-02,2020-02,18,HV0003,Uber,39264,147742.47,35808446,624576.9099999999,16918.6,575359.5900000001,0.0,37636.75,4191,3264
2020-02-02,2020-02,19,HV0003,Uber,26905,112908.71,23802255,356417.57,9779.88,337024.2,0.0,21849.25,3061,1923
2020-02-02,2020-02,20,HV0003,Uber,25861,113961.56999999999,22643218,360329.87,9811.960000000001,336179.51999999996,0.0,23245.75,2993,2078
2020-02-02,2020-02,21,HV0003,Uber,25566,117244.08,22757343,355167.14,9022.17,333667.55,0.0,24477.0,2932,2097
2020-02-02,2020-02,22,HV0003,Uber,33862,146826.51,30751230,674332.57,14433.37,641600.97,0.0,36927.25,4477,4263
2020-02-02,2020-02,23,HV0003,Uber,26829,124453.48999999999,24274847,407521.79,8820.56,394500.85,0.0,19648.25,3911,3078
2020-02-03,2020-02,0,HV0003,Uber,15105,73960.68,13146250,208173.74,4216.7,194240.73,0.0,9122.0,2490,1709
2020-02-03,2020-02,1,HV0003,Uber,8459,40053.5,6932154,110862.26,2416.66,104420.0,0.0,5139.75,1364,803
2020-02-03,2020-02,2,HV0003,Uber,5297,25769.56,4344680,70643.08,1374.64,66195.85,0.0,3152.75,880,471
