pickup_date,pickup_month,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2025-07-01,2025-07,0,HV0003,Uber,10502,58892.22,10613385,266009.74,10115.25,201650.46,2906.25,9422.25,5212.5,780,455
2025-07-01,2025-07,1,HV0003,Uber,6626,38816.96,6506030,181953.86,6414.06,133797.95,2121.25,5945.0,3306.0,418,219
2025-07-01,2025-07,2,HV0003,Uber,4761,28834.71,4719312,126524.83,4281.81,96738.4,1800.0,3853.0,2179.5,277,140
2025-07-01,2025-07,3,HV0003,Uber,4192,27518.13,4282467,116945.74,3975.09,88208.64,2570.0,3128.25,1825.5,251,129
2025-07-01,2025-07,4,HV0003,Uber,5216,39678.84,5817013,176126.83,7181.32,127637.22,4595.0,3770.5,2140.5,273,132
2025-07-01,2025-07,5,HV0003,Uber,7508,53060.18,8243491,234135.59,9174.02,170068.36,5082.5,6057.75,3223.5,391,188
2025-07-01,2025-07,6,HV0003,Uber,11755,69497.91,13016427,332929.78,12006.61,241699.98,4336.25,10614.25,5419.5,639,361
2025-07-01,2025-07,7,HV0003,Uber,17377,90947.77,19393177,484788.24,18399.71,344782.47,4585.0,14978.75,7792.5,720,404
2025-07-01,2025-07,8,HV0003,Uber,24281,108571.3,27216572,608289.6,24120.25,455344.36,4275.0,22486.5,11448.0,826,429
2025-07-01,2025-07,9,HV0003,Uber,23369,104838.59,26585504,596112.27,25184.74,447104.85,4506.25,22817.5,11590.5,649,296
2025-07-01,2025-07,10,HV0003,Uber,18787,91042.25,22866768,522868.88,23110.6,384808.46,4420.0,17792.75,8950.5,408,137
2025-07-01,2025-07,11,HV0003,Uber,17962,86739.64,21859755,506930.98,23241.280000000002,368612.75,4285.0,17011.5,8550.0,345,92
2025-07-01,2025-07,12,HV0003,Uber,18513,91723.52,23455050,532273.29,23912.81,393034.55,5192.5,17173.5,8589.0,359,95
2025-07-01,2025-07,13,HV0003,Uber,19542,93519.78,24469938,552382.98,23470.41,406279.22,5117.5,17777.0,9138.0,474,147
2025-07-01,2025-07,14,HV0003,Uber,20526,97036.56,26207345,590527.66,24103.620000000003,431147.48,5062.5,17815.5,9177.0,583,251
2025-07-01,2025-07,15,HV0003,Uber,22079,97471.84,28210625,609453.48,25096.63,456078.47,4813.75,19396.0,10068.0,726,304
2025-07-01,2025-07,16,HV0003,Uber,23860,103181.18,31877203,641759.41,26401.48,502039.01,4817.5,21837.25,11328.0,703,302
2025-07-01,2025-07,17,HV0003,Uber,27460,111543.56999999999,35923736,722884.4299999999,29312.260000000002,561920.22,4141.25,24437.5,12571.5,1104,579
2025-07-01,2025-07,18,HV0003,Uber,28283,108771.86,32908103,708982.95,27852.35,532945.91,3070.0,25408.5,13180.5,1083,597
2025-07-01,2025-07,19,HV0003,Uber,27070,113295.01,29426817,680999.35,26435.99,502818.26,2891.25,25876.0,13884.0,893,466
2025-07-01,2025-07,20,HV0003,Uber,23429,114399.88,25374069,717948.33,28378.45,493313.98,2637.5,23331.75,13092.0,898,498
2025-07-01,2025-07,21,HV0003,Uber,22095,112387.53,23264606,648245.29,27376.92,453265.53,2530.0,23847.0,13342.5,1040,568
2025-07-01,2025-07,22,HV0003,Uber,19309,105240.9,20409582,513334.79,19958.48,382589.01,2715.0,20657.0,11514.0,1151,743
2025-07-01,2025-07,23,HV0003,Uber,15747,86938.65000000001,16242140,386026.72,14032.539999999999,302351.59,2788.75,15031.0,8224.5,1089,710
2025-07-02,2025-07,0,HV0003,Uber,11047,63122.33,11045189,277261.1,10154.43,214828.1,2673.75,10401.75,5676.0,848,507
2025-07-02,2025-07,1,HV0003,Uber,7270,45071.47,7304376,194009.87,7725.04,150790.86,2395.0,6867.0,3844.5,475,259
2025-07-02,2025-07,2,HV0003,Uber,4719,28331.72,4575964,118546.38,4412.78,92801.22,1567.5,4401.5,2493.0,305,148
2025-07-02,2025-07,3,HV0003,Uber,4077,26816.39,4080800,110144.85,3677.13,83896.23,2115.0,3291.5,1926.0,289,133
2025-07-02,2025-07,4,HV0003,Uber,5179,39065.44,5613866,165754.78,5871.47,122950.63,4556.25,3798.5,2320.5,270,121
2025-07-02,2025-07,5,HV0003,Uber,7992,57833.44,8968714,249314.55,10262.35,185387.32,5526.25,6490.25,3574.5,433,229
2025-07-02,2025-07,6,HV0003,Uber,12840,78721.83,14458792,365834.2,13465.22,272350.82,5267.5,11648.0,5940.0,679,411
2025-07-02,2025-07,7,HV0003,Uber,19409,97795.2,21770737,509322.11,17903.809999999998,381050.45999999996,4857.5,15813.0,8271.0,884,519
2025-07-02,2025-07,8,HV0003,Uber,26204,116065.53,29509949,641673.09,23577.69,497270.68,4395.0,22689.25,11698.5,1011,587
2025-07-02,2025-07,9,HV0003,Uber,23302,107052.9,26709256,582120.58,22918.53,454097.84,4433.75,20416.0,10345.5,712,322
2025-07-02,2025-07,10,HV0003,Uber,19337,95144.57,22901135,517920.63999999996,21492.5,390474.49,4596.25,16969.75,8470.5,496,194
2025-07-02,2025-07,11,HV0003,Uber,18321,93010.11,22498301,512699.14,22248.32,384654.8,4792.5,16371.25,8290.5,328,107
2025-07-02,2025-07,12,HV0003,Uber,19177,100525.35,24913517,557091.38,24349.47,422062.81,5730.0,17114.0,8664.0,428,166
2025-07-02,2025-07,13,HV0003,Uber,19377,97973.17,25422445,565922.04,23714.26,424695.18,5842.5,16639.5,8515.5,444,143
