pickup_date,pickup_month,company,trips
2016-09-01,2016-09,Uber,119288
2016-09-02,2016-09,Uber,118552
2016-09-03,2016-09,Uber,127644
2016-09-04,2016-09,Uber,125203
2016-09-05,2016-09,Uber,105048
2016-09-06,2016-09,Uber,104555
2016-09-07,2016-09,Uber,112624
2016-09-08,2016-09,Uber,127983
2016-09-09,2016-09,Uber,145658
2016-09-10,2016-09,Uber,167180
2016-09-11,2016-09,Uber,138818
2016-09-12,2016-09,Uber,100801
2016-09-13,2016-09,Uber,107183
2016-09-14,2016-09,Uber,119078
2016-09-15,2016-09,Uber,126016
2016-09-16,2016-09,Uber,141648
2016-09-17,2016-09,Uber,159970
2016-09-18,2016-09,Uber,139575
2016-09-19,2016-09,Uber,96748
2016-09-20,2016-09,Uber,99835
2016-09-21,2016-09,Uber,101770
2016-09-22,2016-09,Uber,113623
2016-09-23,2016-09,Uber,127636
2016-09-24,2016-09,Uber,151026
2016-09-25,2016-09,Uber,128325
2016-09-26,2016-09,Uber,96500
2016-09-27,2016-09,Uber,104787
2016-09-28,2016-09,Uber,117307
2016-09-29,2016-09,Uber,125097
2016-09-30,2016-09,Uber,144824
