pickup_date,pickup_month,company,trips
2018-09-01,2018-09,Uber,170181
2018-09-02,2018-09,Uber,162796
2018-09-03,2018-09,Uber,142514
2018-09-04,2018-09,Uber,145872
2018-09-05,2018-09,Uber,151802
2018-09-06,2018-09,Uber,166534
2018-09-07,2018-09,Uber,171902
2018-09-08,2018-09,Uber,189053
2018-09-09,2018-09,Uber,174499
2018-09-10,2018-09,Uber,147570
2018-09-11,2018-09,Uber,133779
2018-09-12,2018-09,Uber,158046
2018-09-13,2018-09,Uber,155997
2018-09-14,2018-09,Uber,169750
2018-09-15,2018-09,Uber,182664
2018-09-16,2018-09,Uber,162351
2018-09-17,2018-09,Uber,137187
2018-09-18,2018-09,Uber,144416
2018-09-19,2018-09,Uber,130100
2018-09-20,2018-09,Uber,147824
2018-09-21,2018-09,Uber,165784
2018-09-22,2018-09,Uber,184150
2018-09-23,2018-09,Uber,155982
2018-09-24,2018-09,Uber,123435
2018-09-25,2018-09,Uber,147781
2018-09-26,2018-09,Uber,142081
2018-09-27,2018-09,Uber,146208
2018-09-28,2018-09,Uber,168192
2018-09-29,2018-09,Uber,183498
2018-09-30,2018-09,Uber,159455
