pickup_date,pickup_month,company,trips
2017-04-01,2017-04,Uber,116284
2017-04-02,2017-04,Uber,63410
2017-04-03,2017-04,Uber,96091
2017-04-04,2017-04,Uber,106116
2017-04-05,2017-04,Uber,107168
2017-04-06,2017-04,Uber,127816
2017-04-07,2017-04,Uber,126467
2017-04-08,2017-04,Uber,136344
2017-04-09,2017-04,Uber,118748
2017-04-10,2017-04,Uber,90486
2017-04-11,2017-04,Uber,92781
2017-04-12,2017-04,Uber,98885
2017-04-13,2017-04,Uber,106509
2017-04-14,2017-04,Uber,108019
2017-04-15,2017-04,Uber,116038
2017-04-16,2017-04,Uber,103625
2017-04-17,2017-04,Uber,84876
2017-04-18,2017-04,Uber,90740
2017-04-19,2017-04,Uber,104869
2017-04-20,2017-04,Uber,112029
2017-04-21,2017-04,Uber,125450
2017-04-22,2017-04,Uber,131068
2017-04-23,2017-04,Uber,114886
2017-04-24,2017-04,Uber,95440
2017-04-25,2017-04,Uber,122202
2017-04-26,2017-04,Uber,106231
2017-04-27,2017-04,Uber,113877
2017-04-28,2017-04,Uber,119164
2017-04-29,2017-04,Uber,133723
2017-04-30,2017-04,Uber,117368
