pickup_date,pickup_month,company,trips
2015-09-01,2015-09,Uber,99336
2015-09-02,2015-09,Uber,105997
2015-09-03,2015-09,Uber,114834
2015-09-04,2015-09,Uber,117716
2015-09-05,2015-09,Uber,113952
2015-09-06,2015-09,Uber,106793
2015-09-07,2015-09,Uber,96254
2015-09-08,2015-09,Uber,112540
2015-09-09,2015-09,Uber,131184
2015-09-10,2015-09,Uber,168261
2015-09-11,2015-09,Uber,144939
2015-09-12,2015-09,Uber,165085
2015-09-13,2015-09,Uber,134176
2015-09-14,2015-09,Uber,101217
2015-09-15,2015-09,Uber,111471
2015-09-16,2015-09,Uber,129387
2015-09-17,2015-09,Uber,138993
2015-09-18,2015-09,Uber,145843
2015-09-19,2015-09,Uber,159554
2015-09-20,2015-09,Uber,133456
2015-09-21,2015-09,Uber,103845
2015-09-22,2015-09,Uber,102320
2015-09-23,2015-09,Uber,99406
2015-09-24,2015-09,Uber,107828
2015-09-25,2015-09,Uber,122366
2015-09-26,2015-09,Uber,155565
2015-09-27,2015-09,Uber,129633
2015-09-28,2015-09,Uber,101600
2015-09-29,2015-09,Uber,116208
2015-09-30,2015-09,Uber,133304
