pickup_date,pickup_month,company,trips
2018-05-01,2018-05,Uber,118274
2018-05-02,2018-05,Uber,128556
2018-05-03,2018-05,Uber,142511
2018-05-04,2018-05,Uber,142142
2018-05-05,2018-05,Uber,159375
2018-05-06,2018-05,Uber,132679
2018-05-07,2018-05,Uber,114525
2018-05-08,2018-05,Uber,120234
2018-05-09,2018-05,Uber,124184
2018-05-10,2018-05,Uber,140605
2018-05-11,2018-05,Uber,141393
2018-05-12,2018-05,Uber,162806
2018-05-13,2018-05,Uber,143152
2018-05-14,2018-05,Uber,116673
2018-05-15,2018-05,Uber,134054
2018-05-16,2018-05,Uber,145346
2018-05-17,2018-05,Uber,143379
2018-05-18,2018-05,Uber,144610
2018-05-19,2018-05,Uber,170485
2018-05-20,2018-05,Uber,133640
2018-05-21,2018-05,Uber,113364
2018-05-22,2018-05,Uber,130540
2018-05-23,2018-05,Uber,128990
2018-05-24,2018-05,Uber,137095
2018-05-25,2018-05,Uber,138670
2018-05-26,2018-05,Uber,145319
2018-05-27,2018-05,Uber,131805
2018-05-28,2018-05,Uber,108157
2018-05-29,2018-05,Uber,117381
2018-05-30,2018-05,Uber,126467
2018-05-31,2018-05,Uber,145837
