pickup_date,pickup_month,company,trips
2017-06-01,2017-06,Uber,103134
2017-06-02,2017-06,Uber,112852
2017-06-03,2017-06,Uber,125487
2017-06-04,2017-06,Uber,111320
2017-06-05,2017-06,Uber,91712
2017-06-06,2017-06,Uber,103378
2017-06-07,2017-06,Uber,104312
2017-06-08,2017-06,Uber,111128
2017-06-09,2017-06,Uber,113969
2017-06-10,2017-06,Uber,127471
2017-06-11,2017-06,Uber,110696
2017-06-12,2017-06,Uber,95601
2017-06-13,2017-06,Uber,103450
2017-06-14,2017-06,Uber,103703
2017-06-15,2017-06,Uber,107541
2017-06-16,2017-06,Uber,112471
2017-06-17,2017-06,Uber,128019
2017-06-18,2017-06,Uber,107280
2017-06-19,2017-06,Uber,103561
2017-06-20,2017-06,Uber,97520
2017-06-21,2017-06,Uber,104791
2017-06-22,2017-06,Uber,101581
2017-06-23,2017-06,Uber,119369
2017-06-24,2017-06,Uber,131084
2017-06-25,2017-06,Uber,103713
2017-06-26,2017-06,Uber,87535
2017-06-27,2017-06,Uber,96941
2017-06-28,2017-06,Uber,97031
2017-06-29,2017-06,Uber,99421
2017-06-30,2017-06,Uber,103740
