pickup_date,pickup_month,company,trips
2015-05-01,2015-05,Uber,92312
2015-05-02,2015-05,Uber,104941
2015-05-03,2015-05,Uber,80254
2015-05-04,2015-05,Uber,65436
2015-05-05,2015-05,Uber,76185
2015-05-06,2015-05,Uber,80441
2015-05-07,2015-05,Uber,87347
2015-05-08,2015-05,Uber,90719
2015-05-09,2015-05,Uber,98310
2015-05-10,2015-05,Uber,80108
2015-05-11,2015-05,Uber,70296
2015-05-12,2015-05,Uber,78423
2015-05-13,2015-05,Uber,84925
2015-05-14,2015-05,Uber,93608
2015-05-15,2015-05,Uber,99736
2015-05-16,2015-05,Uber,121500
2015-05-17,2015-05,Uber,94263
2015-05-18,2015-05,Uber,76402
2015-05-19,2015-05,Uber,85356
2015-05-20,2015-05,Uber,91052
2015-05-21,2015-05,Uber,95128
2015-05-22,2015-05,Uber,85763
2015-05-23,2015-05,Uber,78334
2015-05-24,2015-05,Uber,68314
2015-05-25,2015-05,Uber,59739
2015-05-26,2015-05,Uber,72810
2015-05-27,2015-05,Uber,88657
2015-05-28,2015-05,Uber,95064
2015-05-29,2015-05,Uber,98188
2015-05-30,2015-05,Uber,104416
2015-05-31,2015-05,Uber,96928
