pickup_date,pickup_month,company,trips
2016-11-01,2016-11,Uber,108674
2016-11-02,2016-11,Uber,109277
2016-11-03,2016-11,Uber,125610
2016-11-04,2016-11,Uber,129487
2016-11-05,2016-11,Uber,145731
2016-11-06,2016-11,Uber,120649
2016-11-07,2016-11,Uber,101981
2016-11-08,2016-11,Uber,99693
2016-11-09,2016-11,Uber,120160
2016-11-10,2016-11,Uber,119983
2016-11-11,2016-11,Uber,130526
2016-11-12,2016-11,Uber,149619
2016-11-13,2016-11,Uber,128840
2016-11-14,2016-11,Uber,100265
2016-11-15,2016-11,Uber,122857
2016-11-16,2016-11,Uber,114774
2016-11-17,2016-11,Uber,123309
2016-11-18,2016-11,Uber,128449
2016-11-19,2016-11,Uber,152188
2016-11-20,2016-11,Uber,144365
2016-11-21,2016-11,Uber,112056
2016-11-22,2016-11,Uber,116851
2016-11-23,2016-11,Uber,114346
2016-11-24,2016-11,Uber,99431
2016-11-25,2016-11,Uber,86475
2016-11-26,2016-11,Uber,107823
2016-11-27,2016-11,Uber,106196
2016-11-28,2016-11,Uber,96050
2016-11-29,2016-11,Uber,126693
2016-11-30,2016-11,Uber,123888
