pickup_date,pickup_month,company,trips
2015-06-01,2015-06,Uber,93493
2015-06-02,2015-06,Uber,97586
2015-06-03,2015-06,Uber,87202
2015-06-04,2015-06,Uber,95016
2015-06-05,2015-06,Uber,101909
2015-06-06,2015-06,Uber,101766
2015-06-07,2015-06,Uber,88866
2015-06-08,2015-06,Uber,76895
2015-06-09,2015-06,Uber,82456
2015-06-10,2015-06,Uber,87402
2015-06-11,2015-06,Uber,102004
2015-06-12,2015-06,Uber,103046
2015-06-13,2015-06,Uber,101164
2015-06-14,2015-06,Uber,90838
2015-06-15,2015-06,Uber,85845
2015-06-16,2015-06,Uber,89162
2015-06-17,2015-06,Uber,93691
2015-06-18,2015-06,Uber,99835
2015-06-19,2015-06,Uber,101694
2015-06-20,2015-06,Uber,101646
2015-06-21,2015-06,Uber,89252
2015-06-22,2015-06,Uber,75404
2015-06-23,2015-06,Uber,93163
2015-06-24,2015-06,Uber,91379
2015-06-25,2015-06,Uber,100067
2015-06-26,2015-06,Uber,99501
2015-06-27,2015-06,Uber,136172
2015-06-28,2015-06,Uber,93083
2015-06-29,2015-06,Uber,74420
2015-06-30,2015-06,Uber,82615
