pickup_date,pickup_month,company,trips
2016-02-01,2016-02,Uber,102772
2016-02-02,2016-02,Uber,108233
2016-02-03,2016-02,Uber,134603
2016-02-04,2016-02,Uber,129541
2016-02-05,2016-02,Uber,152503
2016-02-06,2016-02,Uber,162756
2016-02-07,2016-02,Uber,142295
2016-02-08,2016-02,Uber,109762
2016-02-09,2016-02,Uber,115786
2016-02-10,2016-02,Uber,126258
2016-02-11,2016-02,Uber,153547
2016-02-12,2016-02,Uber,167400
2016-02-13,2016-02,Uber,199976
2016-02-14,2016-02,Uber,186588
2016-02-15,2016-02,Uber,128611
2016-02-16,2016-02,Uber,126043
2016-02-17,2016-02,Uber,122183
2016-02-18,2016-02,Uber,137263
2016-02-19,2016-02,Uber,150092
2016-02-20,2016-02,Uber,158760
2016-02-21,2016-02,Uber,137711
2016-02-22,2016-02,Uber,103929
2016-02-23,2016-02,Uber,138665
2016-02-24,2016-02,Uber,149713
2016-02-25,2016-02,Uber,138281
2016-02-26,2016-02,Uber,153735
2016-02-27,2016-02,Uber,165902
2016-02-28,2016-02,Uber,136331
2016-02-29,2016-02,Uber,107569
