pickup_date,pickup_month,company,trips
2017-03-01,2017-03,Uber,105589
2017-03-02,2017-03,Uber,119753
2017-03-03,2017-03,Uber,132474
2017-03-04,2017-03,Uber,157423
2017-03-05,2017-03,Uber,129408
2017-03-06,2017-03,Uber,100876
2017-03-07,2017-03,Uber,105181
2017-03-08,2017-03,Uber,104468
2017-03-09,2017-03,Uber,115408
2017-03-10,2017-03,Uber,134134
2017-03-11,2017-03,Uber,151824
2017-03-12,2017-03,Uber,128734
2017-03-13,2017-03,Uber,113173
2017-03-14,2017-03,Uber,57644
2017-03-15,2017-03,Uber,121736
2017-03-16,2017-03,Uber,124401
2017-03-17,2017-03,Uber,123511
2017-03-18,2017-03,Uber,145298
2017-03-19,2017-03,Uber,116590
2017-03-20,2017-03,Uber,95251
2017-03-21,2017-03,Uber,94303
2017-03-22,2017-03,Uber,113015
2017-03-23,2017-03,Uber,115077
2017-03-24,2017-03,Uber,118903
2017-03-25,2017-03,Uber,133665
2017-03-26,2017-03,Uber,117109
2017-03-27,2017-03,Uber,95905
2017-03-28,2017-03,Uber,113038
2017-03-29,2017-03,Uber,100079
2017-03-30,2017-03,Uber,111960
2017-03-31,2017-03,Uber,151130
