pickup_date,pickup_month,company,trips
2016-05-01,2016-05,Uber,139112
2016-05-02,2016-05,Uber,108031
2016-05-03,2016-05,Uber,133564
2016-05-04,2016-05,Uber,135995
2016-05-05,2016-05,Uber,151491
2016-05-06,2016-05,Uber,183554
2016-05-07,2016-05,Uber,168721
2016-05-08,2016-05,Uber,144144
2016-05-09,2016-05,Uber,101932
2016-05-10,2016-05,Uber,112671
2016-05-11,2016-05,Uber,117993
2016-05-12,2016-05,Uber,132273
2016-05-13,2016-05,Uber,153517
2016-05-14,2016-05,Uber,163096
2016-05-15,2016-05,Uber,151351
2016-05-16,2016-05,Uber,110819
2016-05-17,2016-05,Uber,122451
2016-05-18,2016-05,Uber,127751
2016-05-19,2016-05,Uber,132937
2016-05-20,2016-05,Uber,138431
2016-05-21,2016-05,Uber,158482
2016-05-22,2016-05,Uber,130493
2016-05-23,2016-05,Uber,98572
2016-05-24,2016-05,Uber,110924
2016-05-25,2016-05,Uber,114658
2016-05-26,2016-05,Uber,120585
2016-05-27,2016-05,Uber,127270
2016-05-28,2016-05,Uber,134052
2016-05-29,2016-05,Uber,120998
2016-05-30,2016-05,Uber,98511
2016-05-31,2016-05,Uber,100620
