pickup_date,pickup_month,company,trips
2018-11-01,2018-11,Uber,158202
2018-11-02,2018-11,Uber,167914
2018-11-03,2018-11,Uber,188219
2018-11-04,2018-11,Uber,153455
2018-11-05,2018-11,Uber,146362
2018-11-06,2018-11,Uber,151445
2018-11-07,2018-11,Uber,140788
2018-11-08,2018-11,Uber,151800
2018-11-09,2018-11,Uber,179814
2018-11-10,2018-11,Uber,194802
2018-11-11,2018-11,Uber,165454
2018-11-12,2018-11,Uber,130985
2018-11-13,2018-11,Uber,149432
2018-11-14,2018-11,Uber,152840
2018-11-15,2018-11,Uber,145034
2018-11-16,2018-11,Uber,176498
2018-11-17,2018-11,Uber,192272
2018-11-18,2018-11,Uber,165556
2018-11-19,2018-11,Uber,134685
2018-11-20,2018-11,Uber,144133
2018-11-21,2018-11,Uber,154766
2018-11-22,2018-11,Uber,152960
2018-11-23,2018-11,Uber,139632
2018-11-24,2018-11,Uber,160566
2018-11-25,2018-11,Uber,140382
2018-11-26,2018-11,Uber,148443
2018-11-27,2018-11,Uber,142131
2018-11-28,2018-11,Uber,147911
2018-11-29,2018-11,Uber,155715
2018-11-30,2018-11,Uber,175289
