pickup_date,pickup_month,company,trips
2018-03-01,2018-03,Uber,118731
2018-03-02,2018-03,Uber,148078
2018-03-03,2018-03,Uber,135218
2018-03-04,2018-03,Uber,123965
2018-03-05,2018-03,Uber,104750
2018-03-06,2018-03,Uber,108053
2018-03-07,2018-03,Uber,109298
2018-03-08,2018-03,Uber,120494
2018-03-09,2018-03,Uber,128569
2018-03-10,2018-03,Uber,139009
2018-03-11,2018-03,Uber,118351
2018-03-12,2018-03,Uber,106565
2018-03-13,2018-03,Uber,112641
2018-03-14,2018-03,Uber,118388
2018-03-15,2018-03,Uber,124656
2018-03-16,2018-03,Uber,130212
2018-03-17,2018-03,Uber,142462
2018-03-18,2018-03,Uber,122832
2018-03-19,2018-03,Uber,103877
2018-03-20,2018-03,Uber,115848
2018-03-21,2018-03,Uber,90391
2018-03-22,2018-03,Uber,124333
2018-03-23,2018-03,Uber,127161
2018-03-24,2018-03,Uber,138804
2018-03-25,2018-03,Uber,124988
2018-03-26,2018-03,Uber,106244
2018-03-27,2018-03,Uber,112358
2018-03-28,2018-03,Uber,115733
2018-03-29,2018-03,Uber,123822
2018-03-30,2018-03,Uber,125048
2018-03-31,2018-03,Uber,131273
