pickup_date,pickup_month,company,trips
2018-04-01,2018-04,Uber,118511
2018-04-02,2018-04,Uber,105907
2018-04-03,2018-04,Uber,115557
2018-04-04,2018-04,Uber,114177
2018-04-05,2018-04,Uber,123460
2018-04-06,2018-04,Uber,129680
2018-04-07,2018-04,Uber,143218
2018-04-08,2018-04,Uber,127170
2018-04-09,2018-04,Uber,111054
2018-04-10,2018-04,Uber,114225
2018-04-11,2018-04,Uber,118415
2018-04-12,2018-04,Uber,123574
2018-04-13,2018-04,Uber,133899
2018-04-14,2018-04,Uber,153578
2018-04-15,2018-04,Uber,140040
2018-04-16,2018-04,Uber,123492
2018-04-17,2018-04,Uber,118124
2018-04-18,2018-04,Uber,119684
2018-04-19,2018-04,Uber,135920
2018-04-20,2018-04,Uber,142377
2018-04-21,2018-04,Uber,152558
2018-04-22,2018-04,Uber,132165
2018-04-23,2018-04,Uber,112326
2018-04-24,2018-04,Uber,118881
2018-04-25,2018-04,Uber,131793
2018-04-26,2018-04,Uber,130419
2018-04-27,2018-04,Uber,143798
2018-04-28,2018-04,Uber,153874
2018-04-29,2018-04,Uber,138334
2018-04-30,2018-04,Uber,122170
