pickup_date,pickup_month,company,trips
2018-06-01,2018-06,Uber,151579
2018-06-02,2018-06,Uber,166492
2018-06-03,2018-06,Uber,144410
2018-06-04,2018-06,Uber,120461
2018-06-05,2018-06,Uber,119583
2018-06-06,2018-06,Uber,131616
2018-06-07,2018-06,Uber,141090
2018-06-08,2018-06,Uber,144890
2018-06-09,2018-06,Uber,157527
2018-06-10,2018-06,Uber,138967
2018-06-11,2018-06,Uber,117116
2018-06-12,2018-06,Uber,120078
2018-06-13,2018-06,Uber,134770
2018-06-14,2018-06,Uber,145445
2018-06-15,2018-06,Uber,141937
2018-06-16,2018-06,Uber,154815
2018-06-17,2018-06,Uber,138001
2018-06-18,2018-06,Uber,131910
2018-06-19,2018-06,Uber,133713
2018-06-20,2018-06,Uber,138978
2018-06-21,2018-06,Uber,149072
2018-06-22,2018-06,Uber,155203
2018-06-23,2018-06,Uber,163659
2018-06-24,2018-06,Uber,145391
2018-06-25,2018-06,Uber,127045
2018-06-26,2018-06,Uber,127930
2018-06-27,2018-06,Uber,133575
2018-06-28,2018-06,Uber,152373
2018-06-29,2018-06,Uber,151613
2018-06-30,2018-06,Uber,167915
