weekday_num,weekday,hour,company,trips
0,Monday,0,Uber,20418
0,Monday,1,Uber,13034
0,Monday,2,Uber,8813
0,Monday,3,Uber,6885
0,Monday,4,Uber,7497
0,Monday,5,Uber,9383
0,Monday,6,Uber,14943
0,Monday,7,Uber,23500
0,Monday,8,Uber,28019
0,Monday,9,Uber,25810
0,Monday,10,Uber,22649
0,Monday,11,Uber,22689
0,Monday,12,Uber,23817
0,Monday,13,Uber,24991
0,Monday,14,Uber,27763
0,Monday,15,Uber,27497
0,Monday,16,Uber,29015
0,Monday,17,Uber,32543
0,Monday,18,Uber,34543
0,Monday,19,Uber,33497
0,Monday,20,Uber,31888
0,Monday,21,Uber,30009
0,Monday,22,Uber,28166
0,Monday,23,Uber,23337
1,Tuesday,0,Uber,15831
1,Tuesday,1,Uber,9388
1,Tuesday,2,Uber,5757
1,Tuesday,3,Uber,4110
1,Tuesday,4,Uber,5066
1,Tuesday,5,Uber,8459
1,Tuesday,6,Uber,16288
1,Tuesday,7,Uber,27958
1,Tuesday,8,Uber,35039
1,Tuesday,9,Uber,30225
1,Tuesday,10,Uber,23837
1,Tuesday,11,Uber,22218
1,Tuesday,12,Uber,23843
1,Tuesday,13,Uber,27630
1,Tuesday,14,Uber,29201
1,Tuesday,15,Uber,29041
1,Tuesday,16,Uber,30938
1,Tuesday,17,Uber,34074
1,Tuesday,18,Uber,36925
1,Tuesday,19,Uber,35939
1,Tuesday,20,Uber,34269
1,Tuesday,21,Uber,31769
1,Tuesday,22,Uber,29790
1,Tuesday,23,Uber,24253
2,Wednesday,0,Uber,16942
2,Wednesday,1,Uber,9792
2,Wednesday,2,Uber,6475
2,Wednesday,3,Uber,4584
2,Wednesday,4,Uber,5437
2,Wednesday,5,Uber,8146
2,Wednesday,6,Uber,16015
2,Wednesday,7,Uber,26709
2,Wednesday,8,Uber,33514
2,Wednesday,9,Uber,29164
2,Wednesday,10,Uber,23859
2,Wednesday,11,Uber,22399
2,Wednesday,12,Uber,23014
2,Wednesday,13,Uber,23994
2,Wednesday,14,Uber,26528
2,Wednesday,15,Uber,28158
2,Wednesday,16,Uber,29168
2,Wednesday,17,Uber,34707
2,Wednesday,18,Uber,38947
2,Wednesday,19,Uber,39217
2,Wednesday,20,Uber,37833
2,Wednesday,21,Uber,35995
2,Wednesday,22,Uber,33824
2,Wednesday,23,Uber,27608
3,Thursday,0,Uber,18617
3,Thursday,1,Uber,11087
3,Thursday,2,Uber,6978
3,Thursday,3,Uber,4893
3,Thursday,4,Uber,6177
3,Thursday,5,Uber,8875
3,Thursday,6,Uber,16821
3,Thursday,7,Uber,28973
3,Thursday,8,Uber,35128
3,Thursday,9,Uber,30016
3,Thursday,10,Uber,24337
3,Thursday,11,Uber,22907
3,Thursday,12,Uber,23547
3,Thursday,13,Uber,24523
3,Thursday,14,Uber,27629
3,Thursday,15,Uber,29333
3,Thursday,16,Uber,30254
3,Thursday,17,Uber,36316
3,Thursday,18,Uber,41102
3,Thursday,19,Uber,41926
3,Thursday,20,Uber,39508
3,Thursday,21,Uber,37684
3,Thursday,22,Uber,36872
3,Thursday,23,Uber,33060
4,Friday,0,Uber,24150
4,Friday,1,Uber,14532
4,Friday,2,Uber,9571
4,Friday,3,Uber,7092
4,Friday,4,Uber,7407
4,Friday,5,Uber,9771
4,Friday,6,Uber,17722
4,Friday,7,Uber,28943
4,Friday,8,Uber,36089
4,Friday,9,Uber,31070
4,Friday,10,Uber,25078
4,Friday,11,Uber,24554
4,Friday,12,Uber,25479
4,Friday,13,Uber,26435
4,Friday,14,Uber,29374
4,Friday,15,Uber,31030
4,Friday,16,Uber,31861
4,Friday,17,Uber,36852
4,Friday,18,Uber,41486
4,Friday,19,Uber,43779
4,Friday,20,Uber,42909
4,Friday,21,Uber,41786
4,Friday,22,Uber,44756
4,Friday,23,Uber,43902
5,Saturday,0,Uber,47450
5,Saturday,1,Uber,36270
5,Saturday,2,Uber,28061
5,Saturday,3,Uber,21288
5,Saturday,4,Uber,16445
5,Saturday,5,Uber,12128
5,Saturday,6,Uber,14030
5,Saturday,7,Uber,18486
5,Saturday,8,Uber,25270
5,Saturday,9,Uber,29984
5,Saturday,10,Uber,33114
5,Saturday,11,Uber,36624
5,Saturday,12,Uber,38729
5,Saturday,13,Uber,40562
5,Saturday,14,Uber,42635
5,Saturday,15,Uber,44192
5,Saturday,16,Uber,45964
5,Saturday,17,Uber,49046
5,Saturday,18,Uber,51813
5,Saturday,19,Uber,54711
5,Saturday,20,Uber,54901
5,Saturday,21,Uber,53420
5,Saturday,22,Uber,56428
5,Saturday,23,Uber,57995
6,Sunday,0,Uber,53519
6,Sunday,1,Uber,42050
6,Sunday,2,Uber,32498
6,Sunday,3,Uber,24356
6,Sunday,4,Uber,18738
6,Sunday,5,Uber,12594
6,Sunday,6,Uber,13379
6,Sunday,7,Uber,16037
6,Sunday,8,Uber,20365
6,Sunday,9,Uber,26369
6,Sunday,10,Uber,33039
6,Sunday,11,Uber,37654
6,Sunday,12,Uber,39536
6,Sunday,13,Uber,40323
6,Sunday,14,Uber,41407
6,Sunday,15,Uber,41648
6,Sunday,16,Uber,41986
6,Sunday,17,Uber,42431
6,Sunday,18,Uber,43822
6,Sunday,19,Uber,43447
6,Sunday,20,Uber,41645
6,Sunday,21,Uber,39028
6,Sunday,22,Uber,36980
6,Sunday,23,Uber,32232
