weekday_num,weekday,hour,company,trips
0,Monday,0,Uber,11375
0,Monday,1,Uber,6786
0,Monday,2,Uber,4251
0,Monday,3,Uber,3439
0,Monday,4,Uber,5547
0,Monday,5,Uber,7718
0,Monday,6,Uber,11419
0,Monday,7,Uber,16566
0,Monday,8,Uber,20786
0,Monday,9,Uber,20060
0,Monday,10,Uber,16188
0,Monday,11,Uber,15609
0,Monday,12,Uber,15724
0,Monday,13,Uber,15551
0,Monday,14,Uber,16817
0,Monday,15,Uber,18918
0,Monday,16,Uber,21222
0,Monday,17,Uber,24850
0,Monday,18,Uber,28590
0,Monday,19,Uber,32610
0,Monday,20,Uber,30061
0,Monday,21,Uber,27320
0,Monday,22,Uber,25633
0,Monday,23,Uber,19747
1,Tuesday,0,Uber,15314
1,Tuesday,1,Uber,9213
1,Tuesday,2,Uber,5888
1,Tuesday,3,Uber,4365
1,Tuesday,4,Uber,6037
1,Tuesday,5,Uber,9131
1,Tuesday,6,Uber,14492
1,Tuesday,7,Uber,22970
1,Tuesday,8,Uber,29556
1,Tuesday,9,Uber,28616
1,Tuesday,10,Uber,23402
1,Tuesday,11,Uber,23094
1,Tuesday,12,Uber,22592
1,Tuesday,13,Uber,21930
1,Tuesday,14,Uber,23847
1,Tuesday,15,Uber,27086
1,Tuesday,16,Uber,30114
1,Tuesday,17,Uber,35084
1,Tuesday,18,Uber,40669
1,Tuesday,19,Uber,40028
1,Tuesday,20,Uber,37330
1,Tuesday,21,Uber,38406
1,Tuesday,22,Uber,36457
1,Tuesday,23,Uber,29208
2,Wednesday,0,Uber,18786
2,Wednesday,1,Uber,11110
2,Wednesday,2,Uber,7130
2,Wednesday,3,Uber,5090
2,Wednesday,4,Uber,6665
2,Wednesday,5,Uber,9176
2,Wednesday,6,Uber,14125
2,Wednesday,7,Uber,22136
2,Wednesday,8,Uber,28483
2,Wednesday,9,Uber,27377
2,Wednesday,10,Uber,22785
2,Wednesday,11,Uber,21710
2,Wednesday,12,Uber,22570
2,Wednesday,13,Uber,22213
2,Wednesday,14,Uber,24183
2,Wednesday,15,Uber,28801
2,Wednesday,16,Uber,33438
2,Wednesday,17,Uber,39793
2,Wednesday,18,Uber,43482
2,Wednesday,19,Uber,42784
2,Wednesday,20,Uber,40006
2,Wednesday,21,Uber,40635
2,Wednesday,22,Uber,41958
2,Wednesday,23,Uber,36200
3,Thursday,0,Uber,23024
3,Thursday,1,Uber,13533
3,Thursday,2,Uber,8710
3,Thursday,3,Uber,6226
3,Thursday,4,Uber,6958
3,Thursday,5,Uber,9063
3,Thursday,6,Uber,13632
3,Thursday,7,Uber,20322
3,Thursday,8,Uber,25858
3,Thursday,9,Uber,25099
3,Thursday,10,Uber,21795
3,Thursday,11,Uber,22136
3,Thursday,12,Uber,24724
3,Thursday,13,Uber,24981
3,Thursday,14,Uber,27132
3,Thursday,15,Uber,30712
3,Thursday,16,Uber,34700
3,Thursday,17,Uber,40144
3,Thursday,18,Uber,46322
3,Thursday,19,Uber,48848
3,Thursday,20,Uber,48270
3,Thursday,21,Uber,51233
3,Thursday,22,Uber,50567
3,Thursday,23,Uber,43247
4,Friday,0,Uber,26706
4,Friday,1,Uber,15647
4,Friday,2,Uber,9688
4,Friday,3,Uber,6322
4,Friday,4,Uber,6722
4,Friday,5,Uber,7375
4,Friday,6,Uber,10564
4,Friday,7,Uber,15868
4,Friday,8,Uber,20522
4,Friday,9,Uber,20738
4,Friday,10,Uber,18112
4,Friday,11,Uber,17847
4,Friday,12,Uber,18499
4,Friday,13,Uber,18635
4,Friday,14,Uber,20190
4,Friday,15,Uber,22749
4,Friday,16,Uber,26093
4,Friday,17,Uber,31211
4,Friday,18,Uber,37420
4,Friday,19,Uber,41089
4,Friday,20,Uber,38192
4,Friday,21,Uber,36073
4,Friday,22,Uber,38594
4,Friday,23,Uber,40421
5,Saturday,0,Uber,36538
5,Saturday,1,Uber,27887
5,Saturday,2,Uber,18749
5,Saturday,3,Uber,12646
5,Saturday,4,Uber,9777
5,Saturday,5,Uber,6924
5,Saturday,6,Uber,7057
5,Saturday,7,Uber,8681
5,Saturday,8,Uber,11405
5,Saturday,9,Uber,15123
5,Saturday,10,Uber,18476
5,Saturday,11,Uber,21192
5,Saturday,12,Uber,23215
5,Saturday,13,Uber,24364
5,Saturday,14,Uber,24764
5,Saturday,15,Uber,26386
5,Saturday,16,Uber,30406
5,Saturday,17,Uber,35650
5,Saturday,18,Uber,38565
5,Saturday,19,Uber,42972
5,Saturday,20,Uber,39680
5,Saturday,21,Uber,36441
5,Saturday,22,Uber,39966
5,Saturday,23,Uber,43765
6,Sunday,0,Uber,42202
6,Sunday,1,Uber,34798
6,Sunday,2,Uber,25112
6,Sunday,3,Uber,16826
6,Sunday,4,Uber,12157
6,Sunday,5,Uber,7729
6,Sunday,6,Uber,7146
6,Sunday,7,Uber,7726
6,Sunday,8,Uber,10051
6,Sunday,9,Uber,14123
6,Sunday,10,Uber,18693
6,Sunday,11,Uber,22355
6,Sunday,12,Uber,23968
6,Sunday,13,Uber,23864
6,Sunday,14,Uber,23603
6,Sunday,15,Uber,24394
6,Sunday,16,Uber,27461
6,Sunday,17,Uber,29694
6,Sunday,18,Uber,29347
6,Sunday,19,Uber,26262
6,Sunday,20,Uber,23835
6,Sunday,21,Uber,22328
6,Sunday,22,Uber,20741
6,Sunday,23,Uber,16766
