weekday_num,weekday,hour,base,base_name,trips
1,Tuesday,3,B02598,Hinter,1432
1,Tuesday,3,B02617,Weiter,1374
1,Tuesday,3,B02682,Schmecken,1252
1,Tuesday,3,B02764,Danach-NY,258
1,Tuesday,4,B02512,Unter,282
1,Tuesday,4,B02598,Hinter,2287
1,Tuesday,4,B02617,Weiter,2410
1,Tuesday,4,B02682,Schmecken,2112
1,Tuesday,4,B02764,Danach-NY,457
1,Tuesday,5,B02512,Unter,517
1,Tuesday,5,B02598,Hinter,4109
1,Tuesday,5,B02617,Weiter,4721
1,Tuesday,5,B02682,Schmecken,4000
1,Tuesday,5,B02764,Danach-NY,894
1,Tuesday,6,B02512,Unter,1151
1,Tuesday,6,B02598,Hinter,7861
1,Tuesday,6,B02617,Weiter,8644
1,Tuesday,6,B02682,Schmecken,7655
1,Tuesday,6,B02764,Danach-NY,1561
1,Tuesday,7,B02512,Unter,1656
1,Tuesday,7,B02598,Hinter,10806
1,Tuesday,7,B02617,Weiter,11611
1,Tuesday,7,B02682,Schmecken,10510
1,Tuesday,7,B02764,Danach-NY,2016
1,Tuesday,8,B02512,Unter,1443
1,Tuesday,8,B02598,Hinter,9917
1,Tuesday,8,B02617,Weiter,10970
1,Tuesday,8,B02682,Schmecken,9576
1,Tuesday,8,B02764,Danach-NY,2028
1,Tuesday,9,B02512,Unter,1114
1,Tuesday,9,B02598,Hinter,7303
1,Tuesday,9,B02617,Weiter,8214
1,Tuesday,9,B02682,Schmecken,6777
1,Tuesday,9,B02764,Danach-NY,1615
1,Tuesday,10,B02512,Unter,1229
1,Tuesday,10,B02598,Hinter,6914
1,Tuesday,10,B02617,Weiter,7776
1,Tuesday,10,B02682,Schmecken,6228
1,Tuesday,10,B02764,Danach-NY,1529
1,Tuesday,11,B02512,Unter,1275
1,Tuesday,11,B02598,Hinter,6887
1,Tuesday,11,B02617,Weiter,7805
1,Tuesday,11,B02682,Schmecken,6200
1,Tuesday,11,B02764,Danach-NY,1512
1,Tuesday,12,B02512,Unter,1282
1,Tuesday,12,B02598,Hinter,7242
1,Tuesday,12,B02617,Weiter,7656
1,Tuesday,12,B02682,Schmecken,6133
1,Tuesday,12,B02764,Danach-NY,1537
1,Tuesday,13,B02512,Unter,1556
1,Tuesday,13,B02598,Hinter,8924
1,Tuesday,13,B02617,Weiter,9385
1,Tuesday,13,B02682,Schmecken,7390
1,Tuesday,13,B02764,Danach-NY,1820
1,Tuesday,14,B02512,Unter,1744
1,Tuesday,14,B02598,Hinter,10971
1,Tuesday,14,B02617,Weiter,11072
1,Tuesday,14,B02682,Schmecken,8942
1,Tuesday,14,B02764,Danach-NY,2117
1,Tuesday,15,B02512,Unter,2034
1,Tuesday,15,B02598,Hinter,13054
1,Tuesday,15,B02617,Weiter,12987
1,Tuesday,15,B02682,Schmecken,10771
1,Tuesday,15,B02764,Danach-NY,2492
1,Tuesday,16,B02512,Unter,2503
1,Tuesday,16,B02598,Hinter,15351
1,Tuesday,16,B02617,Weiter,15321
1,Tuesday,16,B02682,Schmecken,12751
1,Tuesday,16,B02764,Danach-NY,2741
1,Tuesday,17,B02512,Unter,2875
1,Tuesday,17,B02598,Hinter,17329
1,Tuesday,17,B02617,Weiter,17696
