pickup_date,pickup_month,company,borough,trips
2015-01-19,2015-01,Uber,Manhattan,30568
2015-01-19,2015-01,Uber,Queens,5817
2015-01-19,2015-01,Uber,Staten Island,21
2015-01-19,2015-01,Uber,Unknown,20
2015-01-20,2015-01,Uber,Bronx,578
2015-01-20,2015-01,Uber,Brooklyn,7096
2015-01-20,2015-01,Uber,EWR,1
2015-01-20,2015-01,Uber,Manhattan,41095
2015-01-20,2015-01,Uber,Queens,4922
2015-01-20,2015-01,Uber,Staten Island,25
2015-01-20,2015-01,Uber,Unknown,12
2015-01-21,2015-01,Uber,Bronx,582
2015-01-21,2015-01,Uber,Brooklyn,7712
2015-01-21,2015-01,Uber,Manhattan,45587
2015-01-21,2015-01,Uber,Queens,4006
2015-01-21,2015-01,Uber,Staten Island,36
2015-01-21,2015-01,Uber,Unknown,17
2015-01-22,2015-01,Uber,Bronx,639
2015-01-22,2015-01,Uber,Brooklyn,8192
2015-01-22,2015-01,Uber,EWR,1
2015-01-22,2015-01,Uber,Manhattan,50743
2015-01-22,2015-01,Uber,Queens,4652
2015-01-22,2015-01,Uber,Staten Island,20
2015-01-22,2015-01,Uber,Unknown,14
2015-01-23,2015-01,Uber,Bronx,730
2015-01-23,2015-01,Uber,Brooklyn,10040
2015-01-23,2015-01,Uber,Manhattan,54371
2015-01-23,2015-01,Uber,Queens,5182
2015-01-23,2015-01,Uber,Staten Island,33
2015-01-23,2015-01,Uber,Unknown,16
2015-01-24,2015-01,Uber,Bronx,790
2015-01-24,2015-01,Uber,Brooklyn,14593
2015-01-24,2015-01,Uber,Manhattan,58174
2015-01-24,2015-01,Uber,Queens,5609
2015-01-24,2015-01,Uber,Staten Island,44
2015-01-24,2015-01,Uber,Unknown,23
2015-01-25,2015-01,Uber,Bronx,691
2015-01-25,2015-01,Uber,Brooklyn,11723
2015-01-25,2015-01,Uber,Manhattan,38305
2015-01-25,2015-01,Uber,Queens,5938
2015-01-25,2015-01,Uber,Staten Island,23
2015-01-25,2015-01,Uber,Unknown,20
2015-01-26,2015-01,Uber,Bronx,536
2015-01-26,2015-01,Uber,Brooklyn,5913
2015-01-26,2015-01,Uber,EWR,1
2015-01-26,2015-01,Uber,Manhattan,32428
2015-01-26,2015-01,Uber,Queens,3655
2015-01-26,2015-01,Uber,Staten Island,15
2015-01-26,2015-01,Uber,Unknown,14
2015-01-27,2015-01,Uber,Bronx,319
2015-01-27,2015-01,Uber,Brooklyn,4015
2015-01-27,2015-01,Uber,Manhattan,18855
2015-01-27,2015-01,Uber,Queens,1638
2015-01-27,2015-01,Uber,Staten Island,16
2015-01-27,2015-01,Uber,Unknown,8
2015-01-28,2015-01,Uber,Bronx,688
2015-01-28,2015-01,Uber,Brooklyn,8276
2015-01-28,2015-01,Uber,Manhattan,45129
2015-01-28,2015-01,Uber,Queens,5093
2015-01-28,2015-01,Uber,Staten Island,20
2015-01-28,2015-01,Uber,Unknown,21
2015-01-29,2015-01,Uber,Bronx,688
2015-01-29,2015-01,Uber,Brooklyn,8855
2015-01-29,2015-01,Uber,Manhattan,52862
2015-01-29,2015-01,Uber,Queens,5255
2015-01-29,2015-01,Uber,Staten Island,28
2015-01-29,2015-01,Uber,Unknown,20
2015-01-30,2015-01,Uber,Bronx,880
2015-01-30,2015-01,Uber,Brooklyn,11892
2015-01-30,2015-01,Uber,Manhattan,63778
2015-01-30,2015-01,Uber,Queens,5587
2015-01-30,2015-01,Uber,Staten Island,31
2015-01-30,2015-01,Uber,Unknown,21
2015-01-31,2015-01,Uber,Bronx,947
2015-01-31,2015-01,Uber,Brooklyn,17358
2015-01-31,2015-01,Uber,Manhattan,65973
2015-01-31,2015-01,Uber,Queens,6156
2015-01-31,2015-01,Uber,Staten Island,41
2015-01-31,2015-01,Uber,Unknown,25
2015-02-01,2015-02,Uber,Bronx,973
2015-02-01,2015-02,Uber,Brooklyn,15543
2015-02-01,2015-02,Uber,Manhattan,51909
2015-02-01,2015-02,Uber,Queens,6537
2015-02-01,2015-02,Uber,Staten Island,41
2015-02-01,2015-02,Uber,Unknown,23
2015-02-02,2015-02,Uber,Bronx,703
2015-02-02,2015-02,Uber,Brooklyn,9150
2015-02-02,2015-02,Uber,Manhattan,50839
2015-02-02,2015-02,Uber,Queens,6743
2015-02-02,2015-02,Uber,Staten Island,30
2015-02-02,2015-02,Uber,Unknown,31
2015-02-03,2015-02,Uber,Bronx,795
2015-02-03,2015-02,Uber,Brooklyn,8935
2015-02-03,2015-02,Uber,Manhattan,52454
2015-02-03,2015-02,Uber,Queens,6543
2015-02-03,2015-02,Uber,Staten Island,19
2015-02-03,2015-02,Uber,Unknown,24
2015-02-04,2015-02,Uber,Bronx,794
2015-02-04,2015-02,Uber,Brooklyn,8570
2015-02-04,2015-02,Uber,EWR,1
2015-02-04,2015-02,Uber,Manhattan,51316
