pickup_date,pickup_month,borough,trips
2015-01-26,2015-01,Bronx,577
2015-01-26,2015-01,Brooklyn,6184
2015-01-26,2015-01,EWR,1
2015-01-26,2015-01,Manhattan,33686
2015-01-26,2015-01,Queens,3826
2015-01-26,2015-01,Staten Island,15
2015-01-26,2015-01,Unknown,21
2015-01-27,2015-01,Bronx,346
2015-01-27,2015-01,Brooklyn,4217
2015-01-27,2015-01,Manhattan,19687
2015-01-27,2015-01,Queens,1679
2015-01-27,2015-01,Staten Island,16
2015-01-27,2015-01,Unknown,9
2015-01-28,2015-01,Bronx,731
2015-01-28,2015-01,Brooklyn,8662
2015-01-28,2015-01,Manhattan,46908
2015-01-28,2015-01,Queens,5275
2015-01-28,2015-01,Staten Island,21
2015-01-28,2015-01,Unknown,29
2015-01-29,2015-01,Bronx,749
2015-01-29,2015-01,Brooklyn,9272
2015-01-29,2015-01,Manhattan,54923
2015-01-29,2015-01,Queens,5442
2015-01-29,2015-01,Staten Island,28
2015-01-29,2015-01,Unknown,27
2015-01-30,2015-01,Bronx,956
2015-01-30,2015-01,Brooklyn,12406
2015-01-30,2015-01,Manhattan,66299
2015-01-30,2015-01,Queens,5844
2015-01-30,2015-01,Staten Island,34
2015-01-30,2015-01,Unknown,26
2015-01-31,2015-01,Bronx,1024
2015-01-31,2015-01,Brooklyn,18107
2015-01-31,2015-01,Manhattan,68820
2015-01-31,2015-01,Queens,6422
2015-01-31,2015-01,Staten Island,43
2015-01-31,2015-01,Unknown,32
2015-02-01,2015-02,Bronx,1058
2015-02-01,2015-02,Brooklyn,16262
2015-02-01,2015-02,Manhattan,54340
2015-02-01,2015-02,Queens,6858
2015-02-01,2015-02,Staten Island,42
2015-02-01,2015-02,Unknown,32
2015-02-02,2015-02,Bronx,764
2015-02-02,2015-02,Brooklyn,9556
2015-02-02,2015-02,Manhattan,52793
2015-02-02,2015-02,Queens,7017
2015-02-02,2015-02,Staten Island,32
2015-02-02,2015-02,Unknown,31
2015-02-03,2015-02,Bronx,838
2015-02-03,2015-02,Brooklyn,9333
2015-02-03,2015-02,Manhattan,54501
2015-02-03,2015-02,Queens,6809
2015-02-03,2015-02,Staten Island,19
2015-02-03,2015-02,Unknown,32
2015-02-04,2015-02,Bronx,852
2015-02-04,2015-02,Brooklyn,8926
2015-02-04,2015-02,EWR,1
2015-02-04,2015-02,Manhattan,53462
2015-02-04,2015-02,Queens,4951
2015-02-04,2015-02,Staten Island,19
2015-02-04,2015-02,Unknown,26
2015-02-05,2015-02,Bronx,891
2015-02-05,2015-02,Brooklyn,10356
2015-02-05,2015-02,Manhattan,65436
2015-02-05,2015-02,Queens,5605
2015-02-05,2015-02,Staten Island,24
2015-02-05,2015-02,Unknown,24
2015-02-06,2015-02,Bronx,1080
2015-02-06,2015-02,Brooklyn,12377
2015-02-06,2015-02,Manhattan,67679
2015-02-06,2015-02,Queens,6361
2015-02-06,2015-02,Staten Island,31
2015-02-06,2015-02,Unknown,40
2015-02-07,2015-02,Bronx,1190
2015-02-07,2015-02,Brooklyn,16154
2015-02-07,2015-02,EWR,1
2015-02-07,2015-02,Manhattan,59138
2015-02-07,2015-02,Queens,6186
2015-02-07,2015-02,Staten Island,42
2015-02-07,2015-02,Unknown,41
2015-02-08,2015-02,Bronx,955
2015-02-08,2015-02,Brooklyn,13452
2015-02-08,2015-02,Manhattan,43373
2015-02-08,2015-02,Queens,6487
2015-02-08,2015-02,Staten Island,33
2015-02-08,2015-02,Unknown,27
2015-02-09,2015-02,Bronx,728
2015-02-09,2015-02,Brooklyn,9000
2015-02-09,2015-02,Manhattan,47904
2015-02-09,2015-02,Queens,5633
