pickup_date,pickup_month,borough,trips,year,month,month_name,weekday,weekday_num,week_start,is_weekend,is_month_start,is_month_end,holiday_name,is_federal_holiday,nyc_event,has_nyc_event,weather_code,temperature_2m_max,temperature_2m_min,temperature_avg_f,apparent_temperature_max,apparent_temperature_min,apparent_temperature_avg_f,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,has_rain,has_snow,has_precipitation
2015-01-01,2015-01,Bronx,1152,2015,1,January,Thursday,3,2014-12-29,False,True,False,New Year's Day,True,New Year's Day,True,1,36.3,24.0,30.15,25.0,14.1,19.55,0.0,0.0,0.0,0.0,13.2,False,False,False
2015-01-01,2015-01,Brooklyn,13261,2015,1,January,Thursday,3,2014-12-29,False,True,False,New Year's Day,True,New Year's Day,True,1,36.3,24.0,30.15,25.0,14.1,19.55,0.0,0.0,0.0,0.0,13.2,False,False,False
2015-01-01,2015-01,EWR,1,2015,1,January,Thursday,3,2014-12-29,False,True,False,New Year's Day,True,New Year's Day,True,1,36.3,24.0,30.15,25.0,14.1,19.55,0.0,0.0,0.0,0.0,13.2,False,False,False
2015-01-01,2015-01,Manhattan,38144,2015,1,January,Thursday,3,2014-12-29,False,True,False,New Year's Day,True,New Year's Day,True,1,36.3,24.0,30.15,25.0,14.1,19.55,0.0,0.0,0.0,0.0,13.2,False,False,False
2015-01-01,2015-01,Queens,5395,2015,1,January,Thursday,3,2014-12-29,False,True,False,New Year's Day,True,New Year's Day,True,1,36.3,24.0,30.15,25.0,14.1,19.55,0.0,0.0,0.0,0.0,13.2,False,False,False
2015-01-01,2015-01,Staten Island,54,2015,1,January,Thursday,3,2014-12-29,False,True,False,New Year's Day,True,New Year's Day,True,1,36.3,24.0,30.15,25.0,14.1,19.55,0.0,0.0,0.0,0.0,13.2,False,False,False
2015-01-01,2015-01,Unknown,38,2015,1,January,Thursday,3,2014-12-29,False,True,False,New Year's Day,True,New Year's Day,True,1,36.3,24.0,30.15,25.0,14.1,19.55,0.0,0.0,0.0,0.0,13.2,False,False,False
2015-01-02,2015-01,Bronx,562,2015,1,January,Friday,4,2014-12-29,False,False,False,,False,,False,3,41.5,27.7,34.6,32.1,20.6,26.35,0.0,0.0,0.0,0.0,12.4,False,False,False
2015-01-02,2015-01,Brooklyn,7437,2015,1,January,Friday,4,2014-12-29,False,False,False,,False,,False,3,41.5,27.7,34.6,32.1,20.6,26.35,0.0,0.0,0.0,0.0,12.4,False,False,False
2015-01-02,2015-01,Manhattan,27867,2015,1,January,Friday,4,2014-12-29,False,False,False,,False,,False,3,41.5,27.7,34.6,32.1,20.6,26.35,0.0,0.0,0.0,0.0,12.4,False,False,False
2015-01-02,2015-01,Queens,4377,2015,1,January,Friday,4,2014-12-29,False,False,False,,False,,False,3,41.5,27.7,34.6,32.1,20.6,26.35,0.0,0.0,0.0,0.0,12.4,False,False,False
2015-01-02,2015-01,Staten Island,23,2015,1,January,Friday,4,2014-12-29,False,False,False,,False,,False,3,41.5,27.7,34.6,32.1,20.6,26.35,0.0,0.0,0.0,0.0,12.4,False,False,False
2015-01-02,2015-01,Unknown,21,2015,1,January,Friday,4,2014-12-29,False,False,False,,False,,False,3,41.5,27.7,34.6,32.1,20.6,26.35,0.0,0.0,0.0,0.0,12.4,False,False,False
2015-01-03,2015-01,Bronx,706,2015,1,January,Saturday,5,2014-12-29,True,False,False,,False,,False,75,44.2,26.1,35.150000000000006,39.2,19.3,29.25,0.65,0.476,1.213,10.0,9.8,True,True,True
2015-01-03,2015-01,Brooklyn,11078,2015,1,January,Saturday,5,2014-12-29,True,False,False,,False,,False,75,44.2,26.1,35.150000000000006,39.2,19.3,29.25,0.65,0.476,1.213,10.0,9.8,True,True,True
2015-01-03,2015-01,Manhattan,42167,2015,1,January,Saturday,5,2014-12-29,True,False,False,,False,,False,75,44.2,26.1,35.150000000000006,39.2,19.3,29.25,0.65,0.476,1.213,10.0,9.8,True,True,True
2015-01-03,2015-01,Queens,5838,2015,1,January,Saturday,5,2014-12-29,True,False,False,,False,,False,75,44.2,26.1,35.150000000000006,39.2,19.3,29.25,0.65,0.476,1.213,10.0,9.8,True,True,True
2015-01-03,2015-01,Staten Island,22,2015,1,January,Saturday,5,2014-12-29,True,False,False,,False,,False,75,44.2,26.1,35.150000000000006,39.2,19.3,29.25,0.65,0.476,1.213,10.0,9.8,True,True,True
2015-01-03,2015-01,Unknown,33,2015,1,January,Saturday,5,2014-12-29,True,False,False,,False,,False,75,44.2,26.1,35.150000000000006,39.2,19.3,29.25,0.65,0.476,1.213,10.0,9.8,True,True,True
2015-01-04,2015-01,Bronx,579,2015,1,January,Sunday,6,2014-12-29,True,False,False,,False,,False,61,56.0,43.9,49.95,53.0,39.8,46.4,0.283,0.283,0.0,13.0,13.9,True,False,True
2015-01-04,2015-01,Brooklyn,8473,2015,1,January,Sunday,6,2014-12-29,True,False,False,,False,,False,61,56.0,43.9,49.95,53.0,39.8,46.4,0.283,0.283,0.0,13.0,13.9,True,False,True
2015-01-04,2015-01,Manhattan,26306,2015,1,January,Sunday,6,2014-12-29,True,False,False,,False,,False,61,56.0,43.9,49.95,53.0,39.8,46.4,0.283,0.283,0.0,13.0,13.9,True,False,True
2015-01-04,2015-01,Queens,6551,2015,1,January,Sunday,6,2014-12-29,True,False,False,,False,,False,61,56.0,43.9,49.95,53.0,39.8,46.4,0.283,0.283,0.0,13.0,13.9,True,False,True
2015-01-04,2015-01,Staten Island,16,2015,1,January,Sunday,6,2014-12-29,True,False,False,,False,,False,61,56.0,43.9,49.95,53.0,39.8,46.4,0.283,0.283,0.0,13.0,13.9,True,False,True
2015-01-04,2015-01,Unknown,18,2015,1,January,Sunday,6,2014-12-29,True,False,False,,False,,False,61,56.0,43.9,49.95,53.0,39.8,46.4,0.283,0.283,0.0,13.0,13.9,True,False,True
2015-01-05,2015-01,Bronx,489,2015,1,January,Monday,0,2015-01-05,False,False,False,,False,,False,3,44.8,24.8,34.8,37.1,13.5,25.3,0.0,0.0,0.0,0.0,16.6,False,False,False
2015-01-05,2015-01,Brooklyn,6543,2015,1,January,Monday,0,2015-01-05,False,False,False,,False,,False,3,44.8,24.8,34.8,37.1,13.5,25.3,0.0,0.0,0.0,0.0,16.6,False,False,False
2015-01-05,2015-01,EWR,1,2015,1,January,Monday,0,2015-01-05,False,False,False,,False,,False,3,44.8,24.8,34.8,37.1,13.5,25.3,0.0,0.0,0.0,0.0,16.6,False,False,False
2015-01-05,2015-01,Manhattan,31036,2015,1,January,Monday,0,2015-01-05,False,False,False,,False,,False,3,44.8,24.8,34.8,37.1,13.5,25.3,0.0,0.0,0.0,0.0,16.6,False,False,False
2015-01-05,2015-01,Queens,5571,2015,1,January,Monday,0,2015-01-05,False,False,False,,False,,False,3,44.8,24.8,34.8,37.1,13.5,25.3,0.0,0.0,0.0,0.0,16.6,False,False,False
2015-01-05,2015-01,Staten Island,19,2015,1,January,Monday,0,2015-01-05,False,False,False,,False,,False,3,44.8,24.8,34.8,37.1,13.5,25.3,0.0,0.0,0.0,0.0,16.6,False,False,False
2015-01-05,2015-01,Unknown,19,2015,1,January,Monday,0,2015-01-05,False,False,False,,False,,False,3,44.8,24.8,34.8,37.1,13.5,25.3,0.0,0.0,0.0,0.0,16.6,False,False,False
2015-01-06,2015-01,Bronx,597,2015,1,January,Tuesday,1,2015-01-05,False,False,False,,False,,False,73,24.1,19.9,22.0,15.4,9.3,12.350000000000001,0.047,0.0,0.413,6.0,10.6,False,True,True
2015-01-06,2015-01,Brooklyn,7085,2015,1,January,Tuesday,1,2015-01-05,False,False,False,,False,,False,73,24.1,19.9,22.0,15.4,9.3,12.350000000000001,0.047,0.0,0.413,6.0,10.6,False,True,True
2015-01-06,2015-01,Manhattan,41485,2015,1,January,Tuesday,1,2015-01-05,False,False,False,,False,,False,73,24.1,19.9,22.0,15.4,9.3,12.350000000000001,0.047,0.0,0.413,6.0,10.6,False,True,True
2015-01-06,2015-01,Queens,4341,2015,1,January,Tuesday,1,2015-01-05,False,False,False,,False,,False,73,24.1,19.9,22.0,15.4,9.3,12.350000000000001,0.047,0.0,0.413,6.0,10.6,False,True,True
2015-01-06,2015-01,Staten Island,13,2015,1,January,Tuesday,1,2015-01-05,False,False,False,,False,,False,73,24.1,19.9,22.0,15.4,9.3,12.350000000000001,0.047,0.0,0.413,6.0,10.6,False,True,True
