pickup_date,pickup_month,base,base_name,trips,vehicles
2015-01-30,2015-01,B00221,PROFESSIONAL CAR SERVICE INC,551,86
2015-01-30,2015-01,B00227,"PARK WEST EXEC. SERVICES, INC.",537,155
2015-01-30,2015-01,B00248,YELLOWSTONE TRANSPORTATION INC.,1031,123
2015-01-30,2015-01,B00254,XYZ TWO WAY RADIO,1137,283
2015-01-30,2015-01,B00280,FLEET RADIO DISPATCH CORP.,349,82
2015-01-30,2015-01,B00310,WATSON CAR SERVICE INC.,2226,152
2015-01-30,2015-01,B00381,BELL RADIO INC,256,84
2015-01-30,2015-01,B00412,NYC 2 WAY INTERNATIONAL LTD,294,80
2015-01-30,2015-01,B00448,DIAL CAR INC.,6,2
2015-01-30,2015-01,B00457,PREMIUM BRONX CORP,1848,128
2015-01-30,2015-01,B00477,INTA-BORO ACRES INC,478,144
2015-01-30,2015-01,B00552,HINO-MARU ENTERPRISES INC.,26,14
2015-01-30,2015-01,B00623,MANHATTAN INT'L LIMO NETWORK LLC,19,8
2015-01-30,2015-01,B00837,CAREY LIMO N Y INC,360,143
2015-01-30,2015-01,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2257,710
2015-01-30,2015-01,B00919,HARLEM CARS INC.,894,71
2015-01-30,2015-01,B00948,510 CAR SERVICE CORP,768,64
2015-01-30,2015-01,B01066,DOMINICANA RAD DISP INC,848,78
2015-01-30,2015-01,B01083,BROAD DYCKMAN C/S INC,1047,117
2015-01-30,2015-01,B01087,ELITE LIMO PLUS INC,672,236
2015-01-30,2015-01,B01148,EVELYN CAR SERVICE INC,567,63
2015-01-30,2015-01,B01197,"TEL-A-CAR OF NEW YORK, LLC",240,85
2015-01-30,2015-01,B01282,NEW LOTS C/S INC,1443,81
2015-01-30,2015-01,B01285,UNION RADIO DISPATCH INC,1780,172
2015-01-30,2015-01,B01300,KENNEDY RAD DISP INC,936,130
2015-01-30,2015-01,B01312,BROOKLYN RAD DISP INC,866,111
2015-01-30,2015-01,B01313,JOY CAR SERVICES INC.,23,17
2015-01-30,2015-01,B01315,"V.I.T. CAR SERVICE, INC.",1808,154
2015-01-30,2015-01,B01341,A NEW DAY RAD DISP INC,2115,178
2015-01-30,2015-01,B01346,ARECIBO C/S INC,997,116
2015-01-30,2015-01,B01367,"ROYAL DISPATCH SERVICES, INC.",172,67
2015-01-30,2015-01,B01386,FENIX CAR SVCE CORP,3178,213
2015-01-30,2015-01,B01522,"STM ENTERPRISES,INC",97,14
2015-01-30,2015-01,B01651,U.P.S. RADIO DISPATCH CORP.,447,61
2015-01-30,2015-01,B01777,PREMIUM RADIO DISP & MULTI SVC,978,151
2015-01-30,2015-01,B01848,GRAND LIMO & CAR SERVICE INC.,15,0
2015-01-30,2015-01,B01877,U.S.A. LIMO. INC.,324,115
2015-01-30,2015-01,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",1111,118
2015-01-30,2015-01,B01949,FIRST CLASS OF NEW YORK INC.,38,19
2015-01-30,2015-01,B01984,NY 88 EXPRESS CORP.,550,96
2015-01-30,2015-01,B01990,SUK INCORPORATED,150,37
2015-01-30,2015-01,B02003,"AVALON CORPORATE CAR,INC.",185,80
2015-01-30,2015-01,B02022,GOLD SEAL CAR & LIMO INC.,76,28
2015-01-30,2015-01,B02096,"CET GROUP, INC",8,8
2015-01-30,2015-01,B02107,APOLLO RADIO DISPATCH INC.,1122,93
2015-01-30,2015-01,B02120,HARRISON GLOBAL LLC,259,92
2015-01-30,2015-01,B02147,"MITA LIMOUSINE, INC.",38,11
2015-01-30,2015-01,B02183,BANGLA CAR & LIMO. SERVICE INC.,5,5
2015-01-30,2015-01,B02285,"VALERA GLOBAL, INC.",198,84
2015-01-30,2015-01,B02475,ECKFORD LITE CAR & LIMO INC.,20,9
2015-01-30,2015-01,B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",16,5
2015-01-30,2015-01,B02566,GSL LIMOUSINES CORP.,10,10
2015-01-30,2015-01,B02569,GOGREENRIDE INC.,175,1
2015-01-30,2015-01,B02653,NEW COLLEGE CAR SVCE INC,1542,115
2015-01-30,2015-01,B02715,GROUNDANYWHERE LLC,237,74
2015-01-31,2015-01,B00013,LOVE CORP CAR INC,117,59
2015-01-31,2015-01,B00014,NY ONE CORP CAR INC,153,81
2015-01-31,2015-01,B00029,COMMUNITY CAR SVC CORP,1641,48
2015-01-31,2015-01,B00053,CHARGE AND RIDE INC,33,25
2015-01-31,2015-01,B00095,LIBERTY CAR SERVICE INC.,1262,83
2015-01-31,2015-01,B00221,PROFESSIONAL CAR SERVICE INC,408,80
2015-01-31,2015-01,B00227,"PARK WEST EXEC. SERVICES, INC.",144,66
2015-01-31,2015-01,B00248,YELLOWSTONE TRANSPORTATION INC.,925,118
2015-01-31,2015-01,B00254,XYZ TWO WAY RADIO,463,173
2015-01-31,2015-01,B00280,FLEET RADIO DISPATCH CORP.,148,64
2015-01-31,2015-01,B00310,WATSON CAR SERVICE INC.,2346,152
2015-01-31,2015-01,B00381,BELL RADIO INC,65,36
2015-01-31,2015-01,B00412,NYC 2 WAY INTERNATIONAL LTD,130,32
2015-01-31,2015-01,B00448,DIAL CAR INC.,2,1
2015-01-31,2015-01,B00457,PREMIUM BRONX CORP,1935,130
2015-01-31,2015-01,B00477,INTA-BORO ACRES INC,184,91
2015-01-31,2015-01,B00623,MANHATTAN INT'L LIMO NETWORK LLC,1,1
2015-01-31,2015-01,B00837,CAREY LIMO N Y INC,159,66
2015-01-31,2015-01,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,1716,617
2015-01-31,2015-01,B00919,HARLEM CARS INC.,669,68
2015-01-31,2015-01,B00948,510 CAR SERVICE CORP,768,63
2015-01-31,2015-01,B01066,DOMINICANA RAD DISP INC,1051,78
2015-01-31,2015-01,B01083,BROAD DYCKMAN C/S INC,1157,115
2015-01-31,2015-01,B01087,ELITE LIMO PLUS INC,180,106
2015-01-31,2015-01,B01148,EVELYN CAR SERVICE INC,646,61
2015-01-31,2015-01,B01197,"TEL-A-CAR OF NEW YORK, LLC",86,39
2015-01-31,2015-01,B01282,NEW LOTS C/S INC,1447,80
2015-01-31,2015-01,B01285,UNION RADIO DISPATCH INC,1944,167
2015-01-31,2015-01,B01300,KENNEDY RAD DISP INC,1048,136
2015-01-31,2015-01,B01312,BROOKLYN RAD DISP INC,603,85
2015-01-31,2015-01,B01313,JOY CAR SERVICES INC.,14,10
2015-01-31,2015-01,B01315,"V.I.T. CAR SERVICE, INC.",2004,154
2015-01-31,2015-01,B01341,A NEW DAY RAD DISP INC,1221,150
2015-01-31,2015-01,B01346,ARECIBO C/S INC,1137,120
2015-01-31,2015-01,B01367,"ROYAL DISPATCH SERVICES, INC.",43,26
2015-01-31,2015-01,B01386,FENIX CAR SVCE CORP,3763,209
2015-01-31,2015-01,B01522,"STM ENTERPRISES,INC",100,16
2015-01-31,2015-01,B01651,U.P.S. RADIO DISPATCH CORP.,548,60
2015-01-31,2015-01,B01777,PREMIUM RADIO DISP & MULTI SVC,1020,143
2015-01-31,2015-01,B01848,GRAND LIMO & CAR SERVICE INC.,9,0
2015-01-31,2015-01,B01877,U.S.A. LIMO. INC.,92,50
2015-01-31,2015-01,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",732,78
2015-01-31,2015-01,B01949,FIRST CLASS OF NEW YORK INC.,4,3
2015-01-31,2015-01,B01984,NY 88 EXPRESS CORP.,299,80
2015-01-31,2015-01,B02003,"AVALON CORPORATE CAR,INC.",70,49
2015-01-31,2015-01,B02022,GOLD SEAL CAR & LIMO INC.,15,9
2015-01-31,2015-01,B02096,"CET GROUP, INC",8,8
2015-01-31,2015-01,B02107,APOLLO RADIO DISPATCH INC.,1334,98
2015-01-31,2015-01,B02120,HARRISON GLOBAL LLC,139,64
2015-01-31,2015-01,B02147,"MITA LIMOUSINE, INC.",32,9
2015-01-31,2015-01,B02183,BANGLA CAR & LIMO. SERVICE INC.,19,0
2015-01-31,2015-01,B02285,"VALERA GLOBAL, INC.",57,37
2015-01-31,2015-01,B02475,ECKFORD LITE CAR & LIMO INC.,21,9
2015-01-31,2015-01,B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",1,1
2015-01-31,2015-01,B02566,GSL LIMOUSINES CORP.,4,3
2015-01-31,2015-01,B02569,GOGREENRIDE INC.,102,1
2015-01-31,2015-01,B02653,NEW COLLEGE CAR SVCE INC,1705,113
2015-01-31,2015-01,B02715,GROUNDANYWHERE LLC,123,52
2015-02-01,2015-02,B00013,LOVE CORP CAR INC,160,54
2015-02-01,2015-02,B00014,NY ONE CORP CAR INC,188,73
2015-02-01,2015-02,B00029,COMMUNITY CAR SVC CORP,1392,39
2015-02-01,2015-02,B00053,CHARGE AND RIDE INC,29,21
2015-02-01,2015-02,B00095,LIBERTY CAR SERVICE INC.,1103,75
2015-02-01,2015-02,B00221,PROFESSIONAL CAR SERVICE INC,287,62
2015-02-01,2015-02,B00227,"PARK WEST EXEC. SERVICES, INC.",208,102
2015-02-01,2015-02,B00248,YELLOWSTONE TRANSPORTATION INC.,886,105
2015-02-01,2015-02,B00254,XYZ TWO WAY RADIO,399,146
2015-02-01,2015-02,B00280,FLEET RADIO DISPATCH CORP.,203,69
2015-02-01,2015-02,B00310,WATSON CAR SERVICE INC.,2033,143
2015-02-01,2015-02,B00381,BELL RADIO INC,78,35
2015-02-01,2015-02,B00412,NYC 2 WAY INTERNATIONAL LTD,195,45
2015-02-01,2015-02,B00457,PREMIUM BRONX CORP,1851,113
2015-02-01,2015-02,B00477,INTA-BORO ACRES INC,171,67
2015-02-01,2015-02,B00552,HINO-MARU ENTERPRISES INC.,24,18
2015-02-01,2015-02,B00623,MANHATTAN INT'L LIMO NETWORK LLC,7,3
2015-02-01,2015-02,B00837,CAREY LIMO N Y INC,206,75
2015-02-01,2015-02,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,1803,618
2015-02-01,2015-02,B00919,HARLEM CARS INC.,888,71
2015-02-01,2015-02,B01066,DOMINICANA RAD DISP INC,821,77
2015-02-01,2015-02,B01083,BROAD DYCKMAN C/S INC,624,81
2015-02-01,2015-02,B01087,ELITE LIMO PLUS INC,187,110
2015-02-01,2015-02,B01148,EVELYN CAR SERVICE INC,579,52
2015-02-01,2015-02,B01197,"TEL-A-CAR OF NEW YORK, LLC",84,40
2015-02-01,2015-02,B01282,NEW LOTS C/S INC,1123,76
2015-02-01,2015-02,B01285,UNION RADIO DISPATCH INC,1796,161
2015-02-01,2015-02,B01300,KENNEDY RAD DISP INC,923,122
2015-02-01,2015-02,B01312,BROOKLYN RAD DISP INC,625,84
2015-02-01,2015-02,B01313,JOY CAR SERVICES INC.,14,14
2015-02-01,2015-02,B01315,"V.I.T. CAR SERVICE, INC.",1679,144
2015-02-01,2015-02,B01341,A NEW DAY RAD DISP INC,1031,124
2015-02-01,2015-02,B01367,"ROYAL DISPATCH SERVICES, INC.",61,31
2015-02-01,2015-02,B01522,"STM ENTERPRISES,INC",85,16
2015-02-01,2015-02,B01651,U.P.S. RADIO DISPATCH CORP.,457,56
2015-02-01,2015-02,B01734,AMERICAN DREAM CAR SERVICE INC.,3,0
2015-02-01,2015-02,B01777,PREMIUM RADIO DISP & MULTI SVC,994,131
2015-02-01,2015-02,B01848,GRAND LIMO & CAR SERVICE INC.,13,0
2015-02-01,2015-02,B01877,U.S.A. LIMO. INC.,160,65
2015-02-01,2015-02,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",778,81
2015-02-01,2015-02,B01949,FIRST CLASS OF NEW YORK INC.,1,1
2015-02-01,2015-02,B01984,NY 88 EXPRESS CORP.,146,46
2015-02-01,2015-02,B01990,SUK INCORPORATED,46,16
2015-02-01,2015-02,B02003,"AVALON CORPORATE CAR,INC.",75,43
2015-02-01,2015-02,B02022,GOLD SEAL CAR & LIMO INC.,26,13
2015-02-01,2015-02,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",45,29
2015-02-01,2015-02,B02096,"CET GROUP, INC",4,4
2015-02-01,2015-02,B02107,APOLLO RADIO DISPATCH INC.,1197,87
2015-02-01,2015-02,B02120,HARRISON GLOBAL LLC,164,62
2015-02-01,2015-02,B02147,"MITA LIMOUSINE, INC.",16,6
2015-02-01,2015-02,B02285,"VALERA GLOBAL, INC.",54,33
2015-02-01,2015-02,B02475,ECKFORD LITE CAR & LIMO INC.,25,6
2015-02-01,2015-02,B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",3,2
2015-02-01,2015-02,B02566,GSL LIMOUSINES CORP.,7,6
2015-02-01,2015-02,B02569,GOGREENRIDE INC.,60,1
2015-02-01,2015-02,B02653,NEW COLLEGE CAR SVCE INC,1581,107
2015-02-01,2015-02,B02715,GROUNDANYWHERE LLC,144,46
2015-02-02,2015-02,B00013,LOVE CORP CAR INC,349,72
2015-02-02,2015-02,B00014,NY ONE CORP CAR INC,529,115
2015-02-02,2015-02,B00029,COMMUNITY CAR SVC CORP,979,34
2015-02-02,2015-02,B00053,CHARGE AND RIDE INC,53,24
2015-02-02,2015-02,B00095,LIBERTY CAR SERVICE INC.,926,75
2015-02-02,2015-02,B00221,PROFESSIONAL CAR SERVICE INC,389,68
2015-02-02,2015-02,B00227,"PARK WEST EXEC. SERVICES, INC.",330,95
2015-02-02,2015-02,B00248,YELLOWSTONE TRANSPORTATION INC.,797,101
2015-02-02,2015-02,B00254,XYZ TWO WAY RADIO,1019,215
2015-02-02,2015-02,B00280,FLEET RADIO DISPATCH CORP.,176,48
2015-02-02,2015-02,B00310,WATSON CAR SERVICE INC.,2131,106
2015-02-02,2015-02,B00381,BELL RADIO INC,191,51
2015-02-02,2015-02,B00412,NYC 2 WAY INTERNATIONAL LTD,264,62
2015-02-02,2015-02,B00448,DIAL CAR INC.,7,3
2015-02-02,2015-02,B00457,PREMIUM BRONX CORP,2028,100
2015-02-02,2015-02,B00477,INTA-BORO ACRES INC,483,106
2015-02-02,2015-02,B00552,HINO-MARU ENTERPRISES INC.,35,25
2015-02-02,2015-02,B00623,MANHATTAN INT'L LIMO NETWORK LLC,24,8
2015-02-02,2015-02,B00837,CAREY LIMO N Y INC,341,123
2015-02-02,2015-02,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,1088,361
2015-02-02,2015-02,B00919,HARLEM CARS INC.,485,53
2015-02-02,2015-02,B01066,DOMINICANA RAD DISP INC,745,74
2015-02-02,2015-02,B01083,BROAD DYCKMAN C/S INC,866,95
2015-02-02,2015-02,B01087,ELITE LIMO PLUS INC,462,147
2015-02-02,2015-02,B01148,EVELYN CAR SERVICE INC,327,53
2015-02-02,2015-02,B01197,"TEL-A-CAR OF NEW YORK, LLC",266,78
2015-02-02,2015-02,B01282,NEW LOTS C/S INC,834,68
2015-02-02,2015-02,B01285,UNION RADIO DISPATCH INC,968,127
2015-02-02,2015-02,B01300,KENNEDY RAD DISP INC,544,99
2015-02-02,2015-02,B01312,BROOKLYN RAD DISP INC,810,95
2015-02-02,2015-02,B01313,JOY CAR SERVICES INC.,62,39
2015-02-02,2015-02,B01315,"V.I.T. CAR SERVICE, INC.",912,103
2015-02-02,2015-02,B01341,A NEW DAY RAD DISP INC,1849,151
2015-02-02,2015-02,B01367,"ROYAL DISPATCH SERVICES, INC.",119,41
2015-02-02,2015-02,B01522,"STM ENTERPRISES,INC",96,13
2015-02-02,2015-02,B01651,U.P.S. RADIO DISPATCH CORP.,300,48
2015-02-02,2015-02,B01734,AMERICAN DREAM CAR SERVICE INC.,6,1
2015-02-02,2015-02,B01777,PREMIUM RADIO DISP & MULTI SVC,1003,107
2015-02-02,2015-02,B01848,GRAND LIMO & CAR SERVICE INC.,9,0
2015-02-02,2015-02,B01877,U.S.A. LIMO. INC.,354,100
2015-02-02,2015-02,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",602,94
2015-02-02,2015-02,B01949,FIRST CLASS OF NEW YORK INC.,53,22
2015-02-02,2015-02,B01984,NY 88 EXPRESS CORP.,455,87
2015-02-02,2015-02,B01990,SUK INCORPORATED,76,23
2015-02-02,2015-02,B02003,"AVALON CORPORATE CAR,INC.",274,79
2015-02-02,2015-02,B02022,GOLD SEAL CAR & LIMO INC.,71,23
2015-02-02,2015-02,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",130,71
2015-02-02,2015-02,B02096,"CET GROUP, INC",8,7
2015-02-02,2015-02,B02107,APOLLO RADIO DISPATCH INC.,1462,66
2015-02-02,2015-02,B02120,HARRISON GLOBAL LLC,197,77
2015-02-02,2015-02,B02147,"MITA LIMOUSINE, INC.",40,10
2015-02-02,2015-02,B02183,BANGLA CAR & LIMO. SERVICE INC.,20,20
2015-02-02,2015-02,B02285,"VALERA GLOBAL, INC.",195,64
2015-02-02,2015-02,B02475,ECKFORD LITE CAR & LIMO INC.,14,6
2015-02-02,2015-02,B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",20,3
2015-02-02,2015-02,B02566,GSL LIMOUSINES CORP.,5,5
2015-02-02,2015-02,B02569,GOGREENRIDE INC.,200,1
2015-02-02,2015-02,B02653,NEW COLLEGE CAR SVCE INC,1743,83
2015-02-02,2015-02,B02715,GROUNDANYWHERE LLC,199,51
2015-02-03,2015-02,B00013,LOVE CORP CAR INC,543,109
2015-02-03,2015-02,B00014,NY ONE CORP CAR INC,729,164
2015-02-03,2015-02,B00029,COMMUNITY CAR SVC CORP,1222,46
2015-02-03,2015-02,B00053,CHARGE AND RIDE INC,122,56
2015-02-03,2015-02,B00095,LIBERTY CAR SERVICE INC.,957,83
2015-02-03,2015-02,B00221,PROFESSIONAL CAR SERVICE INC,531,84
2015-02-03,2015-02,B00227,"PARK WEST EXEC. SERVICES, INC.",549,153
2015-02-03,2015-02,B00248,YELLOWSTONE TRANSPORTATION INC.,931,113
2015-02-03,2015-02,B00254,XYZ TWO WAY RADIO,1495,289
2015-02-03,2015-02,B00280,FLEET RADIO DISPATCH CORP.,285,80
2015-02-03,2015-02,B00310,WATSON CAR SERVICE INC.,2187,136
2015-02-03,2015-02,B00381,BELL RADIO INC,375,84
2015-02-03,2015-02,B00412,NYC 2 WAY INTERNATIONAL LTD,373,92
2015-02-03,2015-02,B00448,DIAL CAR INC.,11,3
2015-02-03,2015-02,B00457,PREMIUM BRONX CORP,2119,119
2015-02-03,2015-02,B00477,INTA-BORO ACRES INC,690,155
2015-02-03,2015-02,B00552,HINO-MARU ENTERPRISES INC.,44,25
2015-02-03,2015-02,B00623,MANHATTAN INT'L LIMO NETWORK LLC,29,8
2015-02-03,2015-02,B00837,CAREY LIMO N Y INC,490,159
2015-02-03,2015-02,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2465,639
2015-02-03,2015-02,B00919,HARLEM CARS INC.,980,58
2015-02-03,2015-02,B01066,DOMINICANA RAD DISP INC,794,80
2015-02-03,2015-02,B01083,BROAD DYCKMAN C/S INC,1005,123
2015-02-03,2015-02,B01087,ELITE LIMO PLUS INC,826,237
2015-02-03,2015-02,B01148,EVELYN CAR SERVICE INC,439,58
2015-02-03,2015-02,B01197,"TEL-A-CAR OF NEW YORK, LLC",348,83
2015-02-03,2015-02,B01282,NEW LOTS C/S INC,1005,76
2015-02-03,2015-02,B01285,UNION RADIO DISPATCH INC,1189,157
2015-02-03,2015-02,B01300,KENNEDY RAD DISP INC,705,121
2015-02-03,2015-02,B01312,BROOKLYN RAD DISP INC,1021,106
2015-02-03,2015-02,B01313,JOY CAR SERVICES INC.,24,15
2015-02-03,2015-02,B01315,"V.I.T. CAR SERVICE, INC.",1377,147
2015-02-03,2015-02,B01341,A NEW DAY RAD DISP INC,1954,164
2015-02-03,2015-02,B01367,"ROYAL DISPATCH SERVICES, INC.",271,82
2015-02-03,2015-02,B01522,"STM ENTERPRISES,INC",110,15
2015-02-03,2015-02,B01651,U.P.S. RADIO DISPATCH CORP.,417,55
2015-02-03,2015-02,B01734,AMERICAN DREAM CAR SERVICE INC.,10,0
2015-02-03,2015-02,B01777,PREMIUM RADIO DISP & MULTI SVC,979,121
2015-02-03,2015-02,B01848,GRAND LIMO & CAR SERVICE INC.,11,0
2015-02-03,2015-02,B01877,U.S.A. LIMO. INC.,628,136
2015-02-03,2015-02,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",925,105
2015-02-03,2015-02,B01949,FIRST CLASS OF NEW YORK INC.,76,32
2015-02-03,2015-02,B01984,NY 88 EXPRESS CORP.,556,93
2015-02-03,2015-02,B01990,SUK INCORPORATED,140,31
2015-02-03,2015-02,B02003,"AVALON CORPORATE CAR,INC.",394,93
2015-02-03,2015-02,B02022,GOLD SEAL CAR & LIMO INC.,121,33
2015-02-03,2015-02,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",183,94
2015-02-03,2015-02,B02096,"CET GROUP, INC",17,12
2015-02-03,2015-02,B02107,APOLLO RADIO DISPATCH INC.,1257,92
2015-02-03,2015-02,B02120,HARRISON GLOBAL LLC,311,96
2015-02-03,2015-02,B02147,"MITA LIMOUSINE, INC.",62,13
2015-02-03,2015-02,B02183,BANGLA CAR & LIMO. SERVICE INC.,7,7
2015-02-03,2015-02,B02285,"VALERA GLOBAL, INC.",299,90
2015-02-03,2015-02,B02475,ECKFORD LITE CAR & LIMO INC.,20,6
2015-02-03,2015-02,B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",25,6
2015-02-03,2015-02,B02566,GSL LIMOUSINES CORP.,13,11
2015-02-03,2015-02,B02569,GOGREENRIDE INC.,203,1
2015-02-03,2015-02,B02653,NEW COLLEGE CAR SVCE INC,1585,103
2015-02-03,2015-02,B02715,GROUNDANYWHERE LLC,319,75
2015-02-04,2015-02,B00013,LOVE CORP CAR INC,564,113
2015-02-04,2015-02,B00014,NY ONE CORP CAR INC,810,184
2015-02-04,2015-02,B00029,COMMUNITY CAR SVC CORP,1022,48
2015-02-04,2015-02,B00053,CHARGE AND RIDE INC,132,59
2015-02-04,2015-02,B00095,LIBERTY CAR SERVICE INC.,973,110
2015-02-04,2015-02,B00221,PROFESSIONAL CAR SERVICE INC,571,82
2015-02-04,2015-02,B00227,"PARK WEST EXEC. SERVICES, INC.",685,175
2015-02-04,2015-02,B00248,YELLOWSTONE TRANSPORTATION INC.,1012,125
2015-02-04,2015-02,B00254,XYZ TWO WAY RADIO,1580,310
2015-02-04,2015-02,B00280,FLEET RADIO DISPATCH CORP.,281,84
2015-02-04,2015-02,B00310,WATSON CAR SERVICE INC.,2052,146
2015-02-04,2015-02,B00381,BELL RADIO INC,429,93
2015-02-04,2015-02,B00412,NYC 2 WAY INTERNATIONAL LTD,444,95
2015-02-04,2015-02,B00448,DIAL CAR INC.,9,3
2015-02-04,2015-02,B00457,PREMIUM BRONX CORP,1729,119
2015-02-04,2015-02,B00477,INTA-BORO ACRES INC,726,173
2015-02-04,2015-02,B00552,HINO-MARU ENTERPRISES INC.,45,31
2015-02-04,2015-02,B00623,MANHATTAN INT'L LIMO NETWORK LLC,29,9
2015-02-04,2015-02,B00837,CAREY LIMO N Y INC,495,165
2015-02-04,2015-02,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2543,728
2015-02-04,2015-02,B00919,HARLEM CARS INC.,660,66
2015-02-04,2015-02,B01066,DOMINICANA RAD DISP INC,714,81
2015-02-04,2015-02,B01083,BROAD DYCKMAN C/S INC,959,118
2015-02-04,2015-02,B01087,ELITE LIMO PLUS INC,936,266
2015-02-04,2015-02,B01148,EVELYN CAR SERVICE INC,514,58
2015-02-04,2015-02,B01197,"TEL-A-CAR OF NEW YORK, LLC",338,100
2015-02-04,2015-02,B01282,NEW LOTS C/S INC,1251,78
2015-02-04,2015-02,B01285,UNION RADIO DISPATCH INC,1271,159
2015-02-04,2015-02,B01300,KENNEDY RAD DISP INC,792,130
2015-02-04,2015-02,B01312,BROOKLYN RAD DISP INC,977,108
2015-02-04,2015-02,B01313,JOY CAR SERVICES INC.,11,11
2015-02-04,2015-02,B01315,"V.I.T. CAR SERVICE, INC.",1572,156
2015-02-04,2015-02,B01341,A NEW DAY RAD DISP INC,1831,172
2015-02-04,2015-02,B01367,"ROYAL DISPATCH SERVICES, INC.",280,84
2015-02-04,2015-02,B01522,"STM ENTERPRISES,INC",86,15
2015-02-04,2015-02,B01651,U.P.S. RADIO DISPATCH CORP.,388,56
2015-02-04,2015-02,B01734,AMERICAN DREAM CAR SERVICE INC.,7,0
2015-02-04,2015-02,B01777,PREMIUM RADIO DISP & MULTI SVC,887,135
2015-02-04,2015-02,B01848,GRAND LIMO & CAR SERVICE INC.,8,0
2015-02-04,2015-02,B01877,U.S.A. LIMO. INC.,587,138
2015-02-04,2015-02,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",1169,115
2015-02-04,2015-02,B01949,FIRST CLASS OF NEW YORK INC.,79,32
2015-02-04,2015-02,B01984,NY 88 EXPRESS CORP.,668,99
2015-02-04,2015-02,B01990,SUK INCORPORATED,156,38
2015-02-04,2015-02,B02003,"AVALON CORPORATE CAR,INC.",306,96
2015-02-04,2015-02,B02022,GOLD SEAL CAR & LIMO INC.,86,28
2015-02-04,2015-02,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",185,91
2015-02-04,2015-02,B02096,"CET GROUP, INC",22,14
2015-02-04,2015-02,B02107,APOLLO RADIO DISPATCH INC.,1199,89
2015-02-04,2015-02,B02120,HARRISON GLOBAL LLC,356,111
2015-02-04,2015-02,B02147,"MITA LIMOUSINE, INC.",42,12
2015-02-04,2015-02,B02183,BANGLA CAR & LIMO. SERVICE INC.,11,11
2015-02-04,2015-02,B02285,"VALERA GLOBAL, INC.",320,92
2015-02-04,2015-02,B02475,ECKFORD LITE CAR & LIMO INC.,14,6
2015-02-04,2015-02,B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",20,7
2015-02-04,2015-02,B02566,GSL LIMOUSINES CORP.,14,11
2015-02-04,2015-02,B02569,GOGREENRIDE INC.,191,1
2015-02-04,2015-02,B02653,NEW COLLEGE CAR SVCE INC,1479,110
2015-02-04,2015-02,B02715,GROUNDANYWHERE LLC,305,81
2015-02-05,2015-02,B00013,LOVE CORP CAR INC,528,107
2015-02-05,2015-02,B00014,NY ONE CORP CAR INC,785,173
2015-02-05,2015-02,B00029,COMMUNITY CAR SVC CORP,1090,46
2015-02-05,2015-02,B00053,CHARGE AND RIDE INC,131,64
2015-02-05,2015-02,B00095,LIBERTY CAR SERVICE INC.,981,125
2015-02-05,2015-02,B00221,PROFESSIONAL CAR SERVICE INC,561,84
2015-02-05,2015-02,B00227,"PARK WEST EXEC. SERVICES, INC.",649,178
2015-02-05,2015-02,B00248,YELLOWSTONE TRANSPORTATION INC.,960,129
2015-02-05,2015-02,B00254,XYZ TWO WAY RADIO,1634,317
2015-02-05,2015-02,B00280,FLEET RADIO DISPATCH CORP.,267,84
2015-02-05,2015-02,B00310,WATSON CAR SERVICE INC.,2053,149
2015-02-05,2015-02,B00381,BELL RADIO INC,414,93
2015-02-05,2015-02,B00412,NYC 2 WAY INTERNATIONAL LTD,417,91
2015-02-05,2015-02,B00448,DIAL CAR INC.,8,2
2015-02-05,2015-02,B00457,PREMIUM BRONX CORP,1855,119
2015-02-05,2015-02,B00477,INTA-BORO ACRES INC,768,166
2015-02-05,2015-02,B00552,HINO-MARU ENTERPRISES INC.,58,39
2015-02-05,2015-02,B00623,MANHATTAN INT'L LIMO NETWORK LLC,12,6
2015-02-05,2015-02,B00837,CAREY LIMO N Y INC,512,169
2015-02-05,2015-02,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2809,747
2015-02-05,2015-02,B00919,HARLEM CARS INC.,708,67
