pickup_date,pickup_month,hour,company,trips
2015-03-01,2015-03,0,Uber,5211
2015-03-01,2015-03,1,Uber,4645
2015-03-01,2015-03,2,Uber,3245
2015-03-01,2015-03,3,Uber,2084
2015-03-01,2015-03,4,Uber,1404
2015-03-01,2015-03,5,Uber,851
2015-03-01,2015-03,6,Uber,815
2015-03-01,2015-03,7,Uber,734
2015-03-01,2015-03,8,Uber,1064
2015-03-01,2015-03,9,Uber,1577
2015-03-01,2015-03,10,Uber,2270
2015-03-01,2015-03,11,Uber,2890
2015-03-01,2015-03,12,Uber,3351
2015-03-01,2015-03,13,Uber,3946
2015-03-01,2015-03,14,Uber,4061
2015-03-01,2015-03,15,Uber,4024
2015-03-01,2015-03,16,Uber,4168
2015-03-01,2015-03,17,Uber,4293
2015-03-01,2015-03,18,Uber,4507
2015-03-01,2015-03,19,Uber,4148
2015-03-01,2015-03,20,Uber,3648
2015-03-01,2015-03,21,Uber,3105
2015-03-01,2015-03,22,Uber,2707
2015-03-01,2015-03,23,Uber,2085
2015-03-02,2015-03,0,Uber,1288
2015-03-02,2015-03,1,Uber,879
2015-03-02,2015-03,2,Uber,467
2015-03-02,2015-03,3,Uber,339
2015-03-02,2015-03,4,Uber,510
2015-03-02,2015-03,5,Uber,899
2015-03-02,2015-03,6,Uber,1569
2015-03-02,2015-03,7,Uber,2669
2015-03-02,2015-03,8,Uber,3441
2015-03-02,2015-03,9,Uber,3554
2015-03-02,2015-03,10,Uber,2636
2015-03-02,2015-03,11,Uber,2350
2015-03-02,2015-03,12,Uber,2273
2015-03-02,2015-03,13,Uber,2130
2015-03-02,2015-03,14,Uber,2163
2015-03-02,2015-03,15,Uber,2590
2015-03-02,2015-03,16,Uber,2807
2015-03-02,2015-03,17,Uber,3547
2015-03-02,2015-03,18,Uber,4329
2015-03-02,2015-03,19,Uber,4201
2015-03-02,2015-03,20,Uber,3870
2015-03-02,2015-03,21,Uber,3516
2015-03-02,2015-03,22,Uber,3079
2015-03-02,2015-03,23,Uber,2348
2015-03-03,2015-03,0,Uber,1508
2015-03-03,2015-03,1,Uber,744
2015-03-03,2015-03,2,Uber,477
2015-03-03,2015-03,3,Uber,314
2015-03-03,2015-03,4,Uber,455
2015-03-03,2015-03,5,Uber,826
2015-03-03,2015-03,6,Uber,1728
2015-03-03,2015-03,7,Uber,3150
2015-03-03,2015-03,8,Uber,3999
2015-03-03,2015-03,9,Uber,3451
2015-03-03,2015-03,10,Uber,2517
2015-03-03,2015-03,11,Uber,2331
2015-03-03,2015-03,12,Uber,2323
2015-03-03,2015-03,13,Uber,2201
2015-03-03,2015-03,14,Uber,2577
2015-03-03,2015-03,15,Uber,3300
2015-03-03,2015-03,16,Uber,4169
2015-03-03,2015-03,17,Uber,5191
2015-03-03,2015-03,18,Uber,5765
2015-03-03,2015-03,19,Uber,6422
2015-03-03,2015-03,20,Uber,6568
2015-03-03,2015-03,21,Uber,6219
2015-03-03,2015-03,22,Uber,5309
