pickup_date,pickup_month,hour,company,trips
2018-07-01,2018-07,0,Uber,9314
2018-07-01,2018-07,1,Uber,7354
2018-07-01,2018-07,2,Uber,5674
2018-07-01,2018-07,3,Uber,4220
2018-07-01,2018-07,4,Uber,3371
2018-07-01,2018-07,5,Uber,2228
2018-07-01,2018-07,6,Uber,2160
2018-07-01,2018-07,7,Uber,2732
2018-07-01,2018-07,8,Uber,3608
2018-07-01,2018-07,9,Uber,4952
2018-07-01,2018-07,10,Uber,6192
2018-07-01,2018-07,11,Uber,6889
2018-07-01,2018-07,12,Uber,7345
2018-07-01,2018-07,13,Uber,8015
2018-07-01,2018-07,14,Uber,8041
2018-07-01,2018-07,15,Uber,7930
2018-07-01,2018-07,16,Uber,7844
2018-07-01,2018-07,17,Uber,8154
2018-07-01,2018-07,18,Uber,8296
2018-07-01,2018-07,19,Uber,8073
2018-07-01,2018-07,20,Uber,7242
2018-07-01,2018-07,21,Uber,7463
2018-07-01,2018-07,22,Uber,7198
2018-07-01,2018-07,23,Uber,6514
2018-07-02,2018-07,0,Uber,4566
2018-07-02,2018-07,1,Uber,2695
2018-07-02,2018-07,2,Uber,1609
2018-07-02,2018-07,3,Uber,1195
2018-07-02,2018-07,4,Uber,1408
2018-07-02,2018-07,5,Uber,1929
2018-07-02,2018-07,6,Uber,3244
2018-07-02,2018-07,7,Uber,5106
2018-07-02,2018-07,8,Uber,7278
2018-07-02,2018-07,9,Uber,7241
2018-07-02,2018-07,10,Uber,5666
2018-07-02,2018-07,11,Uber,5498
2018-07-02,2018-07,12,Uber,6065
2018-07-02,2018-07,13,Uber,6273
2018-07-02,2018-07,14,Uber,6626
2018-07-02,2018-07,15,Uber,6785
2018-07-02,2018-07,16,Uber,7178
2018-07-02,2018-07,17,Uber,8324
2018-07-02,2018-07,18,Uber,8755
2018-07-02,2018-07,19,Uber,8057
2018-07-02,2018-07,20,Uber,7252
2018-07-02,2018-07,21,Uber,7113
2018-07-02,2018-07,22,Uber,6795
2018-07-02,2018-07,23,Uber,5788
2018-07-03,2018-07,0,Uber,3957
2018-07-03,2018-07,1,Uber,2299
2018-07-03,2018-07,2,Uber,1426
2018-07-03,2018-07,3,Uber,1114
2018-07-03,2018-07,4,Uber,1171
2018-07-03,2018-07,5,Uber,1743
2018-07-03,2018-07,6,Uber,3054
2018-07-03,2018-07,7,Uber,4995
2018-07-03,2018-07,8,Uber,7097
2018-07-03,2018-07,9,Uber,6841
2018-07-03,2018-07,10,Uber,5609
2018-07-03,2018-07,11,Uber,5678
2018-07-03,2018-07,12,Uber,6342
2018-07-03,2018-07,13,Uber,6784
2018-07-03,2018-07,14,Uber,6907
2018-07-03,2018-07,15,Uber,7046
2018-07-03,2018-07,16,Uber,7396
2018-07-03,2018-07,17,Uber,9201
2018-07-03,2018-07,18,Uber,10424
2018-07-03,2018-07,19,Uber,8580
2018-07-03,2018-07,20,Uber,7751
2018-07-03,2018-07,21,Uber,7937
2018-07-03,2018-07,22,Uber,7865
2018-07-03,2018-07,23,Uber,7693
2018-07-04,2018-07,0,Uber,6413
2018-07-04,2018-07,1,Uber,4608
2018-07-04,2018-07,2,Uber,3475
2018-07-04,2018-07,3,Uber,2582
2018-07-04,2018-07,4,Uber,2185
2018-07-04,2018-07,5,Uber,1856
2018-07-04,2018-07,6,Uber,2048
2018-07-04,2018-07,7,Uber,2335
2018-07-04,2018-07,8,Uber,2709
2018-07-04,2018-07,9,Uber,3489
2018-07-04,2018-07,10,Uber,4124
2018-07-04,2018-07,11,Uber,5123
2018-07-04,2018-07,12,Uber,5734
2018-07-04,2018-07,13,Uber,6224
2018-07-04,2018-07,14,Uber,6591
2018-07-04,2018-07,15,Uber,7018
2018-07-04,2018-07,16,Uber,7123
2018-07-04,2018-07,17,Uber,7398
2018-07-04,2018-07,18,Uber,7849
2018-07-04,2018-07,19,Uber,7734
2018-07-04,2018-07,20,Uber,7223
2018-07-04,2018-07,21,Uber,7217
2018-07-04,2018-07,22,Uber,7836
2018-07-04,2018-07,23,Uber,9065
2018-07-05,2018-07,0,Uber,7577
2018-07-05,2018-07,1,Uber,4401
2018-07-05,2018-07,2,Uber,2706
2018-07-05,2018-07,3,Uber,1715
2018-07-05,2018-07,4,Uber,1515
2018-07-05,2018-07,5,Uber,1870
2018-07-05,2018-07,6,Uber,2926
2018-07-05,2018-07,7,Uber,4923
2018-07-05,2018-07,8,Uber,6619
2018-07-05,2018-07,9,Uber,6008
2018-07-05,2018-07,10,Uber,5059
2018-07-05,2018-07,11,Uber,4913
2018-07-05,2018-07,12,Uber,5334
2018-07-05,2018-07,13,Uber,5439
2018-07-05,2018-07,14,Uber,5899
2018-07-05,2018-07,15,Uber,6168
2018-07-05,2018-07,16,Uber,6498
2018-07-05,2018-07,17,Uber,7601
