pickup_date,pickup_month,hour,company,trips
2018-05-01,2018-05,0,Uber,3345
2018-05-01,2018-05,1,Uber,2003
2018-05-01,2018-05,2,Uber,1256
2018-05-01,2018-05,3,Uber,916
2018-05-01,2018-05,4,Uber,1154
2018-05-01,2018-05,5,Uber,1778
2018-05-01,2018-05,6,Uber,3483
2018-05-01,2018-05,7,Uber,5951
2018-05-01,2018-05,8,Uber,7059
2018-05-01,2018-05,9,Uber,6007
2018-05-01,2018-05,10,Uber,4601
2018-05-01,2018-05,11,Uber,4235
2018-05-01,2018-05,12,Uber,4415
2018-05-01,2018-05,13,Uber,4635
2018-05-01,2018-05,14,Uber,5228
2018-05-01,2018-05,15,Uber,5541
2018-05-01,2018-05,16,Uber,5960
2018-05-01,2018-05,17,Uber,7181
2018-05-01,2018-05,18,Uber,7645
2018-05-01,2018-05,19,Uber,7461
2018-05-01,2018-05,20,Uber,7344
2018-05-01,2018-05,21,Uber,7613
2018-05-01,2018-05,22,Uber,7337
2018-05-01,2018-05,23,Uber,6126
2018-05-02,2018-05,0,Uber,3985
2018-05-02,2018-05,1,Uber,2409
2018-05-02,2018-05,2,Uber,1583
2018-05-02,2018-05,3,Uber,1078
2018-05-02,2018-05,4,Uber,1214
2018-05-02,2018-05,5,Uber,1763
2018-05-02,2018-05,6,Uber,3367
2018-05-02,2018-05,7,Uber,5799
2018-05-02,2018-05,8,Uber,7012
2018-05-02,2018-05,9,Uber,6287
2018-05-02,2018-05,10,Uber,5140
2018-05-02,2018-05,11,Uber,4828
2018-05-02,2018-05,12,Uber,4918
2018-05-02,2018-05,13,Uber,5135
2018-05-02,2018-05,14,Uber,5738
2018-05-02,2018-05,15,Uber,6128
2018-05-02,2018-05,16,Uber,6344
2018-05-02,2018-05,17,Uber,7655
2018-05-02,2018-05,18,Uber,8732
2018-05-02,2018-05,19,Uber,8053
2018-05-02,2018-05,20,Uber,7888
2018-05-02,2018-05,21,Uber,8183
2018-05-02,2018-05,22,Uber,8509
2018-05-02,2018-05,23,Uber,6808
2018-05-03,2018-05,0,Uber,4569
2018-05-03,2018-05,1,Uber,2693
2018-05-03,2018-05,2,Uber,1668
2018-05-03,2018-05,3,Uber,1170
2018-05-03,2018-05,4,Uber,1387
2018-05-03,2018-05,5,Uber,1990
2018-05-03,2018-05,6,Uber,3557
2018-05-03,2018-05,7,Uber,6275
2018-05-03,2018-05,8,Uber,7485
2018-05-03,2018-05,9,Uber,6733
2018-05-03,2018-05,10,Uber,5619
2018-05-03,2018-05,11,Uber,5214
2018-05-03,2018-05,12,Uber,5359
2018-05-03,2018-05,13,Uber,5652
2018-05-03,2018-05,14,Uber,6308
2018-05-03,2018-05,15,Uber,6699
2018-05-03,2018-05,16,Uber,7376
2018-05-03,2018-05,17,Uber,8361
2018-05-03,2018-05,18,Uber,9222
2018-05-03,2018-05,19,Uber,10550
2018-05-03,2018-05,20,Uber,8789
2018-05-03,2018-05,21,Uber,8920
2018-05-03,2018-05,22,Uber,9083
2018-05-03,2018-05,23,Uber,7832
2018-05-04,2018-05,0,Uber,5503
2018-05-04,2018-05,1,Uber,3346
2018-05-04,2018-05,2,Uber,2142
2018-05-04,2018-05,3,Uber,1451
2018-05-04,2018-05,4,Uber,1655
2018-05-04,2018-05,5,Uber,2001
2018-05-04,2018-05,6,Uber,3293
2018-05-04,2018-05,7,Uber,5489
2018-05-04,2018-05,8,Uber,6941
2018-05-04,2018-05,9,Uber,6600
2018-05-04,2018-05,10,Uber,5402
2018-05-04,2018-05,11,Uber,5161
2018-05-04,2018-05,12,Uber,5371
2018-05-04,2018-05,13,Uber,5406
2018-05-04,2018-05,14,Uber,6137
2018-05-04,2018-05,15,Uber,6484
2018-05-04,2018-05,16,Uber,6994
2018-05-04,2018-05,17,Uber,8297
2018-05-04,2018-05,18,Uber,8964
2018-05-04,2018-05,19,Uber,9205
2018-05-04,2018-05,20,Uber,8956
2018-05-04,2018-05,21,Uber,8918
2018-05-04,2018-05,22,Uber,9241
2018-05-04,2018-05,23,Uber,9185
2018-05-05,2018-05,0,Uber,7625
2018-05-05,2018-05,1,Uber,5911
2018-05-05,2018-05,2,Uber,4394
2018-05-05,2018-05,3,Uber,3357
2018-05-05,2018-05,4,Uber,2406
2018-05-05,2018-05,5,Uber,2047
2018-05-05,2018-05,6,Uber,2439
2018-05-05,2018-05,7,Uber,3275
2018-05-05,2018-05,8,Uber,4347
2018-05-05,2018-05,9,Uber,5312
2018-05-05,2018-05,10,Uber,5985
