weekday_num,weekday,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
0,Monday,0,HV0003,Uber,60213,331690.89,58886796,1377103.35,47968.16,1157880.56,13853.75,45252.25,24618.0,2974,1953
0,Monday,1,HV0003,Uber,35800,201924.77000000002,34582950,845416.1699999999,29536.11,685862.08,8960.0,26258.0,14628.0,1603,941
0,Monday,2,HV0003,Uber,24661,145363.4,23846913,581698.84,17641.12,476817.2,7363.75,17221.75,9754.5,1022,483
0,Monday,3,HV0003,Uber,22764,157665.29,23559427,641928.1,23771.5,488813.76,14507.5,15252.5,9415.5,921,418
0,Monday,4,HV0003,Uber,30656,245084.85,35425306,1135038.31,51686.84,789361.42,27481.25,20909.25,12870.0,1136,565
0,Monday,5,HV0003,Uber,44414,329979.33999999997,53800138,1582530.89,73340.94,1115251.54,31966.25,34355.0,18873.0,1753,1090
0,Monday,6,HV0003,Uber,72963,462106.45,89508337,2358015.6,98191.83,1721310.24,30435.0,58150.75,29799.0,2865,1847
0,Monday,7,HV0003,Uber,116667,576390.45,141363807,3546460.9,133123.41,2656238.58,27618.75,83196.75,41170.5,3686,2184
0,Monday,8,HV0003,Uber,149177,646683.96,175735468,3995925.78,161612.61,3200772.9,27605.0,109990.75,54228.0,3630,1858
0,Monday,9,HV0003,Uber,128713,590017.81,151926487,3329613.4699999997,155705.9,2636114.77,28871.25,110449.5,54306.0,2413,1012
0,Monday,10,HV0003,Uber,108563,517095.33,131963401,3016498.02,151592.6,2268404.81,27475.0,99005.75,48646.5,1616,544
0,Monday,11,HV0003,Uber,103579,494259.14,129059436,2977920.9,159152.38,2204847.23,28648.75,99599.5,49615.5,1360,413
0,Monday,12,HV0003,Uber,104531,499474.36,130830505,3019669.89,157893.87,2238554.51,29753.75,100513.25,49876.5,1393,404
0,Monday,13,HV0003,Uber,108247,516568.38,137588972,3149549.0700000003,157378.96000000002,2340407.2,30602.5,98420.25,49473.0,1593,483
0,Monday,14,HV0003,Uber,118815,547646.24,156997285,3516448.15,169301.05,2627510.79,32836.25,100545.25,51190.5,1873,625
0,Monday,15,HV0003,Uber,122963,558023.64,171258519,3698996.26,177154.56,2831423.4499999997,33391.25,104747.0,52572.0,2212,880
0,Monday,16,HV0003,Uber,128454,563662.45,183628091,3820054.68,185631.87,2987821.23,31933.75,109302.0,54882.0,2470,1042
0,Monday,17,HV0003,Uber,141291,585518.95,189396046,4069638.96,188287.13999999998,3162448.39,27930.0,124543.5,62359.5,3056,1379
0,Monday,18,HV0003,Uber,140726,581918.33,166050571,3689576.3,176612.01,2850392.14,24068.75,135378.0,68053.5,2632,1210
0,Monday,19,HV0003,Uber,128591,572914.89,138361449,3167586.35,149794.91,2445641.12,20557.5,126013.25,65154.0,2576,1232
0,Monday,20,HV0003,Uber,119727,601189.48,127770011,3221789.19,163247.44,2397237.4,18347.5,125871.5,67926.0,2515,1349
0,Monday,21,HV0003,Uber,110742,592199.0,118049752,3304482.63,170438.15,2357241.16,17306.25,120968.0,66586.5,2545,1505
0,Monday,22,HV0003,Uber,103116,549639.3,108246197,2794205.4499999997,131612.06,2116684.6,15976.25,106473.75,57888.0,3110,2008
0,Monday,23,HV0003,Uber,86333,459863.97,87580876,2096160.02,89814.15,1680765.4,15317.5,80676.0,44067.0,3412,2378
1,Tuesday,0,HV0003,Uber,59470,325722.0,59296420,1437938.4700000002,60069.96,1167790.42,14426.25,54124.25,29790.0,2553,1614
1,Tuesday,1,HV0003,Uber,34530,185856.69,32782263,779702.05,29477.53,629557.74,6267.5,30700.0,17200.5,1491,873
1,Tuesday,2,HV0003,Uber,23265,126859.25,21623408,518551.68,17883.35,417963.49,5381.25,19183.75,10926.0,1024,507
1,Tuesday,3,HV0003,Uber,20366,136387.04,20575603,550937.97,21728.48,421903.77,12226.25,15185.75,9163.5,750,322
1,Tuesday,4,HV0003,Uber,27771,214802.78,31200033,949898.73,45006.75,673422.1,24972.5,20802.25,12657.0,959,487
1,Tuesday,5,HV0003,Uber,42641,300980.79000000004,49115174,1362368.26,63745.8,989565.01,29085.0,35358.0,18952.5,1495,873
1,Tuesday,6,HV0003,Uber,73609,435291.32,86157149,2115210.99,89625.85,1597640.1199999999,26372.5,62538.75,31327.5,2503,1584
1,Tuesday,7,HV0003,Uber,120174,560328.95,142484455,3355086.5300000003,134834.57,2526642.83,24512.5,93081.75,45778.5,3204,1901
1,Tuesday,8,HV0003,Uber,151765,626162.41,176393934,3972083.9,167737.09,3053754.83,23946.25,122782.0,60573.0,3034,1490
1,Tuesday,9,HV0003,Uber,135165,573453.98,159356301,3486525.58,162525.35,2673164.28,24760.0,122618.5,60399.0,2266,992
1,Tuesday,10,HV0003,Uber,114862,510208.64,140624934,3163582.97,160850.22,2351422.98,25255.0,107764.75,52516.5,1572,547
1,Tuesday,11,HV0003,Uber,109322,489797.67000000004,137240833,3134511.64,165281.83000000002,2297048.73,25415.0,107681.0,53352.0,1413,463
1,Tuesday,12,HV0003,Uber,109303,495098.83,137604255,3157654.37,162656.38999999998,2311246.23,27071.25,105812.75,51996.0,1372,412
