weekday_num,weekday,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
0,Monday,0,HV0003,Uber,48623,276389.45,48133986,1101882.48,31499.21,882741.9,10118.75,40751.0,3739,2260
0,Monday,1,HV0003,Uber,28391,155708.87,26884806,616164.98,15654.27,492481.31,3382.5,23624.75,2298,1163
0,Monday,2,HV0003,Uber,19148,107293.84,18112494,428032.27,10079.91,335591.15,2456.25,15467.0,1596,703
0,Monday,3,HV0003,Uber,17168,113064.85,17091186,461199.31,15013.800000000001,338847.74,7685.0,13694.25,1323,545
0,Monday,4,HV0003,Uber,24132,193675.1,26647561,819509.41,35235.64,567386.39,20732.5,18771.0,1608,738
0,Monday,5,HV0003,Uber,34279,271076.83999999997,41612208,1197440.94,52830.51,839140.38,26907.5,29377.75,1951,995
0,Monday,6,HV0003,Uber,53988,363203.04000000004,68910999,1734520.54,71872.58,1256405.78,25307.5,46752.75,2654,1428
0,Monday,7,HV0003,Uber,85079,440420.99,105608216,2417124.48,92660.48,1797865.58,22621.25,68608.75,3153,1562
0,Monday,8,HV0003,Uber,105144,485223.77,126344273,2706395.69,107911.23999999999,2078304.89,22048.75,90505.5,3626,1615
0,Monday,9,HV0003,Uber,89910,442721.16000000003,106853015,2320643.56,104815.89,1789401.43,23686.25,87443.25,3095,1239
0,Monday,10,HV0003,Uber,76430,402322.59,94517670,2107627.96,104937.15,1572698.36,24118.75,78088.75,2397,764
0,Monday,11,HV0003,Uber,70363,375323.93,88994299,2003918.71,103161.85,1476505.92,22598.75,73738.5,2224,698
0,Monday,12,HV0003,Uber,70663,371927.08,89842856,2018335.95,103330.82,1481378.25,22557.5,72508.75,2018,580
0,Monday,13,HV0003,Uber,74229,390894.24,96915004,2141235.49,106209.1,1578813.43,24746.25,72987.75,2408,760
0,Monday,14,HV0003,Uber,82248,425275.85,111461730,2430865.46,119385.67,1779334.4,27843.75,76863.0,2706,982
0,Monday,15,HV0003,Uber,86128,434066.23000000004,122567367,2574006.56,123026.22,1903008.7,27625.0,82468.0,2712,997
0,Monday,16,HV0003,Uber,90109,432994.57,127834696,2602847.33,123669.01000000001,1958817.56,25828.75,88259.5,3078,1138
0,Monday,17,HV0003,Uber,100089,459995.49,133060072,2732514.19,128501.12,2057004.98,23717.5,104115.25,3437,1483
0,Monday,18,HV0003,Uber,103558,475970.04000000004,125630514,2680187.97,123242.85,2017514.73,22020.0,114699.5,3678,1578
0,Monday,19,HV0003,Uber,96518,465115.57,106254224,2414972.59,108232.45,1793848.74,19198.75,107576.5,3640,1703
0,Monday,20,HV0003,Uber,89935,474601.17,97168583,2337784.64,110910.63,1719274.6400000001,16313.75,108072.0,3301,1616
0,Monday,21,HV0003,Uber,84716,474577.81,91338885,2287294.35,111401.09,1667923.05,15886.25,109015.0,3379,1746
0,Monday,22,HV0003,Uber,78179,452926.23,85412418,2105155.88,93734.58,1566587.22,15771.25,95785.5,3792,2169
0,Monday,23,HV0003,Uber,65274,390424.69,70932834,1780613.68,71008.61,1326114.89,14658.75,69615.0,3800,2313
1,Tuesday,0,HV0003,Uber,51479,297954.11,52712342,1333986.68,53171.020000000004,998437.7,11072.5,52013.5,3461,1761
1,Tuesday,1,HV0003,Uber,28588,156122.99,26841447,649924.51,23118.55,500788.26,3568.75,28121.0,2116,933
1,Tuesday,2,HV0003,Uber,18251,98092.81999999999,16658035,397714.51,12885.87,309867.14,2242.5,16834.0,1530,625
1,Tuesday,3,HV0003,Uber,16304,103088.19,15632269,410945.18,14848.27,307665.47,7543.75,13199.75,1326,444
1,Tuesday,4,HV0003,Uber,24772,188294.16,26257965,760067.01,34031.12,545259.16,20170.0,20897.75,1623,643
1,Tuesday,5,HV0003,Uber,40636,294013.23,46469504,1237423.28,55996.15,908572.08,26613.75,38068.75,2227,1048
1,Tuesday,6,HV0003,Uber,72736,433744.87,87785390,2068753.95,83768.6,1538758.99,24991.25,67917.5,3256,1693
1,Tuesday,7,HV0003,Uber,119624,555882.22,150410069,3273453.57,130428.5,2423804.8,23668.75,101460.25,3716,1742
1,Tuesday,8,HV0003,Uber,142785,603067.67,178787895,3806039.32,158554.91999999998,2838982.86,22600.0,131666.25,4215,1773
