weekday_num,weekday,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
0,Monday,0,HV0003,Uber,48049,286270.21,48581951,1194196.1300000001,35422.88,924353.54,13086.25,37537.75,3988,1528
0,Monday,1,HV0003,Uber,28044,161914.91999999998,27352883,653067.22,17401.420000000002,512565.73,5722.5,21472.5,2408,725
0,Monday,2,HV0003,Uber,18461,105397.56,17403077,421821.6,11066.92,329885.7,3406.25,13778.0,1832,538
0,Monday,3,HV0003,Uber,15782,103014.44,15630760,410762.63,13226.26,312933.13,7245.0,11605.5,1499,396
0,Monday,4,HV0003,Uber,21186,165846.35,22984695,685818.66,29952.18,497485.23,16803.75,16067.5,1603,471
0,Monday,5,HV0003,Uber,32390,245316.55,37017128,1042288.12,47245.59,763839.78,22263.75,27292.25,2075,753
0,Monday,6,HV0003,Uber,58371,366325.28,70583014,1687506.78,65212.08,1272245.39,22633.75,50448.0,3303,1261
0,Monday,7,HV0003,Uber,95061,458670.83,115071090,2517940.65,90868.84,1913934.23,19707.5,74498.5,4001,1431
0,Monday,8,HV0003,Uber,118482,507249.38,138990477,2903377.7199999997,109441.59,2233140.87,18918.75,99382.0,5085,1645
0,Monday,9,HV0003,Uber,98174,454095.20999999996,114234860,2430758.14,106252.23,1843237.86,20618.75,94612.75,4493,1295
0,Monday,10,HV0003,Uber,78945,390057.67,93159732,2037030.0899999999,97365.2,1527695.8,20188.75,78392.25,3452,791
0,Monday,11,HV0003,Uber,73040,365231.31,86870379,1921231.58,96458.44,1428054.32,19241.25,75137.75,3196,702
0,Monday,12,HV0003,Uber,72496,364958.98,87081338,1918071.0,95170.33,1430101.35,20077.5,73770.0,3199,605
0,Monday,13,HV0003,Uber,77072,385931.42,94746397,2044737.27,99925.28,1539822.9,21570.0,73835.5,3508,730
0,Monday,14,HV0003,Uber,86050,421221.11,110165138,2319160.33,108595.09,1747099.6400000001,23562.5,76238.75,3806,916
0,Monday,15,HV0003,Uber,88617,427275.86,119564444,2437023.34,112597.26999999999,1850324.75,25622.5,79789.0,3996,902
0,Monday,16,HV0003,Uber,90835,427927.38,123013662,2447950.69,112542.3,1883560.85,24465.0,82493.0,4158,1094
0,Monday,17,HV0003,Uber,98306,432745.95,121149543,2499986.4699999997,113820.5,1883045.31,20823.75,97476.0,4557,1287
0,Monday,18,HV0003,Uber,98925,427894.6,106891704,2359544.0,110171.64,1742657.3399999999,19235.0,108127.5,4462,1247
0,Monday,19,HV0003,Uber,92801,432550.98,92465855,2154296.09,98338.04,1600189.88,17118.75,101615.75,4598,1377
0,Monday,20,HV0003,Uber,89246,448890.22000000003,88725904,2172004.76,103589.38,1591245.79,15615.0,102696.0,4584,1426
0,Monday,21,HV0003,Uber,84591,455439.08999999997,85552414,2162688.67,102890.68,1570777.0,15295.0,102972.5,4301,1492
0,Monday,22,HV0003,Uber,77546,420424.56,78965533,1912712.03,82813.13,1432290.75,14593.75,89209.75,4617,1834
0,Monday,23,HV0003,Uber,61900,354048.23,63779054,1534318.4100000001,59972.08,1176219.03,15708.75,64131.75,4543,1923
1,Tuesday,0,HV0003,Uber,39118,226916.77000000002,38908186,968994.79,36212.24,742985.04,10091.25,37556.25,3289,1141
1,Tuesday,1,HV0003,Uber,22086,120546.53,20614068,502726.98,17986.39,384863.79000000004,3797.5,20831.5,1950,558
1,Tuesday,2,HV0003,Uber,14131,75948.82,12886612,312142.45999999996,10708.31,240409.80000000002,2068.75,12491.75,1402,338
1,Tuesday,3,HV0003,Uber,12182,76387.54000000001,11747659,306023.9,11080.24,232241.56,5112.5,9694.5,1242,300
1,Tuesday,4,HV0003,Uber,17707,132633.02,19091587,536598.65,23571.17,395260.37,13275.0,13959.75,1424,410
1,Tuesday,5,HV0003,Uber,29608,203439.55,31934266,865551.9,39326.66,632820.59,17256.25,26519.5,2110,682
