weekday_num,weekday,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
0,Monday,0,HV0003,Uber,56792,329280.69,56576455,1303697.69,43647.33,1074111.29,13301.25,50693.5,4273,1349
0,Monday,1,HV0003,Uber,32979,181325.14,31087680,708356.0,20999.059999999998,569643.1,4196.25,28384.0,2706,738
0,Monday,2,HV0003,Uber,21670,123155.29000000001,20483606,484188.45,13280.9,382156.06,3530.0,17620.5,1841,468
0,Monday,3,HV0003,Uber,18718,124528.08,18658314,491705.92,16563.84,373060.52,8627.5,14524.0,1551,314
0,Monday,4,HV0003,Uber,25147,200842.24,27958303,808262.4299999999,36994.46,596409.8200000001,21225.0,19754.75,1820,472
0,Monday,5,HV0003,Uber,37587,294224.14,45179364,1206806.89,59375.94,903521.74,28885.0,34271.75,2232,624
0,Monday,6,HV0003,Uber,63600,416366.4,79379308,1927676.87,82767.66,1449162.25,27917.5,60205.25,3469,1265
0,Monday,7,HV0003,Uber,104186,541876.15,133464537,2954490.22,117101.69,2311678.61,27210.0,91572.75,4566,1504
0,Monday,8,HV0003,Uber,125255,580250.19,155120493,3206556.0999999996,134760.93,2518121.73,26416.25,121437.5,5239,1522
0,Monday,9,HV0003,Uber,104176,510204.08999999997,125911355,2662290.06,130244.37,2008904.92,27018.75,111123.0,4297,1021
0,Monday,10,HV0003,Uber,88275,462278.07,110677862,2355614.31,123795.56999999999,1773622.16,26852.5,95893.5,3332,603
0,Monday,11,HV0003,Uber,82961,434526.41000000003,105257995,2238174.68,120427.51,1678726.1400000001,25595.0,92528.0,3264,559
0,Monday,12,HV0003,Uber,84106,446629.58,107878303,2296218.59,122773.36,1724007.92,27230.0,92603.0,3175,432
0,Monday,13,HV0003,Uber,86273,459565.64,111914530,2364519.64,122842.83,1782660.5699999998,27975.0,90121.75,3373,563
0,Monday,14,HV0003,Uber,98458,520858.08,134551435,2743148.3200000003,140918.35,2099205.0,34177.5,97637.75,3909,745
0,Monday,15,HV0003,Uber,102533,531669.56,147198713,2887980.21,145084.43,2237070.65,33963.75,103316.25,4087,844
0,Monday,16,HV0003,Uber,105950,531977.85,152978722,2918714.5700000003,148587.66,2297990.11,32468.75,108838.5,4201,961
0,Monday,17,HV0003,Uber,115234,537135.62,153725024,3020347.94,150201.24,2330139.72,28457.5,126663.5,4452,1144
0,Monday,18,HV0003,Uber,117988,531213.78,140454618,2934001.84,147692.14,2207644.19,24832.5,140417.5,4713,1162
0,Monday,19,HV0003,Uber,108538,523068.67000000004,119600381,2668484.32,131391.11,1981159.94,22100.0,129413.5,4425,1107
0,Monday,20,HV0003,Uber,103775,551540.73,111286374,2607896.2600000002,134809.82,1942269.27,20691.25,129394.75,4344,1103
0,Monday,21,HV0003,Uber,99266,556243.37,105843364,2541135.62,134104.86,1901585.72,18967.5,133011.5,4085,1025
0,Monday,22,HV0003,Uber,88887,502664.33999999997,94652730,2212981.58,108995.64,1697469.93,17191.25,112435.0,4621,1495
0,Monday,23,HV0003,Uber,71444,414237.02,75557151,1757986.17,76188.96,1384425.52,17251.25,79908.25,4637,1622
1,Tuesday,0,HV0003,Uber,46233,266517.93,47109306,1083940.79,44260.62,871382.04,9542.5,47332.0,3552,1042
1,Tuesday,1,HV0003,Uber,26070,140548.15,24474857,561722.84,20889.1,447190.64,3213.75,26193.5,2192,584
1,Tuesday,2,HV0003,Uber,16648,89328.07,15206454,355773.51,11656.71,278771.64,2222.5,15852.5,1525,309
1,Tuesday,3,HV0003,Uber,14486,91402.01999999999,13968413,352791.11,13492.84,272399.51,6173.75,11869.25,1380,278
1,Tuesday,4,HV0003,Uber,20574,158185.83000000002,22632176,621516.01,30142.34,465064.88,16231.25,17639.75,1538,391
1,Tuesday,5,HV0003,Uber,33897,245578.75,38072703,990679.69,49086.17,742192.96,22228.75,32334.25,2199,592
1,Tuesday,6,HV0003,Uber,63340,378529.29000000004,76148361,1718553.53,74625.04000000001,1311077.83,21603.75,62121.75,3426,1167
1,Tuesday,7,HV0003,Uber,110471,523886.88,141145647,2971141.27,123555.69,2238926.2199999997,20377.5,102134.0,4486,1474
1,Tuesday,8,HV0003,Uber,130917,561215.7,166254970,3432057.87,149698.26,2577815.31,20646.25,136183.5,5029,1367
1,Tuesday,9,HV0003,Uber,108789,490559.93,137131727,2822365.73,135066.2,2104210.76,21506.25,123353.25,4358,999
1,Tuesday,10,HV0003,Uber,89810,439428.64,115109736,2405044.12,124583.74,1785466.8399999999,21867.5,100131.0,3502,624
