pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2020-09-01,2020-09,HV0003,Uber,Bronx,46769,200647.46,44057578,677693.39,5682.56,622982.9,0.0,7166.5,0,0
2020-09-01,2020-09,HV0003,Uber,Brooklyn,77008,322556.13,85156195,1227290.82,18191.3,1136576.47,0.0,21417.0,0,0
2020-09-01,2020-09,HV0003,Uber,Manhattan,83582,382908.79,92392898,1456427.06,35537.81,1286371.71,0.0,180125.0,0,0
2020-09-01,2020-09,HV0003,Uber,Queens,46467,253848.76,49404408,815667.06,14638.849999999999,726735.86,0.0,11673.75,0,0
2020-09-01,2020-09,HV0003,Uber,Staten Island,3694,18862.440000000002,3229450,59541.45,1481.21,54090.67,0.0,236.5,0,0
2020-09-01,2020-09,HV0003,Uber,Unknown,15,140.27,18608,320.04999999999995,3.32,290.0,0.0,5.5,0,0
2020-09-02,2020-09,HV0003,Uber,Bronx,47670,201438.38,46299231,699058.25,5760.17,646819.5,0.0,7191.25,1,0
2020-09-02,2020-09,HV0003,Uber,Brooklyn,78355,327963.67,85406408,1262380.29,18980.84,1143129.35,0.0,21639.75,0,0
2020-09-02,2020-09,HV0003,Uber,Manhattan,87354,396288.7,94784822,1535646.4,37463.63,1323872.98,0.0,188903.0,0,0
2020-09-02,2020-09,HV0003,Uber,Queens,46711,250974.47999999998,49316671,820696.55,14280.52,719625.69,0.0,11860.75,0,0
2020-09-02,2020-09,HV0003,Uber,Staten Island,3726,18374.45,3209743,59494.22,1523.92,53239.72,0.0,275.0,0,0
2020-09-02,2020-09,HV0003,Uber,Unknown,12,73.92,10227,221.21,0.0,173.67000000000002,0.0,2.75,0,0
2020-09-03,2020-09,HV0003,Uber,Bronx,51079,216600.88,48939277,758680.41,6739.32,682643.63,0.0,7543.25,0,0
2020-09-03,2020-09,HV0003,Uber,Brooklyn,85781,359274.46,97560777,1419506.7,20398.489999999998,1283612.37,0.0,22192.5,0,0
2020-09-03,2020-09,HV0003,Uber,Manhattan,94577,445423.24,107659149,1774236.28,41710.47,1531073.19,0.0,202730.0,0,0
2020-09-03,2020-09,HV0003,Uber,Queens,51130,274939.76,54871314,922426.05,16858.170000000002,797350.48,0.0,12529.0,0,0
2020-09-03,2020-09,HV0003,Uber,Staten Island,3959,20337.31,3563612,66226.25,1635.98,59019.44,0.0,253.0,0,0
2020-09-03,2020-09,HV0003,Uber,Unknown,13,121.47,16964,363.38,0.0,342.2,0.0,2.75,0,0
2020-09-04,2020-09,HV0003,Uber,Bronx,55155,242640.6,56944051,892568.28,8369.9,812766.28,0.0,8162.0,0,0
2020-09-04,2020-09,HV0003,Uber,Brooklyn,91401,402371.16,108023618,1625272.83,27132.329999999998,1434202.37,0.0,24895.75,0,0
2020-09-04,2020-09,HV0003,Uber,Manhattan,95213,472426.65,112893977,1891923.94,48556.979999999996,1595746.73,0.0,201379.75,0,0
2020-09-04,2020-09,HV0003,Uber,Queens,57150,317654.49,64601137,1095777.82,21617.079999999998,940169.99,0.0,14278.0,0,0
2020-09-04,2020-09,HV0003,Uber,Staten Island,4418,21909.38,3978248,74469.52,1848.3999999999999,65645.48,0.0,269.5,0,0
2020-09-04,2020-09,HV0003,Uber,Unknown,21,107.85000000000001,22700,449.28999999999996,0.0,390.06,0.0,0.0,0,0
2020-09-05,2020-09,HV0003,Uber,Bronx,57738,268104.26,53835229,893159.95,9723.24,795322.71,0.0,8459.0,0,0
2020-09-05,2020-09,HV0003,Uber,Brooklyn,97854,453834.17,106040658,1678133.85,35338.47,1472034.35,0.0,27472.5,0,0
2020-09-05,2020-09,HV0003,Uber,Manhattan,94265,479554.61,96067447,1729841.95,55949.979999999996,1451869.8,0.0,193388.25,0,0
2020-09-05,2020-09,HV0003,Uber,Queens,58804,343210.24,61077039,1088235.0999999999,25889.739999999998,944679.0499999999,0.0,13345.75,0,0
2020-09-05,2020-09,HV0003,Uber,Staten Island,4441,23604.39,3948100,76149.0,2534.96,67659.06,0.0,294.25,0,0
2020-09-05,2020-09,HV0003,Uber,Unknown,14,83.68,16618,247.68,9.66,273.38,0.0,2.75,0,0
2020-09-06,2020-09,HV0003,Uber,Bronx,50858,238202.25999999998,44369911,776562.07,8240.67,690163.78,0.0,7062.0,0,0
2020-09-06,2020-09,HV0003,Uber,Brooklyn,90539,416413.74,92858193,1518577.55,31222.38,1336760.8800000001,0.0,24076.25,0,0
2020-09-06,2020-09,HV0003,Uber,Manhattan,80645,409431.3,77633965,1436158.29,46256.41,1204073.23,0.0,164782.75,0,0
2020-09-06,2020-09,HV0003,Uber,Queens,52175,320672.99,53075000,988928.3899999999,22488.06,869358.4,0.0,12366.75,0,0
2020-09-06,2020-09,HV0003,Uber,Staten Island,3641,20443.45,3265156,65229.240000000005,2046.81,59438.35,0.0,233.75,0,0
2020-09-06,2020-09,HV0003,Uber,Unknown,12,87.61,13781,189.87,0.0,262.03,0.0,0.0,0,0
2020-09-07,2020-09,HV0003,Uber,Bronx,43281,200635.81,36568015,663735.89,7327.87,565206.43,0.0,6077.5,0,0
2020-09-07,2020-09,HV0003,Uber,Brooklyn,79023,356986.31,77768086,1338527.8900000001,24824.82,1116644.84,0.0,19989.75,0,0
2020-09-07,2020-09,HV0003,Uber,Manhattan,68960,347334.05,64661397,1259419.1,39473.51,1001067.73,0.0,141949.5,0,0
2020-09-07,2020-09,HV0003,Uber,Queens,46476,298982.02,46766923,950587.38,20635.67,798521.55,0.0,13103.75,0,0
2020-09-07,2020-09,HV0003,Uber,Staten Island,3193,17285.21,2731241,55235.0,1683.0,49289.89,0.0,255.75,0,0
2020-09-07,2020-09,HV0003,Uber,Unknown,16,118.31,15476,363.25,2.84,309.47,0.0,0.0,0,0
2020-09-08,2020-09,HV0003,Uber,Bronx,45592,195902.27,42995935,698208.47,7934.99,612156.69,0.0,6663.25,0,0
2020-09-08,2020-09,HV0003,Uber,Brooklyn,75363,319349.79000000004,82405571,1294827.69,27013.030000000002,1124993.92,0.0,20707.5,0,0
2020-09-08,2020-09,HV0003,Uber,Manhattan,79385,365802.48,86640714,1495488.95,53866.259999999995,1216240.2,0.0,172084.0,0,0
2020-09-08,2020-09,HV0003,Uber,Queens,46585,265345.76,50546327,896382.83,21038.37,762963.88,0.0,12443.75,0,0
2020-09-08,2020-09,HV0003,Uber,Staten Island,3662,18835.63,3252777,61663.79,2005.15,54411.61,0.0,266.75,0,0
2020-09-08,2020-09,HV0003,Uber,Unknown,14,107.98,15025,210.14000000000001,0.0,236.17,0.0,2.75,0,0
2020-09-09,2020-09,HV0003,Uber,Bronx,47573,199138.95,45217201,709271.91,7914.5,625920.64,0.0,6754.0,0,0
2020-09-09,2020-09,HV0003,Uber,Brooklyn,76544,322579.32,85734865,1302897.33,27102.489999999998,1142527.59,0.0,21774.5,0,0
2020-09-09,2020-09,HV0003,Uber,Manhattan,88160,397248.71,98190211,1653225.3900000001,59752.78999999999,1358232.65,0.0,192775.0,0,0
2020-09-09,2020-09,HV0003,Uber,Queens,46832,253905.93,50908749,865755.13,20125.03,738448.3,0.0,11756.25,0,0
2020-09-09,2020-09,HV0003,Uber,Staten Island,3825,18397.71,3312412,61468.35,1914.75,53961.05,0.0,255.75,0,0
2020-09-09,2020-09,HV0003,Uber,Unknown,15,97.38,15055,355.03999999999996,0.94,256.89,0.0,2.75,0,0
2020-09-10,2020-09,HV0003,Uber,Bronx,51109,209769.84,49150249,771052.17,7465.030000000001,686154.21,0.0,7268.25,0,0
2020-09-10,2020-09,HV0003,Uber,Brooklyn,85607,343443.94,93103150,1472152.83,27656.87,1283361.44,0.0,23097.25,0,0
2020-09-10,2020-09,HV0003,Uber,Manhattan,101895,433270.48,108851440,1869157.58,57887.759999999995,1530025.8499999999,0.0,225379.0,0,0
2020-09-10,2020-09,HV0003,Uber,Queens,51790,269054.79,56346021,943504.66,19580.68,814209.06,0.0,12738.0,0,0
2020-09-10,2020-09,HV0003,Uber,Staten Island,4092,19278.49,3502242,65423.149999999994,1902.91,57229.59,0.0,302.5,0,0
2020-09-10,2020-09,HV0003,Uber,Unknown,9,69.59,11079,217.85000000000002,0.94,182.31,0.0,0.0,0,0
2020-09-11,2020-09,HV0003,Uber,Bronx,56890,245055.06,58178070,883678.3,9636.43,804156.8,0.0,8481.0,0,0
2020-09-11,2020-09,HV0003,Uber,Brooklyn,93247,395273.02,108444679,1610838.3800000001,34028.87,1423084.26,0.0,27274.5,0,0
2020-09-11,2020-09,HV0003,Uber,Manhattan,109339,492650.64999999997,123891408,2085500.17,68804.07,1751626.02,0.0,241103.5,0,0
2020-09-11,2020-09,HV0003,Uber,Queens,57449,308716.7,64663305,1059503.75,24136.06,921898.93,0.0,14198.25,0,0
