pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2024-11-01,2024-11,HV0003,Uber,Bronx,76469,343397.62,79085207,1421179.1600000001,22405.66,1329166.86,2485.0,10923.25,3734,1988
2024-11-01,2024-11,HV0003,Uber,Brooklyn,160157,703470.36,188045579,3554885.94,120943.98999999999,3066612.29,12963.75,51326.5,8369,5488
2024-11-01,2024-11,HV0003,Uber,Manhattan,233963,1145528.69,296051481,6953640.78,301119.13,5282560.61,29792.5,524795.5,7864,5487
2024-11-01,2024-11,HV0003,Uber,Queens,119505,741080.95,155920798,3183467.6999999997,140666.27,2701934.86,56863.75,41611.0,6454,3209
2024-11-01,2024-11,HV0003,Uber,Staten Island,8963,49343.88,8877125,190128.32,7690.58,165594.67,431.25,700.25,612,99
2024-11-01,2024-11,HV0003,Uber,Unknown,16,76.53,14751,293.11,3.69,268.02,0.0,0.0,2,0
2024-11-02,2024-11,HV0003,Uber,Bronx,73023,341888.83,72950136,1363596.08,23383.07,1209309.62,1538.75,11444.0,3675,2044
2024-11-02,2024-11,HV0003,Uber,Brooklyn,168522,757649.29,196321032,3771326.85,133716.99000000002,3117873.36,9040.0,67029.5,8623,5851
2024-11-02,2024-11,HV0003,Uber,Manhattan,246280,1154644.17,303609197,6970635.6,309148.9,5153914.29,19806.25,559216.5,7485,5144
2024-11-02,2024-11,HV0003,Uber,Queens,115836,708453.35,139156204,2858334.03,110517.52,2430455.83,40252.5,35426.5,6364,3294
2024-11-02,2024-11,HV0003,Uber,Staten Island,7973,47594.19,8210295,180396.11,7969.24,153240.63,307.5,799.0,620,93
2024-11-02,2024-11,HV0003,Uber,Unknown,20,131.95999999999998,23785,473.20000000000005,6.0,447.23,0.0,0.0,0,0
2024-11-03,2024-11,HV0003,Uber,Bronx,61995,287197.76,57536108,1127631.97,17278.88,1021078.03,1613.75,8081.0,3293,1660
2024-11-03,2024-11,HV0003,Uber,Brooklyn,136843,634231.6,152460400,3101239.62,96317.48000000001,2552495.92,12653.75,42753.0,7833,4943
2024-11-03,2024-11,HV0003,Uber,Manhattan,184838,1012781.7,226410242,6092545.64,257566.7,4451040.44,33583.75,404786.5,6744,4582
2024-11-03,2024-11,HV0003,Uber,Queens,106198,740502.12,129191616,2924172.12,114512.54,2439311.95,60853.75,35519.75,5670,2585
2024-11-03,2024-11,HV0003,Uber,Staten Island,6845,39437.94,6703562,151859.58,6085.58,127727.18000000001,297.5,538.5,599,91
2024-11-03,2024-11,HV0003,Uber,Unknown,19,101.34,15519,335.28000000000003,3.0,315.73,0.0,0.0,1,1
2024-11-04,2024-11,HV0003,Uber,Bronx,58196,243702.05,59675221,1083572.87,17820.68,980741.03,1615.0,7442.0,2558,1030
2024-11-04,2024-11,HV0003,Uber,Brooklyn,104580,443529.58999999997,121866164,2298552.45,76191.74,1924792.85,12841.25,26586.5,4809,2457
2024-11-04,2024-11,HV0003,Uber,Manhattan,161115,849913.98,204989939,5081492.49,261364.16,3617475.47,38243.75,357101.25,4614,2644
2024-11-04,2024-11,HV0003,Uber,Queens,90493,587503.96,119311264,2574087.36,110476.59,2114739.83,54251.25,29731.0,4093,1434
2024-11-04,2024-11,HV0003,Uber,Staten Island,6807,35079.0,6567952,143720.59,5636.34,121538.15000000001,430.0,379.0,439,46
2024-11-04,2024-11,HV0003,Uber,Unknown,23,160.67000000000002,31817,603.73,0.0,560.54,2.5,2.75,1,1
2024-11-05,2024-11,HV0003,Uber,Bronx,55802,234125.8,51000121,983607.17,16997.07,857330.34,1686.25,6919.0,2522,953
2024-11-05,2024-11,HV0003,Uber,Brooklyn,107029,433263.81,111710618,2163496.04,74923.28,1767348.5799999998,9740.0,26575.25,5115,2679
2024-11-05,2024-11,HV0003,Uber,Manhattan,158062,782772.22,176303803,4598221.86,239734.31,3115697.75,27256.25,352428.25,4940,2876
2024-11-05,2024-11,HV0003,Uber,Queens,86497,537427.23,100607283,2328334.27,107536.71,1845306.29,48302.5,29066.5,4117,1413
2024-11-05,2024-11,HV0003,Uber,Staten Island,6659,33839.07,5937428,131308.57,5101.44,111603.77,316.25,387.5,442,52
2024-11-05,2024-11,HV0003,Uber,Unknown,16,63.87,11903,263.68,0.0,234.90999999999997,2.5,0.0,0,0
2024-11-06,2024-11,HV0003,Uber,Bronx,59023,251208.03,63136925,1126053.38,18632.39,998344.19,1997.5,7929.5,2668,1163
2024-11-06,2024-11,HV0003,Uber,Brooklyn,111797,470144.95999999996,130811395,2444213.25,83342.41,2008851.1400000001,11328.75,29488.5,5557,3072
2024-11-06,2024-11,HV0003,Uber,Manhattan,180643,951669.71,235737404,5881203.6,306857.26,4008804.8000000003,30778.75,400753.5,5295,3170
2024-11-06,2024-11,HV0003,Uber,Queens,91312,566267.78,119193866,2603019.29,123900.01999999999,2068525.31,51706.25,34633.25,4506,1725
2024-11-06,2024-11,HV0003,Uber,Staten Island,7253,38712.26,7211033,156469.83,6572.33,131553.0,421.25,502.0,506,67
2024-11-06,2024-11,HV0003,Uber,Unknown,17,85.61999999999999,19455,357.11,0.0,337.14,2.5,0.0,0,0
2024-11-07,2024-11,HV0003,Uber,Bronx,63457,271870.26,66851084,1198854.32,20886.29,1065282.48,2085.0,8958.0,2920,1327
2024-11-07,2024-11,HV0003,Uber,Brooklyn,117901,501616.33,143347960,2625401.19,88672.73,2176785.34,12602.5,32933.25,5643,3059
2024-11-07,2024-11,HV0003,Uber,Manhattan,201608,1095759.9000000001,283998674,6955982.42,364020.17,4773611.31,40938.75,450093.5,5748,3579
2024-11-07,2024-11,HV0003,Uber,Queens,96621,615946.71,130186120,2835680.5300000003,133538.66,2260397.4,56151.25,35825.75,4791,1853
2024-11-07,2024-11,HV0003,Uber,Staten Island,7573,39878.54,7481476,162119.93,6683.96,136077.33000000002,501.25,457.75,550,78
2024-11-07,2024-11,HV0003,Uber,Unknown,18,170.12,28767,600.56,0.0,514.28,0.0,0.0,1,1
2024-11-08,2024-11,HV0003,Uber,Bronx,73933,321109.83,83770327,1436073.73,22743.52,1303009.41,2621.25,9850.5,3561,1886
2024-11-08,2024-11,HV0003,Uber,Brooklyn,139399,592589.14,170662113,3058342.68,102941.41,2579100.85,13400.0,38956.0,6899,4203
2024-11-08,2024-11,HV0003,Uber,Manhattan,211696,1055939.41,280839884,6519771.84,327997.66,4637541.36,39496.25,474457.75,6480,4234
2024-11-08,2024-11,HV0003,Uber,Queens,112435,722937.13,161064715,3301597.39,156469.87,2728120.72,63905.0,39983.0,5588,2490
2024-11-08,2024-11,HV0003,Uber,Staten Island,8714,46731.869999999995,8843992,188242.21,7391.73,160036.82,595.0,579.0,672,111
2024-11-08,2024-11,HV0003,Uber,Unknown,18,75.64000000000001,16890,350.92,13.940000000000001,296.35,0.0,2.75,0,0
2024-11-09,2024-11,HV0003,Uber,Bronx,69952,326018.96,70866359,1301340.67,21394.53,1244943.17,1722.5,10780.0,3373,1811
2024-11-09,2024-11,HV0003,Uber,Brooklyn,164242,733593.28,193341780,3560293.17,127431.69,3194461.0,9927.5,59922.75,8628,5802
2024-11-09,2024-11,HV0003,Uber,Manhattan,244550,1180532.19,325307234,6997925.51,329301.55,5727591.32,22821.25,554452.75,8121,5817
2024-11-09,2024-11,HV0003,Uber,Queens,111935,718331.1,139671559,2886090.91,118934.55,2530908.83,46713.75,35789.5,6021,3059
2024-11-09,2024-11,HV0003,Uber,Staten Island,7738,45395.46,7755802,170550.54,7324.54,150965.66999999998,397.5,678.0,617,98
2024-11-09,2024-11,HV0003,Uber,Unknown,19,99.14,18290,354.01,3.0,317.08,2.5,0.0,2,1
2024-11-10,2024-11,HV0003,Uber,Bronx,60227,282409.77,55209164,1077984.02,16584.55,1033321.07,1688.75,8806.25,2937,1551
2024-11-10,2024-11,HV0003,Uber,Brooklyn,142900,660182.56,159917376,3101499.57,103450.52,2772645.37,12742.5,48400.75,7722,5156
2024-11-10,2024-11,HV0003,Uber,Manhattan,203940,1079038.16,247340532,5796844.75,271017.05,4749234.05,38975.0,455043.25,7329,5145
2024-11-10,2024-11,HV0003,Uber,Queens,107738,787316.97,136241403,3083945.7199999997,126819.72,2682871.06,64412.5,41620.75,5463,2687
2024-11-10,2024-11,HV0003,Uber,Staten Island,6503,38030.82,6250617,140074.43,5508.82,125875.1,320.0,469.0,538,87
2024-11-10,2024-11,HV0003,Uber,Unknown,18,84.97,14517,299.72,0.0,288.92,2.5,2.75,3,3
2024-11-11,2024-11,HV0003,Uber,Bronx,50168,226213.71,46325909,917743.92,15639.24,783634.5,1737.5,6958.0,2358,943
2024-11-11,2024-11,HV0003,Uber,Brooklyn,98537,443783.38,107626132,2168114.81,74904.68,1716274.47,13537.5,26813.75,4618,2369
2024-11-11,2024-11,HV0003,Uber,Manhattan,152977,817978.16,188107907,4780310.35,262892.84,3262645.7199999997,39165.0,340232.75,4394,2527
2024-11-11,2024-11,HV0003,Uber,Queens,90470,672456.04,120144136,2833719.03,143507.72,2248155.63,68400.0,39707.0,3916,1412
2024-11-11,2024-11,HV0003,Uber,Staten Island,5946,34537.68,5672710,131924.98,5631.46,107391.67,432.5,456.5,413,54
2024-11-11,2024-11,HV0003,Uber,Unknown,13,115.82999999999998,14423,492.75,2.68,340.76,0.0,0.0,2,1
2024-11-12,2024-11,HV0003,Uber,Bronx,59906,246498.42,63310321,1112233.09,18839.14,976517.46,1700.0,7508.5,2774,1211
2024-11-12,2024-11,HV0003,Uber,Brooklyn,111594,459974.63,134665207,2461605.1,85959.49,2005087.98,11568.75,29253.5,5389,2916
