pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2025-02-01,2025-02,HV0003,Uber,Bronx,72743,338760.27,68917415,1306413.34,19370.29,1164975.23,1341.25,10888.25,4416.0,4280,2180
2025-02-01,2025-02,HV0003,Uber,Brooklyn,173343,737894.09,188333932,3538091.84,123405.26,2961938.64,7511.25,57784.75,29599.5,10298,6988
2025-02-01,2025-02,HV0003,Uber,Manhattan,226130,1052390.44,255915505,6074797.58,260836.09,4394448.22,18682.5,506484.5,269413.5,8247,5756
2025-02-01,2025-02,HV0003,Uber,Queens,113184,682232.29,130211261,2644296.0,98768.69,2291201.9,37813.75,33652.75,16917.0,7361,3585
2025-02-01,2025-02,HV0003,Uber,Staten Island,8320,47745.08,7859664,173434.57,7086.5,151200.87,277.5,834.5,402.0,745,146
2025-02-01,2025-02,HV0003,Uber,Unknown,14,82.49000000000001,16524,273.97,14.14,256.55,0.0,2.75,1.5,3,1
2025-02-02,2025-02,HV0003,Uber,Bronx,62166,287386.63,55470387,1113961.83,15233.58,959156.23,1355.0,8560.75,3258.0,4083,2044
2025-02-02,2025-02,HV0003,Uber,Brooklyn,148623,656083.53,155924174,3076216.79,96686.69,2515603.01,11605.0,44197.0,23155.5,9809,6422
2025-02-02,2025-02,HV0003,Uber,Manhattan,186758,963512.79,203406474,5103862.92,214159.87,3676307.89,32952.5,407784.25,218254.5,8230,5696
2025-02-02,2025-02,HV0003,Uber,Queens,106853,730756.1699999999,124231081,2772548.52,106423.22,2327824.65,56850.0,39103.5,19437.0,7233,3706
2025-02-02,2025-02,HV0003,Uber,Staten Island,6597,38914.01,6153675,139111.22999999998,4977.57,120317.20999999999,385.0,491.25,210.0,711,116
2025-02-02,2025-02,HV0003,Uber,Unknown,10,77.48,11892,243.93,2.0,236.49,0.0,0.0,1.5,1,0
2025-02-03,2025-02,HV0003,Uber,Bronx,61995,264324.14,62820157,1210305.21,17664.79,1037563.68,1712.5,8300.0,3118.5,3456,1467
2025-02-03,2025-02,HV0003,Uber,Brooklyn,107520,453407.21,118356022,2333036.75,73486.41,1872509.46,11091.25,27171.5,14275.5,6216,3242
2025-02-03,2025-02,HV0003,Uber,Manhattan,158066,801811.53,180480600,4597469.93,225751.52,3169153.61,28386.25,345669.75,180256.5,5247,3025
2025-02-03,2025-02,HV0003,Uber,Queens,97783,650575.39,125107220,2722674.06,117976.06,2240809.56,58933.75,37888.25,19201.5,5401,2131
2025-02-03,2025-02,HV0003,Uber,Staten Island,7518,40080.45,7262419,160036.76,5979.01,134644.12,408.75,505.5,240.0,586,113
2025-02-03,2025-02,HV0003,Uber,Unknown,18,95.31,19936,441.97999999999996,17.39,330.45,0.0,2.75,1.5,1,1
2025-02-04,2025-02,HV0003,Uber,Bronx,63860,263972.65,65201063,1187097.16,19044.44,1028415.48,1307.5,8311.75,3150.0,3347,1448
2025-02-04,2025-02,HV0003,Uber,Brooklyn,116020,466520.84,128693506,2424182.5300000003,77956.84,1974181.71,8516.25,31873.75,16881.0,6513,3376
2025-02-04,2025-02,HV0003,Uber,Manhattan,183342,925178.79,219698102,5567042.37,289425.2,3811451.33,25512.5,406157.0,214776.0,5445,3166
2025-02-04,2025-02,HV0003,Uber,Queens,96536,583227.5700000001,117983559,2490143.79,106834.95999999999,2064163.23,48438.75,33174.0,16945.5,5285,2042
2025-02-04,2025-02,HV0003,Uber,Staten Island,7855,40071.37,7506024,159088.66999999998,6066.12,135010.66,348.75,571.25,268.5,641,95
2025-02-04,2025-02,HV0003,Uber,Unknown,19,125.94,19368,450.88,15.77,375.67,2.5,2.75,1.5,0,0
2025-02-05,2025-02,HV0003,Uber,Bronx,65195,271151.72000000003,64488591,1233064.27,19641.65,1023788.97,1403.75,9083.5,3444.0,3616,1611
2025-02-05,2025-02,HV0003,Uber,Brooklyn,119914,482528.33999999997,133088041,2566555.61,81118.3,2020669.06,9442.5,33237.25,17404.5,6858,3603
2025-02-05,2025-02,HV0003,Uber,Manhattan,197765,1011320.3500000001,243010541,6221895.029999999,317386.92,4185984.92,32656.25,439171.0,233836.5,6097,3705
2025-02-05,2025-02,HV0003,Uber,Queens,98119,603179.58,121303571,2626439.02,113781.06,2123365.0300000003,50152.5,35118.25,17589.0,5825,2348
2025-02-05,2025-02,HV0003,Uber,Staten Island,8066,41371.29,7623508,166018.0,6425.0199999999995,136222.04,415.0,538.75,267.0,721,102
2025-02-05,2025-02,HV0003,Uber,Unknown,15,123.9,17591,427.25,4.99,360.26,2.5,0.0,0.0,0,0
2025-02-06,2025-02,HV0003,Uber,Bronx,66578,276668.3,64233953,1275658.61,19684.239999999998,1052418.79,1763.75,8514.75,3390.0,4047,1830
2025-02-06,2025-02,HV0003,Uber,Brooklyn,131872,525957.6599999999,144490346,2891896.98,89763.02,2270665.41,10816.25,37128.25,19572.0,7805,4358
2025-02-06,2025-02,HV0003,Uber,Manhattan,219654,1066248.69,259072411,6781204.95,329580.92,4526391.85,37555.0,495610.25,262828.5,6942,4309
