pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2019-09-01,2019-09,HV0003,Uber,Bronx,63665,270993.22,55884344,831750.36,11366.49,801398.49,0.0,6720.75,11904,8157
2019-09-01,2019-09,HV0003,Uber,Brooklyn,131602,552002.77,132446438,1995048.93,45551.479999999996,1809775.46,0.0,35760.0,21774,16826
2019-09-01,2019-09,HV0003,Uber,Manhattan,170869,806779.25,180307767,3147757.34,111504.13,2873691.89,0.0,356496.0,18226,15463
2019-09-01,2019-09,HV0003,Uber,Queens,94070,608483.4,103874479,1932042.08,56422.11,1747502.68,0.0,28451.75,15831,9855
2019-09-01,2019-09,HV0003,Uber,Staten Island,5911,32249.66,5326768,95095.01,3275.14,89222.8,0.0,363.0,1431,592
2019-09-01,2019-09,HV0003,Uber,Unknown,21,129.97,20091,398.3,12.0,336.0,0.0,0.75,6,1
2019-09-02,2019-09,HV0003,Uber,Bronx,44382,179748.0,35030332,568672.38,6928.0,517840.04,0.0,4308.25,10432,6108
2019-09-02,2019-09,HV0003,Uber,Brooklyn,107061,434233.43,107635463,1716935.94,37045.93,1537853.29,0.0,26447.0,23095,16783
2019-09-02,2019-09,HV0003,Uber,Manhattan,147817,681638.78,139585863,2768944.53,98430.5,2429187.93,0.0,307950.5,20682,16600
2019-09-02,2019-09,HV0003,Uber,Queens,80214,563158.96,89524297,1823321.3399999999,54533.16,1584957.32,0.0,33594.75,14847,8841
2019-09-02,2019-09,HV0003,Uber,Staten Island,4321,22585.09,3686782,67684.58,2230.14,62263.66,0.0,279.0,1275,504
2019-09-02,2019-09,HV0003,Uber,Unknown,7,37.45,4849,129.22,3.0,94.82,0.0,0.0,1,0
2019-09-03,2019-09,HV0003,Uber,Bronx,52424,198772.04,49604186,676489.47,9123.71,649469.46,0.0,4890.0,11808,7247
2019-09-03,2019-09,HV0003,Uber,Brooklyn,100282,390151.3,107877809,1516657.6500000001,34724.59,1387066.0899999999,0.0,24782.75,20581,14259
2019-09-03,2019-09,HV0003,Uber,Manhattan,158482,750166.25,187662124,3148344.63,115897.54,2856415.37,0.0,334419.25,20330,15362
2019-09-03,2019-09,HV0003,Uber,Queens,84130,583118.85,112672568,2026612.37,71529.35,1837189.51,0.0,37183.25,14773,8230
2019-09-03,2019-09,HV0003,Uber,Staten Island,5638,27298.03,5095585,85144.09,3164.12,80759.15999999999,0.0,222.0,1543,569
2019-09-03,2019-09,HV0003,Uber,Unknown,16,82.66,15766,237.89,4.0,247.35,0.0,3.5,6,2
2019-09-04,2019-09,HV0003,Uber,Bronx,54375,206080.72,51257070,705328.4,10550.61,675830.1,0.0,5314.75,11584,6982
