pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2023-01-01,2023-01,HV0003,Uber,Bronx,58308,283020.05,51448438,1241250.8800000001,17025.68,995904.54,1461.25,8145.75,983,227
2023-01-01,2023-01,HV0003,Uber,Brooklyn,122648,594517.82,127196607,3377951.42,106576.02,2546957.68,8231.25,45163.75,2262,774
2023-01-01,2023-01,HV0003,Uber,Manhattan,173511,937391.04,193134677,5772082.98,224330.47999999998,4369212.38,25073.75,381686.5,1736,540
2023-01-01,2023-01,HV0003,Uber,Queens,93040,667297.13,104231727,2641048.9,99674.79000000001,2107501.06,45375.0,33330.25,1696,284
2023-01-01,2023-01,HV0003,Uber,Staten Island,5750,36589.02,5589944,139237.09,5999.26,115328.11,245.0,604.75,167,17
2023-01-01,2023-01,HV0003,Uber,Unknown,27,232.45999999999998,31720,790.23,11.11,681.55,1.25,0.0,1,0
2023-01-02,2023-01,HV0003,Uber,Bronx,35432,164739.91999999998,29935593,612289.63,11183.88,486404.72,1567.5,5808.25,680,57
2023-01-02,2023-01,HV0003,Uber,Brooklyn,73003,325755.46,72211070,1422062.53,49800.97,1100617.45,8858.75,22009.75,1452,199
2023-01-02,2023-01,HV0003,Uber,Manhattan,110597,578164.28,116163527,2572580.15,137728.02,1944762.7899999998,29615.0,250024.0,1199,194
2023-01-02,2023-01,HV0003,Uber,Queens,66239,530270.89,79048783,1876223.97,87641.67,1468267.88,54962.5,32942.5,1332,66
2023-01-02,2023-01,HV0003,Uber,Staten Island,3860,22635.91,3547011,78634.51,3261.87,62976.98,262.5,393.0,140,6
2023-01-02,2023-01,HV0003,Uber,Unknown,17,92.88,17686,473.38999999999993,22.55,356.23,2.5,5.5,0,0
2023-01-03,2023-01,HV0003,Uber,Bronx,44316,184934.16,41956730,784123.4,14718.23,624008.68,1776.25,6624.25,798,84
2023-01-03,2023-01,HV0003,Uber,Brooklyn,81474,329892.33,85761046,1586890.78,57328.399999999994,1228129.05,9060.0,21784.25,1545,183
2023-01-03,2023-01,HV0003,Uber,Manhattan,134515,620489.38,147149952,3089744.47,173804.31,2308275.32,22867.5,310778.5,1442,204
2023-01-03,2023-01,HV0003,Uber,Queens,75680,543435.37,95289376,2073241.12,97903.44,1619736.12,57262.5,33144.25,1507,85
2023-01-03,2023-01,HV0003,Uber,Staten Island,5016,25353.86,4608156,95980.36,4597.97,76466.0,247.5,447.0,160,10
2023-01-03,2023-01,HV0003,Uber,Unknown,22,115.38,22084,470.3,3.0,371.64,2.5,2.75,0,0
2023-01-04,2023-01,HV0003,Uber,Bronx,45345,189470.91,43603902,801466.98,15193.13,640313.45,1495.0,7395.5,851,103
2023-01-04,2023-01,HV0003,Uber,Brooklyn,85461,343631.16,91939011,1680767.53,60197.57,1298132.77,7871.25,25508.0,1597,242
2023-01-04,2023-01,HV0003,Uber,Manhattan,144088,677412.37,163437901,3433265.5500000003,193224.83,2546312.62,19667.5,332354.5,1634,318
2023-01-04,2023-01,HV0003,Uber,Queens,71831,492361.2,88691780,1871738.58,88522.73999999999,1474583.82,49348.75,29424.25,1465,84
2023-01-04,2023-01,HV0003,Uber,Staten Island,5111,25583.95,4746839,97428.06,4236.3,77367.85,228.75,441.0,151,11
2023-01-04,2023-01,HV0003,Uber,Unknown,17,124.07,16684,414.68,10.69,321.54,0.0,2.75,0,0
2023-01-05,2023-01,HV0003,Uber,Bronx,46641,195911.35,44504905,824490.66,14800.8,656153.28,1550.0,7431.25,852,118
2023-01-05,2023-01,HV0003,Uber,Brooklyn,88815,355775.27,95481631,1727576.89,61264.36,1339895.36,7581.25,26444.25,1671,284
2023-01-05,2023-01,HV0003,Uber,Manhattan,154906,734359.8,173597250,3681231.24,209286.89,2723493.02,20608.75,358977.0,1722,324
2023-01-05,2023-01,HV0003,Uber,Queens,73515,492236.01,90418921,1876994.15,86468.02,1475676.82,48392.5,29726.25,1637,108
2023-01-05,2023-01,HV0003,Uber,Staten Island,5166,25909.36,4720522,98476.81,4528.32,77376.99,268.75,407.25,161,12
2023-01-05,2023-01,HV0003,Uber,Unknown,19,189.12,29324,704.49,13.46,561.11,2.5,2.75,0,0
2023-01-06,2023-01,HV0003,Uber,Bronx,56485,243063.82,55299571,1021809.26,17978.26,821733.13,1672.5,8907.75,1044,158
2023-01-06,2023-01,HV0003,Uber,Brooklyn,107830,432551.01,117347798,2089810.6199999999,75591.58,1642657.94,7411.25,33041.25,2018,433
2023-01-06,2023-01,HV0003,Uber,Manhattan,180312,792260.86,199346321,4017520.35,218349.51,3025548.58,21777.5,418933.25,2113,512
2023-01-06,2023-01,HV0003,Uber,Queens,85658,543222.1,104164128,2093982.22,95142.61,1666018.02,47865.0,32007.0,1908,173
2023-01-06,2023-01,HV0003,Uber,Staten Island,6540,31939.11,6034954,123131.36,5247.46,98114.11,230.0,462.5,193,12
2023-01-06,2023-01,HV0003,Uber,Unknown,19,244.54,32954,1025.63,6.44,755.89,0.0,8.25,1,0
2023-01-07,2023-01,HV0003,Uber,Bronx,54217,248203.71,48974755,931736.24,16896.690000000002,762501.93,1303.75,9407.0,932,126
2023-01-07,2023-01,HV0003,Uber,Brooklyn,120262,510020.19,124805083,2281074.15,89957.81,1797713.87,6480.0,44378.25,2126,530
2023-01-07,2023-01,HV0003,Uber,Manhattan,208374,916260.24,218876936,4547363.93,230775.86000000002,3426237.4499999997,20493.75,490489.5,2168,599
2023-01-07,2023-01,HV0003,Uber,Queens,86216,574867.35,98044944,2043892.65,89688.05,1639489.3399999999,42626.25,32752.75,1934,239
2023-01-07,2023-01,HV0003,Uber,Staten Island,6150,35394.1,5768542,123008.18,5904.68,99321.88,201.25,606.25,185,14
2023-01-07,2023-01,HV0003,Uber,Unknown,13,90.73,12657,309.28,17.77,248.08,2.5,0.0,1,0
2023-01-08,2023-01,HV0003,Uber,Bronx,46534,213993.19,39461422,785531.92,13552.83,639074.85,1495.0,7275.25,886,106
2023-01-08,2023-01,HV0003,Uber,Brooklyn,105571,462819.88,105338035,2011953.96,76537.54,1573760.3599999999,8937.5,35023.25,1978,469
2023-01-08,2023-01,HV0003,Uber,Manhattan,162951,817105.84,167238668,3718412.97,191030.46,2802741.92,31183.75,371383.75,1958,509
2023-01-08,2023-01,HV0003,Uber,Queens,79998,583680.9,91809969,2033033.35,90457.27,1610441.22,53788.75,35050.0,1705,187
2023-01-08,2023-01,HV0003,Uber,Staten Island,4790,27260.69,4309912,93970.17,4351.32,75613.67,297.5,443.75,149,1
2023-01-08,2023-01,HV0003,Uber,Unknown,15,116.11,15816,441.97999999999996,10.16,354.43,0.0,0.0,0,0
2023-01-09,2023-01,HV0003,Uber,Bronx,44432,188718.85,42337537,792329.3099999999,14431.18,636869.0900000001,1511.25,6570.0,870,110
2023-01-09,2023-01,HV0003,Uber,Brooklyn,84253,349412.31,89619844,1656742.5,57615.71,1294647.99,8946.25,23632.0,1545,279
2023-01-09,2023-01,HV0003,Uber,Manhattan,137277,661772.06,148686395,3173174.05,173980.07,2383117.6,25225.0,314827.0,1713,382
2023-01-09,2023-01,HV0003,Uber,Queens,73911,505845.9,91743109,1923068.38,90621.77,1515597.01,50895.0,30988.0,1670,151
2023-01-09,2023-01,HV0003,Uber,Staten Island,5029,25841.33,4602881,97715.18,4524.26,77436.56,348.75,423.0,162,6
2023-01-09,2023-01,HV0003,Uber,Unknown,9,42.74,8738,166.95,1.0,139.54,2.5,2.75,0,0
2023-01-10,2023-01,HV0003,Uber,Bronx,44283,184312.85,42395520,771875.05,14542.210000000001,626937.82,1295.0,6874.25,831,102
2023-01-10,2023-01,HV0003,Uber,Brooklyn,87884,351879.39,94387849,1699357.8399999999,57499.03,1338410.24,7150.0,27442.0,1664,295
2023-01-10,2023-01,HV0003,Uber,Manhattan,158337,750424.96,175847912,3767928.59,201649.05,2804431.75,19622.5,368413.0,1818,371
2023-01-10,2023-01,HV0003,Uber,Queens,71689,469154.57,86557931,1794470.02,83687.43000000001,1419457.47,45226.25,30201.25,1690,147
2023-01-10,2023-01,HV0003,Uber,Staten Island,5104,24711.0,4556521,94893.06,4373.55,74901.51000000001,272.5,430.5,164,9
2023-01-10,2023-01,HV0003,Uber,Unknown,14,66.22,13440,276.8,4.0,220.41,0.0,0.0,0,0
2023-01-11,2023-01,HV0003,Uber,Bronx,46082,192590.75,43896055,804869.17,14901.369999999999,656605.85,1328.75,7325.0,820,108
2023-01-11,2023-01,HV0003,Uber,Brooklyn,92898,372557.32,100262363,1802280.63,62486.41,1421154.98,7785.0,29369.75,1721,338
2023-01-11,2023-01,HV0003,Uber,Manhattan,176460,850163.77,198278389,4254360.62,239982.32,3174578.2199999997,23712.5,412178.0,1925,406
2023-01-11,2023-01,HV0003,Uber,Queens,74107,490998.23000000004,89394188,1852517.74,88317.89,1476077.54,45232.5,30440.0,1732,154
2023-01-11,2023-01,HV0003,Uber,Staten Island,5330,26317.87,4813472,100475.47,4837.0,80103.81,282.5,443.0,153,8
2023-01-11,2023-01,HV0003,Uber,Unknown,14,123.03999999999999,19287,400.9,32.55,330.77,3.75,2.75,1,0
2023-01-12,2023-01,HV0003,Uber,Bronx,50556,207423.29,50152255,893433.23,16926.579999999998,735687.75,1645.0,7743.25,981,113
2023-01-12,2023-01,HV0003,Uber,Brooklyn,105363,427638.6,119860604,2156382.23,76230.66,1706242.43,9838.75,33329.5,1951,448
2023-01-12,2023-01,HV0003,Uber,EWR,1,0.0,577,12.19,0.0,9.16,2.5,0.0,0,0
2023-01-12,2023-01,HV0003,Uber,Manhattan,201421,989188.26,242228225,5336390.36,290037.62,3971315.52,33870.0,469737.25,2140,558
2023-01-12,2023-01,HV0003,Uber,Queens,81403,533158.85,104625015,2081344.0,101777.41,1676767.94,52057.5,34768.0,1854,161
2023-01-12,2023-01,HV0003,Uber,Staten Island,5692,28680.15,5423312,110958.16,5339.45,89579.8,288.75,463.0,154,11
2023-01-12,2023-01,HV0003,Uber,Unknown,24,125.09,25234,528.01,15.959999999999999,438.91,5.0,2.75,1,0
2023-01-13,2023-01,HV0003,Uber,Bronx,58814,252626.72,59709390,1072668.25,18066.29,887984.63,2113.75,9069.5,1080,185
2023-01-13,2023-01,HV0003,Uber,Brooklyn,117868,490888.49,133060004,2358178.13,83133.5,1894227.15,11748.75,36906.0,2086,477
2023-01-13,2023-01,HV0003,Uber,Manhattan,201827,942484.27,234672478,4753735.61,251393.66,3642528.1799999997,35036.25,468289.75,2257,595
2023-01-13,2023-01,HV0003,Uber,Queens,93704,640507.87,121857872,2470541.93,124202.72,1993862.94,61990.0,43004.75,1963,178
2023-01-13,2023-01,HV0003,Uber,Staten Island,6683,34214.99,6286098,130707.28,5756.42,106136.58,303.75,556.5,194,5
2023-01-13,2023-01,HV0003,Uber,Unknown,27,133.11,24796,499.66,11.379999999999999,419.52,0.0,8.25,0,0
2023-01-14,2023-01,HV0003,Uber,Bronx,57102,258034.04,50950673,977424.27,16941.48,804917.3200000001,1476.25,9125.0,977,140
2023-01-14,2023-01,HV0003,Uber,Brooklyn,143205,608845.61,152329951,2789360.34,104492.05,2216871.55,7930.0,64563.75,2542,810
2023-01-14,2023-01,HV0003,Uber,Manhattan,245735,1041478.99,262785334,5316732.73,271837.89,4083488.06,20540.0,586260.75,2616,873
2023-01-14,2023-01,HV0003,Uber,Queens,94125,606567.68,107363598,2206382.62,100451.56,1795455.48,44920.0,39783.0,2074,263
2023-01-14,2023-01,HV0003,Uber,Staten Island,6038,34022.69,5525868,120846.41,6036.1,98120.26,202.5,652.25,171,9
2023-01-14,2023-01,HV0003,Uber,Unknown,22,162.59,23860,586.2,53.0,473.49,0.0,2.75,0,0
2023-01-15,2023-01,HV0003,Uber,Bronx,49347,223819.83000000002,42071566,830023.47,13595.39,682625.84,1302.5,7849.5,980,111
2023-01-15,2023-01,HV0003,Uber,Brooklyn,128398,546853.87,130697653,2487647.44,86701.71,1960207.3399999999,7887.5,54219.75,2288,608
2023-01-15,2023-01,HV0003,Uber,Manhattan,217808,963570.12,219734862,4748153.54,241934.56,3615522.45,26665.0,515103.25,2407,735
2023-01-15,2023-01,HV0003,Uber,Queens,87171,605256.33,98738156,2149934.37,91748.23,1726001.81,49922.5,36700.0,1747,199
2023-01-15,2023-01,HV0003,Uber,Staten Island,5226,29435.18,4667005,102794.96,4760.53,83363.21,265.0,456.0,153,10
2023-01-15,2023-01,HV0003,Uber,Unknown,20,134.76,20658,368.11,42.92,365.6,2.5,5.5,1,1
2023-01-16,2023-01,HV0003,Uber,Bronx,41729,190494.31,36275936,669379.41,12053.23,580981.15,1400.0,6868.0,878,106
2023-01-16,2023-01,HV0003,Uber,Brooklyn,93082,396948.70999999996,94321544,1666180.25,64525.88,1389614.26,9970.0,28167.5,1903,368
2023-01-16,2023-01,HV0003,Uber,EWR,1,1.52,325,12.19,0.0,9.15,2.5,0.0,0,0
2023-01-16,2023-01,HV0003,Uber,Manhattan,160056,751409.11,161617650,3414092.3,209311.66,2657037.7,35105.0,373342.0,1946,457
2023-01-16,2023-01,HV0003,Uber,Queens,80160,622123.71,99855393,2127411.94,107530.44,1777414.1,65307.5,39567.0,1620,130
2023-01-16,2023-01,HV0003,Uber,Staten Island,4388,24199.3,3936821,81906.25,3698.51,69537.91,245.0,367.25,154,9
2023-01-16,2023-01,HV0003,Uber,Unknown,12,97.61999999999999,14748,293.78999999999996,21.759999999999998,259.33,2.5,8.25,0,0
2023-01-17,2023-01,HV0003,Uber,Bronx,47470,199743.1,46309936,798205.63,15636.5,689720.13,1423.75,7494.5,922,101
2023-01-17,2023-01,HV0003,Uber,Brooklyn,91364,380370.83,100108369,1749357.46,67479.98,1440398.6099999999,9122.5,27968.75,1828,347
2023-01-17,2023-01,HV0003,Uber,EWR,1,0.01,190,125.97,0.0,96.74,2.5,0.0,0,0
2023-01-17,2023-01,HV0003,Uber,Manhattan,176653,857557.54,202997315,4268967.35,265050.65,3258645.9499999997,31513.75,411353.25,1875,424
2023-01-17,2023-01,HV0003,Uber,Queens,78150,541645.75,100085719,1989039.51,103083.36,1652000.71,55843.75,36097.25,1746,157
2023-01-17,2023-01,HV0003,Uber,Staten Island,5163,26222.76,4697097,94914.62,4520.6900000000005,79475.43,280.0,427.75,178,16
2023-01-17,2023-01,HV0003,Uber,Unknown,16,94.68,15826,327.31,11.83,267.99,5.0,5.5,0,0
2023-01-18,2023-01,HV0003,Uber,Bronx,48788,204132.72,47884491,811611.22,16117.47,702794.91,1461.25,7750.25,878,116
2023-01-18,2023-01,HV0003,Uber,Brooklyn,96458,399967.22000000003,107417714,1835770.7,68806.64,1517926.29,8746.25,31037.75,1920,355
2023-01-18,2023-01,HV0003,Uber,Manhattan,186743,950067.37,222731035,4701131.47,283734.37,3579886.25,31830.0,432362.0,2114,488
2023-01-18,2023-01,HV0003,Uber,Queens,77366,502241.39,97321821,1867206.94,90339.83,1558039.73,46517.5,31545.75,1862,141
2023-01-18,2023-01,HV0003,Uber,Staten Island,5479,27163.14,5001336,100092.55,4805.58,82769.45,260.0,417.0,179,10
2023-01-18,2023-01,HV0003,Uber,Unknown,23,140.27,25607,514.01,4.58,432.55,0.0,2.75,0,0
2023-01-19,2023-01,HV0003,Uber,Bronx,57600,233544.34,57153900,959970.43,18826.84,830825.52,1603.75,8837.5,1138,173
2023-01-19,2023-01,HV0003,Uber,Brooklyn,117887,460253.01,133007822,2223681.55,83473.48999999999,1849490.81,9802.5,35702.5,2489,636
2023-01-19,2023-01,HV0003,Uber,Manhattan,233270,1086270.39,287252967,6201047.2700000005,353147.1,4715023.86,33540.0,544125.75,2664,829
2023-01-19,2023-01,HV0003,Uber,Queens,87584,535280.24,109400296,2068899.5,100098.71,1725278.67,48063.75,33688.25,2049,235
2023-01-19,2023-01,HV0003,Uber,Staten Island,6190,31042.96,5849332,113811.49,5978.3,95670.94,312.5,490.0,248,22
2023-01-19,2023-01,HV0003,Uber,Unknown,26,140.88,26365,486.34000000000003,3.0,432.44000000000005,0.0,0.0,0,0
2023-01-20,2023-01,HV0003,Uber,Bronx,62850,271958.17,63632825,1068940.0,19646.76,938161.9,2072.5,9910.5,1166,215
2023-01-20,2023-01,HV0003,Uber,Brooklyn,123272,514989.53,141041861,2338177.85,88918.59,1980152.42,10110.0,40778.75,2473,644
2023-01-20,2023-01,HV0003,Uber,Manhattan,217765,997781.62,250801162,4872803.76,263406.56,3853152.02,31210.0,506591.25,2714,765
2023-01-20,2023-01,HV0003,Uber,Queens,96245,632263.4400000001,122959510,2335343.7,112344.48,1973122.76,56143.75,38757.5,2219,247
2023-01-20,2023-01,HV0003,Uber,Staten Island,6883,35927.64,6561917,127981.33,6189.58,109425.83,258.75,632.25,241,13
2023-01-20,2023-01,HV0003,Uber,Unknown,18,126.58000000000001,22078,432.27,0.0,360.28999999999996,0.0,2.75,0,0
2023-01-21,2023-01,HV0003,Uber,Bronx,61843,287235.94,56626481,1011808.29,18394.87,891391.84,1120.0,11478.0,1212,200
2023-01-21,2023-01,HV0003,Uber,Brooklyn,149405,658973.49,163147284,2849218.09,111483.97,2399320.11,6896.25,71454.5,2830,960
2023-01-21,2023-01,HV0003,Uber,Manhattan,254102,1113208.0,276332115,5505270.3100000005,262574.8,4414055.48,17796.25,601803.0,3142,1198
2023-01-21,2023-01,HV0003,Uber,Queens,95185,611326.99,107375024,2086965.79,89628.91,1791081.5999999999,37973.75,36814.5,2223,279
2023-01-21,2023-01,HV0003,Uber,Staten Island,6377,37017.06,5924306,121486.87,6448.86,104504.22,218.75,679.0,213,18
2023-01-21,2023-01,HV0003,Uber,Unknown,21,171.02,24220,478.99,3.1,420.84,0.0,5.5,0,0
2023-01-22,2023-01,HV0003,Uber,Bronx,52956,239820.38,45597264,843042.73,14439.09,736402.3,1240.0,8293.5,1121,166
2023-01-22,2023-01,HV0003,Uber,Brooklyn,131259,576372.47,136303487,2475152.29,92239.12,2058725.76,9988.75,51962.5,2834,940
2023-01-22,2023-01,HV0003,Uber,Manhattan,206907,982194.6599999999,216250658,4592920.77,223126.09,3631835.11,31340.0,479026.25,2931,1055
