pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2026-03-01,2026-03,HV0003,Uber,Bronx,69946,316598.9,62711906,1351628.41,18046.53,1194750.77,1563.75,8960.75,3301.5,1611,850
2026-03-01,2026-03,HV0003,Uber,Brooklyn,145100,637432.35,158625895,3455653.44,109570.24,2789714.86,13017.5,36484.0,19230.0,6262,4671
2026-03-01,2026-03,HV0003,Uber,Manhattan,163428,898313.7,189196704,5234136.3,231789.69999999998,3773850.81,36015.0,347150.5,182127.0,4556,3248
2026-03-01,2026-03,HV0003,Uber,Queens,111915,720476.05,130730105,3325263.03,130715.05,2610301.0,55133.75,37557.25,18631.5,3560,2003
2026-03-01,2026-03,HV0003,Uber,Staten Island,9701,53935.16,9523919,253261.46000000002,9841.61,209331.36000000002,485.0,578.25,268.5,33,10
2026-03-01,2026-03,HV0003,Uber,Unknown,17,100.1,15121,397.17,2.99,325.88,2.5,0.0,0.0,0,0
2026-03-02,2026-03,HV0003,Uber,Bronx,70596,289443.97,70667307,1450396.95,22569.31,1240838.02,1696.25,8382.75,3061.5,1500,743
2026-03-02,2026-03,HV0003,Uber,Brooklyn,121249,482218.7,134919700,2859444.21,96096.63,2265531.91,12797.5,26283.0,13834.5,3719,2243
2026-03-02,2026-03,HV0003,Uber,Manhattan,157933,783508.17,190763454,5215537.59,282179.27,3584749.7,30068.75,342590.75,174555.0,3074,1664
2026-03-02,2026-03,HV0003,Uber,Queens,107181,635935.21,135311738,3232627.06,148751.35,2519653.53,56070.0,37637.5,19212.0,2833,1396
2026-03-02,2026-03,HV0003,Uber,Staten Island,8947,44065.32,8554477,204602.82,8184.3,165359.9,550.0,489.5,232.5,52,8
2026-03-02,2026-03,HV0003,Uber,Unknown,21,217.32999999999998,22597,627.66,5.779999999999999,492.27,0.0,2.75,1.5,0,0
2026-03-03,2026-03,HV0003,Uber,Bronx,74626,289577.43,74164064,1474104.1199999999,23762.559999999998,1265920.02,1463.75,8547.75,3142.5,1360,606
2026-03-03,2026-03,HV0003,Uber,Brooklyn,133912,494167.32,145321556,3059428.72,101799.49,2395474.98,10855.0,28576.5,14946.0,3889,2348
2026-03-03,2026-03,HV0003,Uber,Manhattan,186692,901583.8,231329433,6952025.09,391788.46,4542182.4799999995,28152.5,412868.75,213277.5,3416,1672
2026-03-03,2026-03,HV0003,Uber,Queens,106999,578409.4400000001,127032137,3039590.09,139408.12,2340251.2,46731.25,33322.5,16455.0,2555,1085
2026-03-03,2026-03,HV0003,Uber,Staten Island,9192,42648.81,8607880,198941.73,8453.33,160748.07,397.5,540.5,246.0,42,5
2026-03-03,2026-03,HV0003,Uber,Unknown,23,118.03,23154,535.12,6.75,447.52,0.0,0.0,0.0,0,0
2026-03-04,2026-03,HV0003,Uber,Bronx,72171,288608.63,73683067,1424440.06,23822.63,1259338.86,1611.25,8411.25,3121.5,1316,630
2026-03-04,2026-03,HV0003,Uber,Brooklyn,121702,473662.73,135462295,2812291.44,95348.42,2235823.63,10457.5,29010.5,15352.5,3563,2140
2026-03-04,2026-03,HV0003,Uber,Manhattan,179431,963178.94,235507657,6810753.5600000005,388386.32,4538298.84,34527.5,388941.5,207181.5,3191,1622
2026-03-04,2026-03,HV0003,Uber,Queens,102118,593190.76,126896159,3075337.4299999997,143191.85,2355929.44,49827.5,32858.75,15810.0,2461,1006
2026-03-04,2026-03,HV0003,Uber,Staten Island,9170,44772.7,8874781,206885.2,8306.83,167952.29,500.0,559.0,270.0,46,6
2026-03-04,2026-03,HV0003,Uber,Unknown,28,184.45,35199,947.5200000000001,13.379999999999999,739.13,5.0,0.0,0.0,0,0
2026-03-05,2026-03,HV0003,Uber,Bronx,80480,317957.64,80934321,1631795.15,26173.809999999998,1395597.3,2078.75,9297.0,3447.0,1473,716
2026-03-05,2026-03,HV0003,Uber,Brooklyn,146927,552437.86,166604145,3514116.78,118521.06,2759982.81,12786.25,33674.0,17838.0,4713,3042
