pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2026-01-01,2026-01,HV0003,Uber,Bronx,73101,324073.81,61795779,1512554.32,21756.31,1329833.55,1715.0,7401.0,2832.0,1851,920
2026-01-01,2026-01,HV0003,Uber,Brooklyn,163765,707135.38,168483396,4317779.95,153820.53,3536677.1,8840.0,41910.75,21820.5,6336,4554
2026-01-01,2026-01,HV0003,Uber,Manhattan,159669,834100.48,179489234,5638597.87,239163.19999999998,4096099.06,20415.0,330531.25,179778.0,4370,2980
2026-01-01,2026-01,HV0003,Uber,Queens,117336,700330.13,121778495,3215815.29,123714.54000000001,2549132.7,42518.75,28530.0,14188.5,3817,2137
2026-01-01,2026-01,HV0003,Uber,Staten Island,7723,44696.19,7081308,204584.46,8648.01,170502.29,345.0,527.75,243.0,62,15
2026-01-01,2026-01,HV0003,Uber,Unknown,28,255.28,48476,1341.56,23.39,936.95,10.0,5.5,3.0,0,0
2026-01-02,2026-01,HV0003,Uber,Bronx,65602,275564.77,56908645,1191628.08,19754.23,1006784.64,1980.0,8174.75,3114.0,1254,583
2026-01-02,2026-01,HV0003,Uber,Brooklyn,119968,465804.06,117777241,2457012.88,83098.86,1954542.23,9523.75,26041.75,13500.0,3446,2074
2026-01-02,2026-01,HV0003,Uber,Manhattan,136649,622083.37,146694883,3948927.9299999997,200651.37,2668140.44,22956.25,296696.75,151707.0,2586,1303
2026-01-02,2026-01,HV0003,Uber,Queens,100211,601428.01,109088158,2689109.05,114194.45,2098760.5100000002,48917.5,27600.5,13254.0,2629,1145
2026-01-02,2026-01,HV0003,Uber,Staten Island,8021,40310.1,7035068,169173.76,6589.24,135697.79,415.0,449.75,222.0,36,5
2026-01-02,2026-01,HV0003,Uber,Unknown,19,70.64,13284,331.95,0.0,253.82,0.0,0.0,0.0,0,0
2026-01-03,2026-01,HV0003,Uber,Bronx,65888,283968.55,57504923,1138882.89,18559.14,1021090.97,1978.75,8736.0,3267.0,1258,589
2026-01-03,2026-01,HV0003,Uber,Brooklyn,135226,540994.45,135211772,2667494.58,95029.15,2235830.34,9255.0,33023.75,17217.0,4143,2705
2026-01-03,2026-01,HV0003,Uber,Manhattan,160841,757545.62,176501700,4483397.31,226817.01,3183455.63,23485.0,348916.5,182125.5,3418,2096
2026-01-03,2026-01,HV0003,Uber,Queens,107619,678121.2,119955714,2846562.87,122567.02,2325613.06,55920.0,32260.25,15343.5,2975,1404
2026-01-03,2026-01,HV0003,Uber,Staten Island,7737,41223.340000000004,6917194,161597.87,6982.25,134447.94,351.25,575.0,270.0,63,4
