pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2025-01-01,2025-01,HV0003,Uber,Bronx,70598,348061.18,62289398,1453908.04,19447.9,1374990.87,1727.5,7989.25,0.0,5458,3322
2025-01-01,2025-01,HV0003,Uber,Brooklyn,147874,716159.59,156833874,3916742.2600000002,129011.84,3446236.08,7918.75,42953.5,0.0,12178,8491
2025-01-01,2025-01,HV0003,Uber,Manhattan,165088,924710.3,183913395,5505678.2299999995,221433.11000000002,4316374.19,21816.25,336676.5,0.0,8607,6049
2025-01-01,2025-01,HV0003,Uber,Queens,114721,790438.85,125976727,3242059.2,119993.79,2742377.95,47373.75,31801.75,0.0,8836,5210
2025-01-01,2025-01,HV0003,Uber,Staten Island,7515,49951.49,7372646,198481.62,7778.01,182938.55,288.75,602.75,0.0,857,243
2025-01-01,2025-01,HV0003,Uber,Unknown,26,204.29999999999998,29295,694.77,14.170000000000002,649.35,2.5,2.75,0.0,3,1
2025-01-02,2025-01,HV0003,Uber,Bronx,62297,275485.3,56972282,1133678.47,17353.57,1006416.01,1978.75,8364.75,0.0,4074,2148
2025-01-02,2025-01,HV0003,Uber,Brooklyn,110253,454481.51,115088705,2241571.7,67842.34,1879024.6600000001,9177.5,23392.25,0.0,7660,4465
2025-01-02,2025-01,HV0003,Uber,Manhattan,129746,643518.77,144988364,3668023.67,183373.28,2604876.91,23016.25,276679.0,0.0,5485,3350
2025-01-02,2025-01,HV0003,Uber,Queens,94834,621696.38,111678692,2628799.54,107725.62,2113219.46,52710.0,28420.0,0.0,6212,2842
2025-01-02,2025-01,HV0003,Uber,Staten Island,7497,38974.04,6846155,151177.87,6024.25,132478.06,400.0,465.5,0.0,673,134
2025-01-02,2025-01,HV0003,Uber,Unknown,16,97.06,15530,334.08,2.0,306.82,0.0,0.0,0.0,1,0
2025-01-03,2025-01,HV0003,Uber,Bronx,71031,314813.06,67441387,1293235.13,19783.06,1152167.13,2050.0,9942.75,0.0,4634,2632
2025-01-03,2025-01,HV0003,Uber,Brooklyn,122436,505653.55,131242713,2488067.65,75692.21,2096970.94,8241.25,28463.0,0.0,8698,5314
2025-01-03,2025-01,HV0003,Uber,Manhattan,156539,737865.01,171640569,4135020.79,204126.49,3002123.17,18752.5,339209.5,0.0,6869,4507
2025-01-03,2025-01,HV0003,Uber,Queens,103675,648622.59,123309500,2768507.95,109939.93,2259435.28,51465.0,29205.0,0.0,6970,3468
