pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2019-12-01,2019-12,HV0003,Uber,Bronx,65434,250148.56,51250039,754635.9500000001,9432.24,730168.98,0.0,5527.75,8060,4125
2019-12-01,2019-12,HV0003,Uber,Brooklyn,128866,483114.7,114582315,1788085.34,44537.520000000004,1534613.2,0.0,29065.0,17910,11570
2019-12-01,2019-12,HV0003,Uber,Manhattan,181757,810413.1900000001,184962419,3393334.85,124902.12999999999,2676677.33,0.0,389780.0,14601,10600
2019-12-01,2019-12,HV0003,Uber,Queens,101113,684248.76,112838099,2164640.26,71843.38,1804071.77,0.0,43127.25,13498,7588
2019-12-01,2019-12,HV0003,Uber,Staten Island,5598,27977.55,4630391,83790.49,2860.6099999999997,72823.59,0.0,279.0,1330,542
2019-12-01,2019-12,HV0003,Uber,Unknown,13,72.42,11128,209.0,4.0,195.23,0.0,2.75,2,0
2019-12-02,2019-12,HV0003,Uber,Bronx,64783,219638.35,53892111,690316.02,9790.369999999999,724186.09,0.0,4234.5,7949,4048
2019-12-02,2019-12,HV0003,Uber,Brooklyn,121972,415851.95,117165506,1600781.4,41672.88,1491460.87,0.0,23797.75,18442,11229
2019-12-02,2019-12,HV0003,Uber,Manhattan,189424,795436.76,205166855,3553931.2199999997,145980.49,2855247.16,0.0,419112.0,14641,9762
2019-12-02,2019-12,HV0003,Uber,Queens,100825,638464.16,123337312,2153138.9,83611.45,1863734.99,0.0,41165.5,13024,6673
2019-12-02,2019-12,HV0003,Uber,Staten Island,6290,26580.78,5395594,82269.38,3170.82,77570.98,0.0,183.0,1421,491
2019-12-02,2019-12,HV0003,Uber,Unknown,17,81.96,13612,284.76,4.0,245.77,0.0,2.75,1,0
2019-12-03,2019-12,HV0003,Uber,Bronx,65380,222508.66999999998,59408458,715787.47,10593.84,769757.37,0.0,4429.25,7917,3900
2019-12-03,2019-12,HV0003,Uber,Brooklyn,122869,434167.79,123015007,1688792.5799999998,44994.49,1572922.71,0.0,28318.0,17633,10736
2019-12-03,2019-12,HV0003,Uber,Manhattan,200436,943768.38,246256376,4379351.59,187199.49,3558634.57,0.0,441604.75,14282,9935
2019-12-03,2019-12,HV0003,Uber,Queens,96968,605978.94,124666287,2059416.3,86141.32,1815374.02,0.0,39751.5,12052,5883
2019-12-03,2019-12,HV0003,Uber,Staten Island,6505,28864.77,5757890,89371.66,3418.0,83419.87,0.0,277.75,1436,481
2019-12-03,2019-12,HV0003,Uber,Unknown,23,78.73,16069,273.69000000000005,6.0,259.46,0.0,0.0,5,0
2019-12-04,2019-12,HV0003,Uber,Bronx,64295,222076.25,58445366,706193.79,10331.33,749225.51,0.0,4721.5,7389,3609
2019-12-04,2019-12,HV0003,Uber,Brooklyn,124255,448764.77999999997,127412471,1739790.83,45847.21,1614806.1700000002,0.0,30630.0,16582,9787
2019-12-04,2019-12,HV0003,Uber,EWR,1,0.08,127,102.58,0.0,75.28,0.0,0.0,0,0
2019-12-04,2019-12,HV0003,Uber,Manhattan,208636,1030118.74,271714975,4731542.4,208792.23,3870538.41,0.0,457775.0,14550,9906
2019-12-04,2019-12,HV0003,Uber,Queens,92745,554839.54,118440695,1908415.76,80795.44,1659760.83,0.0,36839.25,11756,5414
2019-12-04,2019-12,HV0003,Uber,Staten Island,6522,28209.23,5584221,86216.37999999999,3220.7799999999997,80026.99,0.0,279.25,1388,470
