pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2024-07-01,2024-07,HV0003,Uber,402308,2151436.81,478238627,10343803.26,421309.94,8118131.72,112763.75,379869.75,20138,6750
2024-07-02,2024-07,HV0003,Uber,403633,2034894.94,476457614,10175146.36,408832.99,7858560.279999999,93598.75,386360.75,20078,6639
2024-07-03,2024-07,HV0003,Uber,424520,2143591.46,502761844,10698822.57,402973.75,8284456.0200000005,103287.5,373652.75,21498,7424
2024-07-04,2024-07,HV0003,Uber,410561,2193177.76,439094386,10312852.1,371047.93,8049159.33,82512.5,337501.75,20926,7904
2024-07-05,2024-07,HV0003,Uber,446050,2191562.07,465775244,10404101.91,396133.44,8069759.22,72498.75,388415.0,23541,8650
2024-07-06,2024-07,HV0003,Uber,454582,2346256.87,492608936,10905960.74,434602.99,8453977.68,77540.0,430070.0,22706,8731
2024-07-07,2024-07,HV0003,Uber,419682,2330525.32,464961808,10724094.92,407112.42,8198702.75,111125.0,396114.5,21109,8275
2024-07-08,2024-07,HV0003,Uber,404777,2075923.4100000001,468001754,10470830.91,459691.44999999995,7850642.22,110746.25,399386.25,19116,6122
2024-07-09,2024-07,HV0003,Uber,431840,2139279.36,517256585,11505965.4,531013.95,8535894.03,96068.75,465439.75,19693,6614
2024-07-10,2024-07,HV0003,Uber,461475,2292580.9699999997,555704209,12406698.17,578414.86,9225823.6,96503.75,515943.75,20663,7662
2024-07-11,2024-07,HV0003,Uber,479288,2478739.64,617494468,13166839.34,595605.38,10054434.91,119311.25,507675.25,21994,8797
2024-07-12,2024-07,HV0003,Uber,514461,2572419.46,614110656,12721818.53,535913.84,10008285.9,108146.25,526592.5,24667,10701
2024-07-13,2024-07,HV0003,Uber,564178,2846303.74,651851188,13171437.9,529935.62,10729880.63,85597.5,591398.5,28285,13710
2024-07-14,2024-07,HV0003,Uber,504839,2778103.89,577875478,11896616.15,467291.27,10027951.52,115478.75,496701.5,25460,12231
2024-07-15,2024-07,HV0003,Uber,446226,2317321.3,524552671,11488500.8,511777.96,8908427.11,117685.0,449466.25,21049,8274
2024-07-16,2024-07,HV0003,Uber,474187,2362375.33,576739397,12786439.040000001,601456.85,9663417.39,98237.5,519287.25,22956,9916
2024-07-17,2024-07,HV0003,Uber,499778,2447192.4,598901699,13850128.92,658392.49,10464120.79,98047.5,553250.0,23725,10212
2024-07-18,2024-07,HV0003,Uber,494418,2644035.7,635666178,13932725.07,647648.8200000001,10539946.22,132270.0,524841.25,22060,9449
2024-07-19,2024-07,HV0003,Uber,514117,2676863.26,635329125,13273355.98,559376.56,10415657.41,111760.0,509873.25,23655,11141
2024-07-20,2024-07,HV0003,Uber,554222,2937037.78,662757651,13740545.44,541878.61,11030368.92,87948.75,557967.75,26522,13504
2024-07-21,2024-07,HV0003,Uber,482298,2703362.51,552073253,12282396.13,468101.02999999997,9616606.39,108627.5,473076.75,23897,12196
2024-07-22,2024-07,HV0003,Uber,406320,2140281.42,467113259,10438994.58,461110.99,7947769.8,110030.0,406498.25,18584,7485
2024-07-23,2024-07,HV0003,Uber,432427,2210935.12,520257462,11605393.11,540550.1,8715891.72,105402.5,471545.75,18406,7410
2024-07-24,2024-07,HV0003,Uber,452205,2331849.24,543231768,12123754.75,564054.93,9029468.94,105456.25,493264.25,19703,8418
2024-07-25,2024-07,HV0003,Uber,461000,2425620.48,573751154,12794692.17,577766.2,9528083.5,117375.0,498971.0,19559,8290
2024-07-26,2024-07,HV0003,Uber,507210,2585565.31,619468951,13182979.01,544530.0,10146131.38,111120.0,520224.0,22242,9961
2024-07-27,2024-07,HV0003,Uber,540739,2770276.55,638462032,13487286.1,515646.27,10608790.2,79003.75,558574.25,25231,12365
2024-07-28,2024-07,HV0003,Uber,469449,2546632.14,535543251,11903496.33,431830.56,9238027.69,107040.0,469657.5,23085,11154
2024-07-29,2024-07,HV0003,Uber,390339,2008727.48,440849731,10027394.77,431560.97000000003,7500005.61,103228.75,399179.25,17613,6848
2024-07-30,2024-07,HV0003,Uber,425043,2100979.39,497684136,11068306.81,497137.14,8221191.26,89290.0,464386.0,18917,7666
2024-07-31,2024-07,HV0003,Uber,456592,2288602.96,550152903,12205096.04,543959.86,9074866.45,100971.25,491876.25,20146,8428
