pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2024-03-01,2024-03,HV0003,Uber,547316,2654573.87,658091651,14038964.64,581623.57,10666827.56,107063.75,555189.25,27338,9827
2024-03-02,2024-03,HV0003,Uber,617962,2811874.23,688629210,14814539.06,605960.99,11338328.77,71052.5,702416.75,31584,12684
2024-03-03,2024-03,HV0003,Uber,470219,2509699.4699999997,541841564,12058642.99,457189.37,9277574.57,104463.75,470717.0,24928,9654
2024-03-04,2024-03,HV0003,Uber,418896,2115042.91,477090850,10813124.78,474261.66000000003,8044660.87,101142.5,415915.0,21180,6174
2024-03-05,2024-03,HV0003,Uber,480204,2189465.91,573780293,12803988.71,583878.92,9391374.91,85075.0,523263.5,23105,7146
2024-03-06,2024-03,HV0003,Uber,509855,2344951.6,611612696,14242852.69,660413.8099999999,10337426.0,96735.0,530656.5,25964,9007
2024-03-07,2024-03,HV0003,Uber,481283,2434885.52,585901508,13344506.700000001,603731.33,9707286.72,109296.25,508793.25,22881,7210
2024-03-08,2024-03,HV0003,Uber,521463,2526452.48,643278669,13878931.45,573856.62,10355671.370000001,105121.25,518349.0,25303,8462
2024-03-09,2024-03,HV0003,Uber,617385,2780763.38,699662164,15511533.82,634506.16,11717454.39,68932.5,679994.5,32409,12987
2024-03-10,2024-03,HV0003,Uber,470426,2452521.95,515463683,12008593.63,468237.72,9139803.76,103718.75,467615.5,25325,9445
2024-03-11,2024-03,HV0003,Uber,425554,2098727.92,483039228,11004447.0,472092.1,8187346.51,99372.5,412608.75,21005,6105
2024-03-12,2024-03,HV0003,Uber,425038,2092034.32,519405633,11559696.44,531968.24,8520556.39,87652.5,429988.5,20555,6221
2024-03-13,2024-03,HV0003,Uber,460292,2275044.2,551403644,12544397.3,586360.34,9127942.33,95146.25,478131.5,22471,7036
2024-03-14,2024-03,HV0003,Uber,504081,2581420.98,644607153,14264416.48,647345.34,10651412.95,113965.0,513459.75,25305,8986
2024-03-15,2024-03,HV0003,Uber,555601,2766712.33,680270601,14563371.0,616914.1,11093397.22,114697.5,554364.0,28287,10302
2024-03-16,2024-03,HV0003,Uber,582720,2957168.55,688595609,14950905.76,597329.84,11619316.85,83427.5,607024.0,30230,12404
2024-03-17,2024-03,HV0003,Uber,482444,2674405.09,556031736,12817306.83,499236.51,9765825.28,114787.5,460390.25,26851,10797
2024-03-18,2024-03,HV0003,Uber,427374,2189644.22,493893102,11174094.14,493346.26,8324176.17,112955.0,408365.0,22446,6955
2024-03-19,2024-03,HV0003,Uber,446382,2162874.94,519709022,11752063.97,538095.51,8600317.68,90243.75,453364.25,22450,6764
2024-03-20,2024-03,HV0003,Uber,473905,2329962.35,562609878,12671742.39,590193.1799999999,9294650.87,101265.0,481641.25,24120,7972
2024-03-21,2024-03,HV0003,Uber,506431,2540876.73,617042321,13761032.83,632395.25,10161628.94,114453.75,516148.5,26190,9158
2024-03-22,2024-03,HV0003,Uber,557530,2690382.4,663134251,14091606.83,600096.81,10752142.95,107727.5,546756.75,28771,10564
2024-03-23,2024-03,HV0003,Uber,651413,2928091.63,691959553,14825016.22,644066.69,11452332.57,74091.25,754049.25,36303,15950
2024-03-24,2024-03,HV0003,Uber,511206,2653012.03,570269519,12612536.64,501762.41000000003,9862739.48,109965.0,511404.0,28539,11464
2024-03-25,2024-03,HV0003,Uber,432546,2205283.04,505957852,10876626.46,480639.32999999996,8450522.620000001,110053.75,415691.5,22633,7135
2024-03-26,2024-03,HV0003,Uber,454953,2252611.11,533928684,11502988.799999999,529744.9,8820048.07,92967.5,454664.75,23585,7892
2024-03-27,2024-03,HV0003,Uber,489733,2404184.32,590004995,12538836.05,582120.4299999999,9655049.54,99897.5,503031.5,25317,8691
2024-03-28,2024-03,HV0003,Uber,528180,2575158.63,686465313,14080358.959999999,625091.79,11006052.54,114821.25,508195.0,28634,10425
2024-03-29,2024-03,HV0003,Uber,534761,2641458.15,628641445,13092470.64,551887.96,10395669.66,106118.75,530231.25,27742,10125
2024-03-30,2024-03,HV0003,Uber,550807,2728201.16,621276140,12944815.31,514302.86,10411075.950000001,71925.0,564385.5,29161,11759
2024-03-31,2024-03,HV0003,Uber,486038,2643785.77,548961941,11872204.879999999,454869.43,9663889.02,107900.0,461827.0,25915,10138
