pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2024-01-01,2024-01,HV0003,Uber,439915,2478906.62,473452610,13091272.89,452593.02,9879683.69,86663.75,405331.5,22932,7431
2024-01-02,2024-01,HV0003,Uber,336815,1750758.5,370982499,8511484.83,338242.81,6339068.49,92998.75,312980.75,17143,3636
2024-01-03,2024-01,HV0003,Uber,350165,1728949.7,385776046,8636594.05,354843.77,6431925.19,80707.5,332280.25,17965,3685
2024-01-04,2024-01,HV0003,Uber,404038,1946380.41,446948278,9834525.530000001,403305.99,7346181.82,78758.75,409113.0,21544,5448
2024-01-05,2024-01,HV0003,Uber,472653,2204585.85,523502553,11057634.370000001,430826.2,8482812.47,80022.5,479417.75,24564,6688
2024-01-06,2024-01,HV0003,Uber,516227,2387478.2,531197176,11349339.24,461968.6,8855434.42,74152.5,593323.25,26786,8172
2024-01-07,2024-01,HV0003,Uber,393834,2057487.22,389726219,8998793.120000001,349145.39,6967166.32,101616.25,414175.0,21194,5616
2024-01-08,2024-01,HV0003,Uber,379625,1914359.82,424712680,9151971.51,381655.12,6985505.65,91423.75,371569.75,19706,4386
2024-01-09,2024-01,HV0003,Uber,454908,1971513.81,496865169,10620947.66,458453.68,7974765.09,69357.5,482655.5,25221,6763
2024-01-10,2024-01,HV0003,Uber,414462,2058238.3900000001,462705587,10377233.98,460828.75,7638327.8100000005,88495.0,441652.75,21215,5047
2024-01-11,2024-01,HV0003,Uber,442683,2279226.79,529787500,11697200.12,516478.71,8668372.82,101838.75,481934.75,21832,5722
2024-01-12,2024-01,HV0003,Uber,491119,2447053.36,579682180,12360000.33,512387.33999999997,9376940.66,103371.25,513870.25,24155,7278
2024-01-13,2024-01,HV0003,Uber,546297,2617653.87,589861660,12612943.76,528492.95,9766248.95,77415.0,628013.5,26936,9842
2024-01-14,2024-01,HV0003,Uber,500538,2475556.03,515221147,11306315.72,464562.68,8743757.36,88535.0,568113.5,25161,9161
2024-01-15,2024-01,HV0003,Uber,410569,2076093.21,434527177,9664262.13,429922.79,7397006.58,103740.0,452944.75,20610,6158
2024-01-16,2024-01,HV0003,Uber,454813,2148843.33,510330015,11688609.66,540830.6,8693082.69,96741.25,501409.0,21850,6077
2024-01-17,2024-01,HV0003,Uber,501766,2393643.59,586931636,13113607.209999999,593465.4400000001,9743082.84,101503.75,552503.5,23689,7231
2024-01-18,2024-01,HV0003,Uber,506372,2479700.55,604220428,13103697.82,579246.17,9773551.31,99463.75,565199.0,24722,8075
2024-01-19,2024-01,HV0003,Uber,549413,2554969.15,596039122,12612816.53,504769.29,9612731.76,93932.5,596205.25,27779,9246
2024-01-20,2024-01,HV0003,Uber,611158,2816031.16,646104141,13381708.23,531668.85,10690617.28,69543.75,725086.5,31253,12225
2024-01-21,2024-01,HV0003,Uber,504368,2591394.2,524532002,11468616.0,436333.46,9006897.41,103367.5,554202.25,28068,10970
2024-01-22,2024-01,HV0003,Uber,427056,2122568.96,485041971,10320199.89,442205.30000000005,7971073.4,97823.75,439729.5,21878,6518
2024-01-23,2024-01,HV0003,Uber,444610,2154867.88,520378284,11017776.59,498502.76,8364555.3,78103.75,497919.25,21804,6783
2024-01-24,2024-01,HV0003,Uber,468022,2272224.76,560423007,11874637.01,545799.35,8964153.02,86633.75,530809.0,22779,7057
2024-01-25,2024-01,HV0003,Uber,486093,2447930.75,591261327,12817613.870000001,574718.5599999999,9511652.57,101770.0,550611.0,23818,7742
2024-01-26,2024-01,HV0003,Uber,535613,2594481.06,634949502,13066456.21,539238.6,10028328.76,101550.0,582450.75,26608,8738
2024-01-27,2024-01,HV0003,Uber,565308,2729369.34,648307707,13060877.25,516710.01,10459577.17,62531.25,658687.5,28784,11445
2024-01-28,2024-01,HV0003,Uber,520811,2622767.5,553646532,12037939.370000001,461553.16,9356925.08,101513.75,580742.75,29560,11987
2024-01-29,2024-01,HV0003,Uber,412452,2071614.03,469798898,10036678.05,431580.04000000004,7664528.5,96111.25,420847.5,20917,5971
2024-01-30,2024-01,HV0003,Uber,437137,2102345.09,506701123,10927397.959999999,493786.56,8219997.97,74577.5,480151.75,21313,6225
2024-01-31,2024-01,HV0003,Uber,453915,2213614.35,527449776,11483694.98,519706.85,8521566.48,83716.25,495300.25,22024,6268
