pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2023-06-01,2023-06,HV0003,Uber,455478,2287306.18,599485266,12288211.99,575465.58,9585160.23,98855.0,509204.0,13619,4500
2023-06-02,2023-06,HV0003,Uber,515208,2430580.08,639498989,13081092.95,567275.29,10352030.77,97328.75,566246.25,15775,5704
2023-06-03,2023-06,HV0003,Uber,534617,2635018.7399999998,613484323,13169765.84,544276.78,10156584.14,76468.75,612018.5,16844,6836
2023-06-04,2023-06,HV0003,Uber,451910,2432227.1,521931403,11770757.709999999,477702.11,9116285.19,107792.5,484264.0,14932,5951
2023-06-05,2023-06,HV0003,Uber,381645,1953373.0,447630024,9907397.0,476268.94,7437572.33,104522.5,426517.5,11143,3146
2023-06-06,2023-06,HV0003,Uber,417118,2034042.8499999999,503367210,11157824.129999999,564486.78,8239999.74,87045.0,505915.0,11161,3233
2023-06-07,2023-06,HV0003,Uber,462786,2254015.77,565352915,12644364.41,636473.78,9478798.0,97211.25,576760.25,11819,3733
2023-06-08,2023-06,HV0003,Uber,454553,2332042.56,528070619,11956742.74,601807.33,8873851.39,111963.75,578224.75,12002,3539
2023-06-09,2023-06,HV0003,Uber,503081,2494640.18,602904674,12763887.93,586729.73,9847815.14,105523.75,580283.5,13362,4316
2023-06-10,2023-06,HV0003,Uber,530358,2652888.68,623216672,13412068.49,551208.22,10561832.02,72318.75,599034.5,13950,5205
2023-06-11,2023-06,HV0003,Uber,461373,2523924.83,535013960,12210756.05,492979.55,9635912.01,107111.25,490680.25,12629,4818
2023-06-12,2023-06,HV0003,Uber,423642,2101624.22,493079523,10783728.32,522839.62,8312561.38,103763.75,488213.5,11185,3374
2023-06-13,2023-06,HV0003,Uber,423587,2125660.7,520151975,11294553.71,565953.85,8571997.209999999,94978.75,501531.0,10845,3128
2023-06-14,2023-06,HV0003,Uber,460772,2290016.4899999998,568602913,12323600.219999999,616478.38,9336465.26,97388.75,550507.0,11756,3500
2023-06-15,2023-06,HV0003,Uber,478008,2496804.47,621398366,13362660.02,653806.38,10315881.69,116206.25,558908.25,12090,3717
2023-06-16,2023-06,HV0003,Uber,514802,2536638.89,646661067,13679981.870000001,610535.72,10787860.55,111630.0,559909.25,13535,4345
2023-06-17,2023-06,HV0003,Uber,506496,2569986.5100000002,591870384,12591781.28,520497.56,9785668.49,77600.0,552181.5,13846,4805
2023-06-18,2023-06,HV0003,Uber,448067,2396393.17,505409554,11396755.73,436880.58,8933395.93,91586.25,449944.0,12780,4799
2023-06-19,2023-06,HV0003,Uber,362994,1940278.8699999999,412978287,9002984.22,407326.03,7001374.35,104330.0,373056.25,10421,2940
2023-06-20,2023-06,HV0003,Uber,397366,2023761.47,498109025,10481249.28,516371.69,8020619.76,93981.25,446361.25,10422,2830
2023-06-21,2023-06,HV0003,Uber,439697,2239726.11,558105498,11688843.07,582156.88,9027434.06,95013.75,504237.25,11793,3240
2023-06-22,2023-06,HV0003,Uber,480476,2485233.67,605427560,12924909.22,627200.73,9977933.31,109395.0,561444.5,12737,3929
2023-06-23,2023-06,HV0003,Uber,525822,2620894.57,645129117,13315752.75,602608.74,10386185.36,108243.75,583205.25,14377,4734
2023-06-24,2023-06,HV0003,Uber,537730,2715095.2,625200607,13296362.32,555903.16,10490888.02,78026.25,622814.25,15235,5639
2023-06-25,2023-06,HV0003,Uber,470248,2612395.48,551690723,12447035.83,508585.97,9864330.39,102713.75,503566.5,14018,5440
2023-06-26,2023-06,HV0003,Uber,423554,2225941.43,509657234,10773669.73,536544.82,8522035.1,109875.0,472365.25,11917,3643
2023-06-27,2023-06,HV0003,Uber,429178,2225475.55,524631906,11439140.2,590665.15,8853169.65,99765.0,489777.5,11584,3308
2023-06-28,2023-06,HV0003,Uber,425013,2292247.13,515081252,12199422.88,630383.67,9438814.18,107867.5,496314.75,11366,3469
2023-06-29,2023-06,HV0003,Uber,430414,2347477.16,569037985,12364158.89,613560.29,9658289.51,114722.5,475910.0,11861,3577
2023-06-30,2023-06,HV0003,Uber,466000,2449288.04,565569512,11935967.14,545521.14,9358437.01,114747.5,485333.25,14178,4653
