pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2026-03-01,2026-03,HV0003,Uber,500107,2626856.2600000002,550803650,13620339.81,499966.12,10578274.68,106217.5,430730.75,223558.5,16022,10782
2026-03-02,2026-03,HV0003,Uber,465927,2235388.7,540239273,12963236.29,557786.64,9776625.33,101182.5,415386.25,210897.0,11178,6054
2026-03-03,2026-03,HV0003,Uber,511444,2306504.83,586478224,14724624.87,665218.71,10705024.27,87600.0,483856.0,248067.0,11262,5716
2026-03-04,2026-03,HV0003,Uber,484620,2363598.21,580459158,14330655.21,659069.4299999999,10558082.19,96928.75,459781.0,241735.5,10577,5404
2026-03-05,2026-03,HV0003,Uber,570256,2689057.19,694555235,17845801.15,792894.67,12954590.21,112607.5,549640.5,286609.5,13386,7491
2026-03-06,2026-03,HV0003,Uber,553735,2614439.97,668310576,15452545.76,622457.46,11762216.42,106921.25,511920.25,262770.0,13773,8137
2026-03-07,2026-03,HV0003,Uber,577809,2729284.91,639737058,14696379.26,557478.4,11612482.44,70161.25,558758.0,289746.0,15247,10054
2026-03-08,2026-03,HV0003,Uber,471521,2475901.34,517788701,13008261.94,489682.93,9937838.08,104616.25,422491.75,220191.0,12924,8095
2026-03-09,2026-03,HV0003,Uber,437375,2177522.54,523923987,12599937.18,554529.94,9452276.45,105552.5,391157.25,200994.0,9215,4587
2026-03-10,2026-03,HV0003,Uber,452820,2226670.84,562769684,13920493.41,633558.79,10206544.59,88001.25,422293.25,221667.0,8951,4210
2026-03-11,2026-03,HV0003,Uber,483357,2381055.77,586845429,14474498.56,674874.27,10638686.81,100920.0,463457.5,242650.5,9161,4537
2026-03-12,2026-03,HV0003,Uber,552550,2675869.94,690966069,17461583.37,794104.95,12804694.2,124638.75,522144.5,275031.0,10884,5431
2026-03-13,2026-03,HV0003,Uber,561793,2689915.8,678505618,15976450.42,674289.29,12196492.94,119945.0,506986.25,261766.5,10822,5988
2026-03-14,2026-03,HV0003,Uber,596539,2882312.0,674802161,15555970.72,616933.47,12288745.69,85011.5,583464.5,302871.0,11595,7026
2026-03-15,2026-03,HV0003,Uber,498764,2647593.14,547838114,13554752.75,528276.02,10551978.59,154036.75,441721.25,229738.5,11214,6872
2026-03-16,2026-03,HV0003,Uber,490361,2281959.62,546518329,13126415.69,562561.64,10137211.58,139991.25,436700.0,222010.5,8655,3995
2026-03-17,2026-03,HV0003,Uber,478093,2262353.49,557557046,13646625.51,616874.11,10079906.76,135672.25,427608.75,219804.0,8225,3638
2026-03-18,2026-03,HV0003,Uber,525881,2545293.99,625598198,15480448.05,714864.83,11506830.540000001,154976.5,502176.75,261289.5,8668,3877
2026-03-19,2026-03,HV0003,Uber,534754,2676708.55,654122216,16179889.14,728383.58,12073747.24,168831.25,489705.0,257607.0,8860,4197
2026-03-20,2026-03,HV0003,Uber,538738,2680057.93,623939063,15743491.18,643942.42,12026964.3,152860.75,491408.0,255337.5,9748,5021
2026-03-21,2026-03,HV0003,Uber,581992,2938090.59,663323705,15397847.959999999,599355.53,12506115.68,119280.0,547268.5,286677.0,12617,7780
2026-03-22,2026-03,HV0003,Uber,492878,2686504.57,550713046,13566417.7,524672.33,10684446.64,166699.75,426647.5,223600.5,11267,6851
2026-03-23,2026-03,HV0003,Uber,499180,2428308.67,577046382,13142257.17,563911.59,10491239.06,143762.5,448734.5,234387.0,9515,4619
2026-03-24,2026-03,HV0003,Uber,465919,2267367.11,541789923,13258797.0,603609.41,9857741.7,140383.25,431406.5,228387.0,9540,4666
2026-03-25,2026-03,HV0003,Uber,499167,2481451.4,588059892,14224577.19,651737.8200000001,10621777.97,150048.5,475300.25,253131.0,8834,4077
2026-03-26,2026-03,HV0003,Uber,530429,2678086.53,659522059,15606307.790000001,688822.12,11807874.69,165338.25,491749.0,263377.5,8809,4211
2026-03-27,2026-03,HV0003,Uber,564532,2685089.62,658641340,15210034.09,631870.0,11724334.36,154603.75,511089.75,265957.5,10144,5429
2026-03-28,2026-03,HV0003,Uber,616442,2920256.99,696469532,15362493.59,600489.42,12379326.82,102539.5,597666.0,311977.5,12237,7617
2026-03-29,2026-03,HV0003,Uber,510285,2677184.86,559613342,13136668.65,498095.35,10553969.84,147533.75,452354.0,237126.0,11057,6972
2026-03-30,2026-03,HV0003,Uber,460023,2269562.73,521798940,12147245.33,518336.54,9502571.4,144161.5,404790.75,208129.5,7795,3607
2026-03-31,2026-03,HV0003,Uber,448884,2160365.16,516471707,12582126.37,540145.2,9237080.549999999,126992.25,409917.5,213162.0,7229,3073
