pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2025-04-01,2025-04,HV0003,Uber,431227,2156499.2199999997,504335852,12541764.39,526511.85,8957535.38,99627.5,429172.75,223731.0,15779,8027
2025-04-02,2025-04,HV0003,Uber,477424,2317082.5100000002,553988816,13255728.99,558514.37,9606046.21,94608.75,488026.0,255790.5,15931,8195
2025-04-03,2025-04,HV0003,Uber,503574,2562085.65,617854909,14611180.9,606426.53,10783549.02,118295.0,514888.5,271507.5,16372,8629
2025-04-04,2025-04,HV0003,Uber,536368,2643361.66,644044540,14516748.67,528165.59,11027857.57,113156.25,520044.25,269611.5,18399,10269
2025-04-05,2025-04,HV0003,Uber,585316,2770966.89,648307346,14360913.95,510778.04000000004,11179052.28,74311.25,610673.5,318082.5,21810,13403
2025-04-06,2025-04,HV0003,Uber,491526,2645691.68,539464654,12937550.92,458245.1,10050556.49,117418.75,472375.75,247635.0,20615,12749
2025-04-07,2025-04,HV0003,Uber,448283,2183746.12,521051168,12196391.68,508493.19,9088681.790000001,111650.0,442496.0,225751.5,13987,6784
2025-04-08,2025-04,HV0003,Uber,446573,2128133.92,511520082,12050588.39,521582.52999999997,8802810.49,89188.75,454969.5,236232.0,13236,6158
2025-04-09,2025-04,HV0003,Uber,475092,2355061.9,567142101,13368855.62,581773.37,9857321.67,105990.0,487386.75,255367.5,14272,7004
2025-04-10,2025-04,HV0003,Uber,497217,2512526.63,603783179,14235474.7,609233.72,10490177.059999999,116461.25,503535.0,264244.5,16256,8442
2025-04-11,2025-04,HV0003,Uber,562453,2641079.87,664434407,14752296.43,574545.76,11288137.73,106373.75,544594.75,281281.5,20610,11677
2025-04-12,2025-04,HV0003,Uber,569131,2644022.02,624139203,13837039.77,528755.03,10764381.44,67733.75,582781.5,303189.0,24279,14693
2025-04-13,2025-04,HV0003,Uber,447032,2392201.2,475083184,11210795.38,407155.76,8743701.91,100467.5,421509.75,221854.5,20527,12180
2025-04-14,2025-04,HV0003,Uber,376467,1948371.54,406724375,10088262.7,414663.75,7337696.17,98236.25,363950.75,187204.5,13859,6696
2025-04-15,2025-04,HV0003,Uber,412823,2057180.3699999999,469246662,11134607.58,469895.95,8181278.92,87556.25,423666.75,220032.0,14329,7095
2025-04-16,2025-04,HV0003,Uber,441536,2208184.64,501749778,12144742.69,513386.52,8789336.96,98520.0,462287.0,240423.0,15886,7986
2025-04-17,2025-04,HV0003,Uber,455615,2364621.46,559855549,13123374.129999999,538726.6,9628890.780000001,114861.25,465839.0,244276.5,17103,9170
2025-04-18,2025-04,HV0003,Uber,480228,2423156.77,539639216,12569370.73,480594.29,9450878.63,101046.25,464747.75,242223.0,19895,11303
2025-04-19,2025-04,HV0003,Uber,522560,2636376.44,585336607,13238513.45,478990.85,10231474.76,69311.25,490011.0,259668.0,23418,14577
2025-04-20,2025-04,HV0003,Uber,459221,2549128.48,503079638,12065838.85,411649.36,9297265.959999999,100842.5,396399.25,209088.0,23113,14626
2025-04-21,2025-04,HV0003,Uber,416234,2174607.25,484466781,11361290.44,463966.02999999997,8576490.08,114591.25,388622.75,197913.0,16271,8233
2025-04-22,2025-04,HV0003,Uber,434141,2198256.19,523112710,12067437.67,518767.8,9004420.56,99673.75,431824.0,222747.0,15676,7729
2025-04-23,2025-04,HV0003,Uber,459437,2319485.9899999998,563529090,12993223.98,567070.8,9683769.42,103068.75,465201.25,242458.5,16467,8303
2025-04-24,2025-04,HV0003,Uber,485629,2496837.39,628447057,14332385.88,616074.91,10671767.68,119648.75,489888.0,257227.5,17790,9467
2025-04-25,2025-04,HV0003,Uber,535191,2641514.93,661958558,14592857.26,581474.9,11013533.7,113553.75,517028.5,266892.0,21427,12243
2025-04-26,2025-04,HV0003,Uber,583035,2811881.37,673052452,14907738.16,578767.7000000001,11635158.14,73272.5,604151.25,316473.0,26000,16453
2025-04-27,2025-04,HV0003,Uber,487824,2685699.77,575313990,13501636.45,503678.69,10539148.53,118337.5,450907.0,238108.5,23420,14454
2025-04-28,2025-04,HV0003,Uber,423606,2211367.23,514168202,11680283.59,495444.81,8962143.69,113963.75,397926.0,203380.5,15330,7614
2025-04-29,2025-04,HV0003,Uber,442184,2218557.23,536136995,12306648.7,543040.77,9248019.6,92652.5,439948.25,227065.5,13516,6479
2025-04-30,2025-04,HV0003,Uber,473575,2429889.42,602921910,13804234.0,611284.99,10337164.790000001,105866.25,473485.5,246832.5,14720,7349
