pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2025-11-01,2025-11,HV0003,Uber,647876,3311025.71,795433115,19705242.97,717455.65,15742784.059999999,76512.5,691512.25,367819.5,22008,15126
2025-11-02,2025-11,HV0003,Uber,505630,2808583.45,597005165,14717208.49,562141.4299999999,11887207.22,115648.75,522868.75,286249.5,14633,8904
2025-11-03,2025-11,HV0003,Uber,430268,2244830.35,535224217,12501450.629999999,580478.87,9481314.45,123957.5,432350.25,224511.0,8418,3705
2025-11-04,2025-11,HV0003,Uber,424497,2132007.13,498543627,12106242.23,586248.22,8920734.7,100392.5,449179.75,234076.5,7643,3180
2025-11-05,2025-11,HV0003,Uber,456182,2333029.36,585351557,13840805.53,687758.92,10244057.75,107571.25,483393.75,253728.0,8551,3762
2025-11-06,2025-11,HV0003,Uber,499564,2548981.05,656018349,15475950.28,739636.51,11567580.61,121463.75,534552.0,281163.0,10225,5000
2025-11-07,2025-11,HV0003,Uber,527421,2624736.3,671784870,14859661.82,672776.98,11479284.03,119606.25,536691.25,277795.5,12164,6559
2025-11-08,2025-11,HV0003,Uber,557470,2779170.66,674921452,14435655.31,613469.77,11691700.86,79151.25,592256.5,308578.5,14147,8526
2025-11-09,2025-11,HV0003,Uber,500119,2660610.0100000002,571512851,13150518.69,550443.25,10542061.98,111328.75,507475.5,266523.0,13532,8002
2025-11-10,2025-11,HV0003,Uber,473359,2373319.69,573647654,12939514.52,608857.21,10102470.48,119791.25,471353.5,241734.0,9844,4574
2025-11-11,2025-11,HV0003,Uber,452168,2267220.52,529080032,12488775.48,615762.37,9446037.700000001,104907.5,480617.75,245278.5,10096,4720
2025-11-12,2025-11,HV0003,Uber,473396,2367064.7,609373076,14052931.11,681793.75,10572353.02,100392.5,501002.0,262576.5,12257,6558
2025-11-13,2025-11,HV0003,Uber,516388,2612643.91,675529684,15490586.89,730371.71,11798665.8,109651.25,546356.25,287821.5,13670,7696
2025-11-14,2025-11,HV0003,Uber,550458,2713693.79,700546255,15079589.71,669570.76,11929504.76,116712.5,563775.0,292611.0,17183,10655
2025-11-15,2025-11,HV0003,Uber,587867,2881937.58,703158821,14893556.42,617698.2,12101965.18,74220.0,614555.75,323335.5,20190,13802
2025-11-16,2025-11,HV0003,Uber,502797,2722939.41,580445182,13520617.54,545624.61,10609487.11,119222.5,477584.75,255055.5,18880,12700
2025-11-17,2025-11,HV0003,Uber,460660,2302046.34,550245443,12716646.09,588578.73,9638639.0,115943.75,454082.25,234277.5,12683,7004
2025-11-18,2025-11,HV0003,Uber,464413,2254174.29,566624736,13523913.889999999,653106.95,9915640.38,92643.75,478595.25,250197.0,12228,6425
2025-11-19,2025-11,HV0003,Uber,511632,2480194.29,645591121,15572113.959999999,760839.72,11564024.68,105907.5,525629.25,276690.0,14090,7949
2025-11-20,2025-11,HV0003,Uber,524598,2669918.98,680958326,15942745.1,748572.59,11930650.870000001,117117.5,519894.0,276249.0,15615,9465
2025-11-21,2025-11,HV0003,Uber,566444,2768091.32,710454747,15297310.08,663542.41,12096625.44,120006.25,531471.0,275866.5,18853,12213
2025-11-22,2025-11,HV0003,Uber,605281,2954990.73,705368048,14592896.22,601045.51,12163103.65,94192.5,597197.0,314149.5,23998,16876
2025-11-23,2025-11,HV0003,Uber,511432,2639979.74,561219461,12257323.46,478526.14,10134021.45,107540.0,472278.75,247977.0,21266,14783
2025-11-24,2025-11,HV0003,Uber,427367,2055058.04,509075193,11274901.76,464638.72,8736110.98,90770.0,375636.25,190755.0,12759,7303
2025-11-25,2025-11,HV0003,Uber,477743,2236144.37,625513222,13707007.06,568948.04,10610740.93,101671.25,407246.0,208239.0,14349,8258
2025-11-26,2025-11,HV0003,Uber,476635,2289380.45,575259741,12577539.51,494187.01,9812148.21,103456.25,367057.5,188490.0,12500,6778
2025-11-27,2025-11,HV0003,Uber,467764,2471124.67,515182039,11829952.93,490963.35000000003,9584604.85,57693.75,306064.5,154971.0,14757,9461
2025-11-28,2025-11,HV0003,Uber,427085,1998499.56,435610448,9995254.43,404960.47,7801651.38,63371.25,341959.25,175404.0,14178,8397
2025-11-29,2025-11,HV0003,Uber,446557,2200396.2,487442227,10995755.370000001,467568.22,8672459.23,83646.25,409772.75,213723.0,16456,10510
2025-11-30,2025-11,HV0003,Uber,435385,2297566.19,492123567,11328867.37,455738.74,8918749.75,119055.0,404718.75,211159.5,16754,10722
