pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2020-09-01,2020-09,HV0003,Uber,257535,1178963.85,274259137,4236939.83,75535.05,3827047.61,0.0,220624.25,0,0
2020-09-02,2020-09,HV0003,Uber,263828,1195113.6,279027102,4377496.92,78009.08,3886860.91,0.0,229872.5,1,0
2020-09-03,2020-09,HV0003,Uber,286539,1316697.1199999999,312611093,4941439.07,87342.43,4354041.3100000005,0.0,245250.5,0,0
2020-09-04,2020-09,HV0003,Uber,303358,1457110.13,346463731,5580461.68,107524.69,4848920.91,0.0,248985.0,0,0
2020-09-05,2020-09,HV0003,Uber,313116,1568391.35,320985091,5465767.53,129446.05,4731838.350000001,0.0,242962.5,0,0
2020-09-06,2020-09,HV0003,Uber,277870,1405251.35,271216006,4785645.41,110254.33,4160056.67,0.0,208521.5,0,0
2020-09-07,2020-09,HV0003,Uber,240949,1221341.71,228511138,4267868.51,93947.70999999999,3531039.91,0.0,181376.25,0,0
2020-09-08,2020-09,HV0003,Uber,250601,1165343.91,265856349,4446781.87,111857.8,3771002.47,0.0,212168.0,0,0
2020-09-09,2020-09,HV0003,Uber,262949,1191368.0,283378493,4592973.15,116810.5,3919347.12,0.0,233318.25,0,0
2020-09-10,2020-09,HV0003,Uber,294502,1274887.1300000001,310964181,5121508.24,114494.19,4371162.46,0.0,268785.0,0,0
2020-09-11,2020-09,HV0003,Uber,321551,1465222.01,359463433,5717563.01,139248.0,4969548.18,0.0,291362.5,0,0
2020-09-12,2020-09,HV0003,Uber,354613,1694136.51,362732238,6090356.46,138341.33,5294137.9799999995,0.0,330877.25,0,0
2020-09-13,2020-09,HV0003,Uber,280043,1374479.4500000002,266364112,4682595.21,96553.45,4036663.9899999998,0.0,237063.75,0,0
2020-09-14,2020-09,HV0003,Uber,252421,1166114.29,263450720,4358424.470000001,111779.75,3737341.2900000005,0.0,216933.75,0,0
2020-09-15,2020-09,HV0003,Uber,261029,1161496.16,277906510,4593545.71,121245.22,3855038.1799999997,0.0,234668.5,0,0
2020-09-16,2020-09,HV0003,Uber,269650,1208917.1,280258878,4730642.67,125199.16,3920896.32,0.0,250912.75,0,0
2020-09-17,2020-09,HV0003,Uber,285192,1299504.56,305778183,5097832.54,133179.95,4253535.7299999995,0.0,269808.0,0,0
2020-09-18,2020-09,HV0003,Uber,341341,1569479.46,376486227,6210629.18,153556.33000000002,5285144.48,0.0,307023.75,0,0
2020-09-19,2020-09,HV0003,Uber,373883,1777028.64,383749100,6572586.739999999,154032.23,5630484.44,0.0,338811.0,0,0
2020-09-20,2020-09,HV0003,Uber,305581,1509368.63,293215234,5274071.57,117934.69,4488586.64,0.0,261857.75,0,0
2020-09-21,2020-09,HV0003,Uber,263282,1221478.6300000001,271128504,4588592.31,111120.32999999999,3929034.72,0.0,223019.5,0,0
2020-09-22,2020-09,HV0003,Uber,269306,1210571.18,282311191,4707680.07,117464.94,3946810.26,0.0,240468.25,0,0
2020-09-23,2020-09,HV0003,Uber,292549,1325323.28,312353974,5123956.25,126852.22,4353192.2299999995,0.0,262798.25,0,0
2020-09-24,2020-09,HV0003,Uber,307440,1419706.81,337280133,5494516.15,133697.15,4693949.16,0.0,280964.75,1,0
2020-09-25,2020-09,HV0003,Uber,357782,1656636.3,406491658,6644209.29,150423.46,5779263.12,0.0,321494.25,0,0
2020-09-26,2020-09,HV0003,Uber,388549,1868136.25,397747202,6890532.8,150744.79,5903234.359999999,0.0,363635.25,0,0
2020-09-27,2020-09,HV0003,Uber,317637,1573598.02,304393733,5514540.29,109771.3,4712378.25,0.0,270556.0,0,0
2020-09-28,2020-09,HV0003,Uber,262821,1259479.18,256791883,4431869.38,109218.8,3770949.21,0.0,220024.75,0,0
2020-09-29,2020-09,HV0003,Uber,290299,1259928.8399999999,304840625,5008696.75,130786.75,4292734.4799999995,0.0,259814.5,0,0
2020-09-30,2020-09,HV0003,Uber,301539,1342303.97,322140278,5227780.79,136859.94999999998,4494486.68,0.0,274318.0,0,0
