pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2025-03-01,2025-03,HV0003,Uber,574088,2884559.11,639835311,15400467.33,532603.24,11986468.42,74277.5,548249.75,289641.0,26968,15779
2025-03-02,2025-03,HV0003,Uber,501012,2680026.74,532535484,13536987.59,451195.18,10386482.67,107872.5,466466.0,246636.0,26305,15233
2025-03-03,2025-03,HV0003,Uber,437631,2159724.76,487053396,11711809.87,463244.20999999996,8656015.57,97667.5,410151.75,211179.0,19365,9004
2025-03-04,2025-03,HV0003,Uber,439348,2168317.08,500585912,12201458.66,503800.15,8821134.52,82168.75,430841.0,224910.0,18220,8444
2025-03-05,2025-03,HV0003,Uber,511314,2423287.23,589404603,15394161.94,636139.76,11128673.72,90678.75,497896.25,262368.0,22522,11146
2025-03-06,2025-03,HV0003,Uber,482299,2504808.93,573251348,14165250.36,575471.98,10222567.72,111155.0,469339.5,247188.0,18455,8706
2025-03-07,2025-03,HV0003,Uber,536379,2626713.65,621014686,14334298.36,529765.96,10819850.0,103075.0,509774.75,262317.0,19401,9685
2025-03-08,2025-03,HV0003,Uber,555742,2742239.56,606529334,14199643.790000001,497761.98,10809780.63,70825.0,557546.5,291873.0,21365,11811
2025-03-09,2025-03,HV0003,Uber,466284,2565685.53,504470686,12467711.78,409351.09,9633109.87,106620.0,433385.0,229201.5,20202,11134
2025-03-10,2025-03,HV0003,Uber,414589,2143329.91,482741455,11560741.42,455540.77,8525196.85,99850.0,382558.75,196437.0,14712,6297
2025-03-11,2025-03,HV0003,Uber,431221,2152718.46,511266577,12259192.15,503572.39,8941515.18,83226.25,424588.5,221149.5,14799,6109
2025-03-12,2025-03,HV0003,Uber,459360,2318707.3200000003,544702711,13347199.45,563545.0700000001,9552958.51,94708.75,460586.0,240937.5,15421,6678
2025-03-13,2025-03,HV0003,Uber,497198,2581374.96,603995987,14837012.469999999,607565.27,10761212.69,111857.5,486827.0,256038.0,16827,7952
2025-03-14,2025-03,HV0003,Uber,534025,2697662.0,628222918,14874415.870000001,561627.69,11016439.21,111952.5,500777.25,260545.5,18195,9135
2025-03-15,2025-03,HV0003,Uber,560732,2880442.34,638207795,15050023.88,541818.3099999999,11448290.69,80061.25,565242.75,302053.5,20892,11684
2025-03-16,2025-03,HV0003,Uber,460992,2614054.0,517498507,12686991.86,438242.42,9730555.37,108891.25,417578.75,223152.0,20416,11159
2025-03-17,2025-03,HV0003,Uber,432346,2275608.23,505965746,12363049.32,487745.47000000003,9137941.88,118121.25,389849.5,203071.5,15609,6918
2025-03-18,2025-03,HV0003,Uber,427199,2156423.16,505216716,12180701.75,511668.44,8875547.8,90970.0,415326.25,220029.0,12953,6075
2025-03-19,2025-03,HV0003,Uber,447523,2284584.4899999998,533407775,13081659.79,553922.96,9377976.88,98883.75,438495.5,233604.0,13274,6463
2025-03-20,2025-03,HV0003,Uber,499371,2497960.99,598567289,15773355.0,645135.87,10943261.78,111958.75,498174.0,268809.0,14836,7706
2025-03-21,2025-03,HV0003,Uber,510959,2533232.16,601926331,14558167.74,556941.51,10424050.18,113621.25,481097.0,254562.0,18281,10117
2025-03-22,2025-03,HV0003,Uber,520913,2653865.7800000003,580136540,14303552.6,516044.34,10323549.09,79512.5,511081.5,274636.5,21928,13493
2025-03-23,2025-03,HV0003,Uber,447028,2472171.94,493024510,12710510.209999999,447367.54,9007211.43,112007.5,417025.25,224370.0,21725,13698
2025-03-24,2025-03,HV0003,Uber,422368,2044715.29,491600032,12412387.85,494155.14,8570824.36,103342.5,402406.0,208639.5,16152,7984
2025-03-25,2025-03,HV0003,Uber,388723,1916509.72,455548058,11867766.31,497609.07,7986366.78,82048.75,386392.75,204693.0,13608,6291
2025-03-26,2025-03,HV0003,Uber,401088,1953083.99,464091690,12828998.65,552827.79,8175488.8,86601.25,405854.25,216258.0,13920,6436
2025-03-27,2025-03,HV0003,Uber,426596,2176710.4899999998,525014705,14139351.76,587403.13,9216454.07,102005.0,425227.75,228241.5,15677,7979
2025-03-28,2025-03,HV0003,Uber,478457,2332137.59,558654537,13964706.89,512021.70999999996,9611897.97,103780.0,453950.75,238734.0,18841,10354
2025-03-29,2025-03,HV0003,Uber,494162,2351103.85,552305691,15091034.110000001,504253.34,10009307.15,66532.5,490538.25,263221.5,22415,13505
2025-03-30,2025-03,HV0003,Uber,408080,2205403.43,440803105,13209505.49,442805.82999999996,8732807.52,101453.75,361184.75,194908.5,22382,13804
2025-03-31,2025-03,HV0003,Uber,380154,1919433.14,414017700,11415419.91,461990.09,7612276.0,98925.0,369106.5,190417.5,14619,7415
