pickup_date,pickup_month,company,trips,borough
2016-03-04,2016-03,Uber,155193,Unknown
2016-03-06,2016-03,Uber,140141,Unknown
2016-03-01,2016-03,Uber,112192,Unknown
2016-03-30,2016-03,Uber,118150,Unknown
2016-03-12,2016-03,Uber,160309,Unknown
2016-03-05,2016-03,Uber,167197,Unknown
2016-03-27,2016-03,Uber,131612,Unknown
2016-03-15,2016-03,Uber,114206,Unknown
2016-03-14,2016-03,Uber,127468,Unknown
2016-03-07,2016-03,Uber,103960,Unknown
2016-03-08,2016-03,Uber,110898,Unknown
2016-03-25,2016-03,Uber,139016,Unknown
2016-03-03,2016-03,Uber,134970,Unknown
2016-03-09,2016-03,Uber,113745,Unknown
2016-03-24,2016-03,Uber,134793,Unknown
2016-03-11,2016-03,Uber,141604,Unknown
2016-03-13,2016-03,Uber,130452,Unknown
2016-03-16,2016-03,Uber,121458,Unknown
2016-03-02,2016-03,Uber,126995,Unknown
2016-03-20,2016-03,Uber,141086,Unknown
2016-03-10,2016-03,Uber,128031,Unknown
2016-03-26,2016-03,Uber,152674,Unknown
2016-03-19,2016-03,Uber,160597,Unknown
2016-03-17,2016-03,Uber,132114,Unknown
2016-03-18,2016-03,Uber,142773,Unknown
2016-03-21,2016-03,Uber,105355,Unknown
2016-03-28,2016-03,Uber,109891,Unknown
2016-03-29,2016-03,Uber,111208,Unknown
2016-03-23,2016-03,Uber,119502,Unknown
2016-03-22,2016-03,Uber,111169,Unknown
2016-03-31,2016-03,Uber,126514,Unknown
