pickup_date,pickup_month,company,borough,trips
2017-10-01,2017-10,Uber,Bronx,7372
2017-10-01,2017-10,Uber,Brooklyn,30223
2017-10-01,2017-10,Uber,Manhattan,49629
2017-10-01,2017-10,Uber,Queens,16445
2017-10-01,2017-10,Uber,Staten Island,893
2017-10-01,2017-10,Uber,Unknown,5
2017-10-02,2017-10,Uber,Bronx,5872
2017-10-02,2017-10,Uber,Brooklyn,19578
2017-10-02,2017-10,Uber,Manhattan,41148
2017-10-02,2017-10,Uber,Queens,12760
2017-10-02,2017-10,Uber,Staten Island,587
2017-10-03,2017-10,Uber,Bronx,6160
2017-10-03,2017-10,Uber,Brooklyn,20133
2017-10-03,2017-10,Uber,Manhattan,45246
2017-10-03,2017-10,Uber,Queens,11652
2017-10-03,2017-10,Uber,Staten Island,647
2017-10-03,2017-10,Uber,Unknown,10
2017-10-04,2017-10,Uber,Bronx,6595
2017-10-04,2017-10,Uber,Brooklyn,21837
2017-10-04,2017-10,Uber,Manhattan,49276
2017-10-04,2017-10,Uber,Queens,12489
2017-10-04,2017-10,Uber,Staten Island,728
2017-10-04,2017-10,Uber,Unknown,6
2017-10-05,2017-10,Uber,Bronx,6527
2017-10-05,2017-10,Uber,Brooklyn,21453
2017-10-05,2017-10,Uber,Manhattan,55368
2017-10-05,2017-10,Uber,Queens,13574
2017-10-05,2017-10,Uber,Staten Island,787
2017-10-05,2017-10,Uber,Unknown,5
2017-10-06,2017-10,Uber,Bronx,7936
2017-10-06,2017-10,Uber,Brooklyn,24904
2017-10-06,2017-10,Uber,Manhattan,57646
2017-10-06,2017-10,Uber,Queens,15735
2017-10-06,2017-10,Uber,Staten Island,840
2017-10-06,2017-10,Uber,Unknown,2
2017-10-07,2017-10,Uber,Bronx,8443
2017-10-07,2017-10,Uber,Brooklyn,33235
2017-10-07,2017-10,Uber,Manhattan,64341
2017-10-07,2017-10,Uber,Queens,16496
2017-10-07,2017-10,Uber,Staten Island,989
2017-10-07,2017-10,Uber,Unknown,9
2017-10-08,2017-10,Uber,Bronx,7794
2017-10-08,2017-10,Uber,Brooklyn,29004
2017-10-08,2017-10,Uber,Manhattan,56654
2017-10-08,2017-10,Uber,Queens,16029
2017-10-08,2017-10,Uber,Staten Island,904
2017-10-08,2017-10,Uber,Unknown,4
2017-10-09,2017-10,Uber,Bronx,6084
2017-10-09,2017-10,Uber,Brooklyn,20364
2017-10-09,2017-10,Uber,Manhattan,47600
2017-10-09,2017-10,Uber,Queens,12924
2017-10-09,2017-10,Uber,Staten Island,598
2017-10-09,2017-10,Uber,Unknown,7
2017-10-10,2017-10,Uber,Bronx,6015
2017-10-10,2017-10,Uber,Brooklyn,20057
2017-10-10,2017-10,Uber,Manhattan,48786
2017-10-10,2017-10,Uber,Queens,13690
2017-10-10,2017-10,Uber,Staten Island,643
2017-10-10,2017-10,Uber,Unknown,4
2017-10-11,2017-10,Uber,Bronx,6088
2017-10-11,2017-10,Uber,Brooklyn,21241
2017-10-11,2017-10,Uber,Manhattan,50708
2017-10-11,2017-10,Uber,Queens,12541
2017-10-11,2017-10,Uber,Staten Island,632
2017-10-11,2017-10,Uber,Unknown,3
2017-10-12,2017-10,Uber,Bronx,6486
2017-10-12,2017-10,Uber,Brooklyn,21019
