pickup_date,pickup_month,company,trips,borough
2016-02-01,2016-02,Uber,102772,Unknown
2016-02-02,2016-02,Uber,108233,Unknown
2016-02-03,2016-02,Uber,134603,Unknown
2016-02-04,2016-02,Uber,129541,Unknown
2016-02-05,2016-02,Uber,152503,Unknown
2016-02-06,2016-02,Uber,162756,Unknown
2016-02-07,2016-02,Uber,142295,Unknown
2016-02-08,2016-02,Uber,109762,Unknown
2016-02-09,2016-02,Uber,115786,Unknown
2016-02-10,2016-02,Uber,126258,Unknown
2016-02-11,2016-02,Uber,153547,Unknown
2016-02-12,2016-02,Uber,167400,Unknown
2016-02-13,2016-02,Uber,199976,Unknown
2016-02-14,2016-02,Uber,186588,Unknown
2016-02-15,2016-02,Uber,128611,Unknown
2016-02-16,2016-02,Uber,126043,Unknown
2016-02-17,2016-02,Uber,122183,Unknown
2016-02-18,2016-02,Uber,137263,Unknown
2016-02-19,2016-02,Uber,150092,Unknown
2016-02-20,2016-02,Uber,158760,Unknown
2016-02-21,2016-02,Uber,137711,Unknown
2016-02-22,2016-02,Uber,103929,Unknown
2016-02-23,2016-02,Uber,138665,Unknown
2016-02-24,2016-02,Uber,149713,Unknown
2016-02-25,2016-02,Uber,138281,Unknown
2016-02-26,2016-02,Uber,153735,Unknown
2016-02-27,2016-02,Uber,165902,Unknown
2016-02-28,2016-02,Uber,136331,Unknown
2016-02-29,2016-02,Uber,107569,Unknown
