pickup_date,pickup_month,company,trips,borough
2015-12-01,2015-12,Uber,130601,Unknown
2015-12-02,2015-12,Uber,127924,Unknown
2015-12-03,2015-12,Uber,133954,Unknown
2015-12-04,2015-12,Uber,149449,Unknown
2015-12-05,2015-12,Uber,170651,Unknown
2015-12-06,2015-12,Uber,142781,Unknown
2015-12-07,2015-12,Uber,111025,Unknown
2015-12-08,2015-12,Uber,124376,Unknown
2015-12-09,2015-12,Uber,127888,Unknown
2015-12-10,2015-12,Uber,140394,Unknown
2015-12-11,2015-12,Uber,156877,Unknown
2015-12-12,2015-12,Uber,180382,Unknown
2015-12-13,2015-12,Uber,143035,Unknown
2015-12-14,2015-12,Uber,118787,Unknown
2015-12-15,2015-12,Uber,120972,Unknown
2015-12-16,2015-12,Uber,137820,Unknown
2015-12-17,2015-12,Uber,171582,Unknown
2015-12-18,2015-12,Uber,168998,Unknown
2015-12-19,2015-12,Uber,178837,Unknown
2015-12-20,2015-12,Uber,139938,Unknown
2015-12-21,2015-12,Uber,103344,Unknown
2015-12-22,2015-12,Uber,111391,Unknown
2015-12-23,2015-12,Uber,121604,Unknown
2015-12-24,2015-12,Uber,92221,Unknown
2015-12-25,2015-12,Uber,69953,Unknown
2015-12-26,2015-12,Uber,70759,Unknown
2015-12-27,2015-12,Uber,85427,Unknown
2015-12-28,2015-12,Uber,83631,Unknown
2015-12-29,2015-12,Uber,87489,Unknown
2015-12-30,2015-12,Uber,95400,Unknown
2015-12-31,2015-12,Uber,129085,Unknown
