pickup_date,pickup_month,company,borough,trips
2017-04-01,2017-04,Uber,Bronx,6681
2017-04-01,2017-04,Uber,Brooklyn,29961
2017-04-01,2017-04,Uber,Manhattan,62650
2017-04-01,2017-04,Uber,Queens,15905
2017-04-01,2017-04,Uber,Staten Island,815
2017-04-01,2017-04,Uber,Unknown,272
2017-04-02,2017-04,Uber,Bronx,4100
2017-04-02,2017-04,Uber,Brooklyn,17363
2017-04-02,2017-04,Uber,Manhattan,31371
2017-04-02,2017-04,Uber,Queens,10045
2017-04-02,2017-04,Uber,Staten Island,370
2017-04-02,2017-04,Uber,Unknown,161
2017-04-03,2017-04,Uber,Bronx,6638
2017-04-03,2017-04,Uber,Brooklyn,22574
2017-04-03,2017-04,Uber,Manhattan,50429
2017-04-03,2017-04,Uber,Queens,15569
2017-04-03,2017-04,Uber,Staten Island,670
2017-04-03,2017-04,Uber,Unknown,211
2017-04-04,2017-04,Uber,Bronx,6729
2017-04-04,2017-04,Uber,Brooklyn,24263
2017-04-04,2017-04,Uber,Manhattan,60039
2017-04-04,2017-04,Uber,Queens,14168
2017-04-04,2017-04,Uber,Staten Island,691
2017-04-04,2017-04,Uber,Unknown,226
2017-04-05,2017-04,Uber,Bronx,6867
2017-04-05,2017-04,Uber,Brooklyn,25292
2017-04-05,2017-04,Uber,Manhattan,59406
2017-04-05,2017-04,Uber,Queens,14681
2017-04-05,2017-04,Uber,Staten Island,694
2017-04-05,2017-04,Uber,Unknown,228
2017-04-06,2017-04,Uber,Bronx,7675
2017-04-06,2017-04,Uber,Brooklyn,29160
2017-04-06,2017-04,Uber,Manhattan,73412
2017-04-06,2017-04,Uber,Queens,16605
2017-04-06,2017-04,Uber,Staten Island,699
2017-04-06,2017-04,Uber,Unknown,265
2017-04-07,2017-04,Uber,Bronx,7733
2017-04-07,2017-04,Uber,Brooklyn,29611
2017-04-07,2017-04,Uber,Manhattan,69885
2017-04-07,2017-04,Uber,Queens,18112
2017-04-07,2017-04,Uber,Staten Island,864
2017-04-07,2017-04,Uber,Unknown,262
2017-04-08,2017-04,Uber,Bronx,8512
2017-04-08,2017-04,Uber,Brooklyn,38189
2017-04-08,2017-04,Uber,Manhattan,70625
2017-04-08,2017-04,Uber,Queens,17769
2017-04-08,2017-04,Uber,Staten Island,923
2017-04-08,2017-04,Uber,Unknown,326
2017-04-09,2017-04,Uber,Bronx,7417
2017-04-09,2017-04,Uber,Brooklyn,34403
2017-04-09,2017-04,Uber,Manhattan,59172
2017-04-09,2017-04,Uber,Queens,16694
2017-04-09,2017-04,Uber,Staten Island,744
2017-04-09,2017-04,Uber,Unknown,318
2017-04-10,2017-04,Uber,Bronx,6546
2017-04-10,2017-04,Uber,Brooklyn,21410
2017-04-10,2017-04,Uber,Manhattan,47558
2017-04-10,2017-04,Uber,Queens,14085
2017-04-10,2017-04,Uber,Staten Island,627
2017-04-10,2017-04,Uber,Unknown,260
2017-04-11,2017-04,Uber,Bronx,6330
2017-04-11,2017-04,Uber,Brooklyn,20868
2017-04-11,2017-04,Uber,Manhattan,51341
2017-04-11,2017-04,Uber,Queens,13377
2017-04-11,2017-04,Uber,Staten Island,668
2017-04-11,2017-04,Uber,Unknown,197
2017-04-12,2017-04,Uber,Bronx,6480
2017-04-12,2017-04,Uber,Brooklyn,21497
2017-04-12,2017-04,Uber,Manhattan,56453
2017-04-12,2017-04,Uber,Queens,13541
2017-04-12,2017-04,Uber,Staten Island,652
2017-04-12,2017-04,Uber,Unknown,262
2017-04-13,2017-04,Uber,Bronx,6675
2017-04-13,2017-04,Uber,Brooklyn,23443
2017-04-13,2017-04,Uber,Manhattan,60784
2017-04-13,2017-04,Uber,Queens,14645
2017-04-13,2017-04,Uber,Staten Island,712
2017-04-13,2017-04,Uber,Unknown,250
2017-04-14,2017-04,Uber,Bronx,6611
2017-04-14,2017-04,Uber,Brooklyn,26124
2017-04-14,2017-04,Uber,Manhattan,59309
2017-04-14,2017-04,Uber,Queens,14902
2017-04-14,2017-04,Uber,Staten Island,788
2017-04-14,2017-04,Uber,Unknown,285
2017-04-15,2017-04,Uber,Bronx,7556
2017-04-15,2017-04,Uber,Brooklyn,33346
2017-04-15,2017-04,Uber,Manhattan,59184
2017-04-15,2017-04,Uber,Queens,14892
2017-04-15,2017-04,Uber,Staten Island,760
2017-04-15,2017-04,Uber,Unknown,300
2017-04-16,2017-04,Uber,Bronx,7177
2017-04-16,2017-04,Uber,Brooklyn,30213
2017-04-16,2017-04,Uber,Manhattan,49707
2017-04-16,2017-04,Uber,Queens,15620
2017-04-16,2017-04,Uber,Staten Island,632
2017-04-16,2017-04,Uber,Unknown,276
2017-04-17,2017-04,Uber,Bronx,5957
2017-04-17,2017-04,Uber,Brooklyn,19324
2017-04-17,2017-04,Uber,Manhattan,44493
2017-04-17,2017-04,Uber,Queens,14362
2017-04-17,2017-04,Uber,Staten Island,513
2017-04-17,2017-04,Uber,Unknown,227
2017-04-18,2017-04,Uber,Bronx,5597
2017-04-18,2017-04,Uber,Brooklyn,19335
2017-04-18,2017-04,Uber,Manhattan,51507
2017-04-18,2017-04,Uber,Queens,13492
2017-04-18,2017-04,Uber,Staten Island,583
2017-04-18,2017-04,Uber,Unknown,226
2017-04-19,2017-04,Uber,Bronx,6718
2017-04-19,2017-04,Uber,Brooklyn,22557
2017-04-19,2017-04,Uber,Manhattan,59135
2017-04-19,2017-04,Uber,Queens,15644
2017-04-19,2017-04,Uber,Staten Island,584
2017-04-19,2017-04,Uber,Unknown,231
2017-04-20,2017-04,Uber,Bronx,7027
2017-04-20,2017-04,Uber,Brooklyn,24980
2017-04-20,2017-04,Uber,Manhattan,63463
2017-04-20,2017-04,Uber,Queens,15684
2017-04-20,2017-04,Uber,Staten Island,636
2017-04-20,2017-04,Uber,Unknown,239
2017-04-21,2017-04,Uber,Bronx,7802
2017-04-21,2017-04,Uber,Brooklyn,28063
2017-04-21,2017-04,Uber,Manhattan,71052
2017-04-21,2017-04,Uber,Queens,17428
2017-04-21,2017-04,Uber,Staten Island,818
2017-04-21,2017-04,Uber,Unknown,287
2017-04-22,2017-04,Uber,Bronx,7584
2017-04-22,2017-04,Uber,Brooklyn,34703
2017-04-22,2017-04,Uber,Manhattan,70278
2017-04-22,2017-04,Uber,Queens,17222
2017-04-22,2017-04,Uber,Staten Island,954
2017-04-22,2017-04,Uber,Unknown,327
2017-04-23,2017-04,Uber,Bronx,7416
2017-04-23,2017-04,Uber,Brooklyn,30372
2017-04-23,2017-04,Uber,Manhattan,58869
2017-04-23,2017-04,Uber,Queens,17267
2017-04-23,2017-04,Uber,Staten Island,694
2017-04-23,2017-04,Uber,Unknown,268
2017-04-24,2017-04,Uber,Bronx,6334
2017-04-24,2017-04,Uber,Brooklyn,22534
2017-04-24,2017-04,Uber,Manhattan,50807
2017-04-24,2017-04,Uber,Queens,14926
2017-04-24,2017-04,Uber,Staten Island,632
2017-04-24,2017-04,Uber,Unknown,207
2017-04-25,2017-04,Uber,Bronx,7009
2017-04-25,2017-04,Uber,Brooklyn,27103
2017-04-25,2017-04,Uber,Manhattan,72289
2017-04-25,2017-04,Uber,Queens,14883
2017-04-25,2017-04,Uber,Staten Island,711
2017-04-25,2017-04,Uber,Unknown,207
2017-04-26,2017-04,Uber,Bronx,6500
2017-04-26,2017-04,Uber,Brooklyn,24025
2017-04-26,2017-04,Uber,Manhattan,59891
2017-04-26,2017-04,Uber,Queens,14830
2017-04-26,2017-04,Uber,Staten Island,756
2017-04-26,2017-04,Uber,Unknown,229
2017-04-27,2017-04,Uber,Bronx,7280
2017-04-27,2017-04,Uber,Brooklyn,26347
2017-04-27,2017-04,Uber,Manhattan,64016
2017-04-27,2017-04,Uber,Queens,15205
2017-04-27,2017-04,Uber,Staten Island,812
2017-04-27,2017-04,Uber,Unknown,217
2017-04-28,2017-04,Uber,Bronx,7615
2017-04-28,2017-04,Uber,Brooklyn,28007
2017-04-28,2017-04,Uber,Manhattan,64334
2017-04-28,2017-04,Uber,Queens,18055
2017-04-28,2017-04,Uber,Staten Island,976
2017-04-28,2017-04,Uber,Unknown,177
2017-04-29,2017-04,Uber,Bronx,8571
2017-04-29,2017-04,Uber,Brooklyn,36327
2017-04-29,2017-04,Uber,Manhattan,69609
2017-04-29,2017-04,Uber,Queens,18152
2017-04-29,2017-04,Uber,Staten Island,1062
2017-04-29,2017-04,Uber,Unknown,2
2017-04-30,2017-04,Uber,Bronx,7465
2017-04-30,2017-04,Uber,Brooklyn,32188
2017-04-30,2017-04,Uber,Manhattan,59832
2017-04-30,2017-04,Uber,Queens,17123
2017-04-30,2017-04,Uber,Staten Island,758
2017-04-30,2017-04,Uber,Unknown,2
