pickup_date,pickup_month,company,borough,trips
2015-10-01,2015-10,Uber,Bronx,2751
2015-10-01,2015-10,Uber,Brooklyn,22750
2015-10-01,2015-10,Uber,Manhattan,106541
2015-10-01,2015-10,Uber,Queens,13894
2015-10-01,2015-10,Uber,Staten Island,179
2015-10-01,2015-10,Uber,Unknown,54
2015-10-02,2015-10,Uber,Bronx,3247
2015-10-02,2015-10,Uber,Brooklyn,30030
2015-10-02,2015-10,Uber,Manhattan,134876
2015-10-02,2015-10,Uber,Queens,16726
2015-10-02,2015-10,Uber,Staten Island,257
2015-10-02,2015-10,Uber,Unknown,94
2015-10-03,2015-10,Uber,Bronx,3006
2015-10-03,2015-10,Uber,Brooklyn,33685
2015-10-03,2015-10,Uber,Manhattan,106828
2015-10-03,2015-10,Uber,Queens,14292
2015-10-03,2015-10,Uber,Staten Island,327
2015-10-03,2015-10,Uber,Unknown,86
2015-10-04,2015-10,Uber,Bronx,2581
2015-10-04,2015-10,Uber,Brooklyn,27863
2015-10-04,2015-10,Uber,Manhattan,77598
2015-10-04,2015-10,Uber,Queens,14811
2015-10-04,2015-10,Uber,Staten Island,251
2015-10-04,2015-10,Uber,Unknown,73
2015-10-05,2015-10,Uber,Bronx,1960
2015-10-05,2015-10,Uber,Brooklyn,16267
2015-10-05,2015-10,Uber,Manhattan,66561
2015-10-05,2015-10,Uber,Queens,11791
2015-10-05,2015-10,Uber,Staten Island,150
2015-10-05,2015-10,Uber,Unknown,62
2015-10-06,2015-10,Uber,Bronx,2398
2015-10-06,2015-10,Uber,Brooklyn,17069
2015-10-06,2015-10,Uber,Manhattan,76053
2015-10-06,2015-10,Uber,Queens,10395
2015-10-06,2015-10,Uber,Staten Island,154
2015-10-06,2015-10,Uber,Unknown,66
2015-10-07,2015-10,Uber,Bronx,2377
2015-10-07,2015-10,Uber,Brooklyn,18809
2015-10-07,2015-10,Uber,Manhattan,87444
2015-10-07,2015-10,Uber,Queens,12080
2015-10-07,2015-10,Uber,Staten Island,236
2015-10-07,2015-10,Uber,Unknown,68
2015-10-08,2015-10,Uber,Bronx,2383
2015-10-08,2015-10,Uber,Brooklyn,21171
2015-10-08,2015-10,Uber,Manhattan,97848
2015-10-08,2015-10,Uber,Queens,13869
2015-10-08,2015-10,Uber,Staten Island,273
2015-10-08,2015-10,Uber,Unknown,64
2015-10-09,2015-10,Uber,Bronx,3069
2015-10-09,2015-10,Uber,Brooklyn,26672
2015-10-09,2015-10,Uber,Manhattan,105748
2015-10-09,2015-10,Uber,Queens,15456
2015-10-09,2015-10,Uber,Staten Island,307
2015-10-09,2015-10,Uber,Unknown,98
2015-10-10,2015-10,Uber,Bronx,3262
2015-10-10,2015-10,Uber,Brooklyn,32918
2015-10-10,2015-10,Uber,Manhattan,104469
2015-10-10,2015-10,Uber,Queens,15491
2015-10-10,2015-10,Uber,Staten Island,394
2015-10-10,2015-10,Uber,Unknown,100
2015-10-11,2015-10,Uber,Bronx,2846
2015-10-11,2015-10,Uber,Brooklyn,29696
2015-10-11,2015-10,Uber,Manhattan,86113
2015-10-11,2015-10,Uber,Queens,15931
2015-10-11,2015-10,Uber,Staten Island,398
2015-10-11,2015-10,Uber,Unknown,106
2015-10-12,2015-10,Uber,Bronx,2012
2015-10-12,2015-10,Uber,Brooklyn,17880
2015-10-12,2015-10,Uber,Manhattan,66763
2015-10-12,2015-10,Uber,Queens,13796
2015-10-12,2015-10,Uber,Staten Island,151
2015-10-12,2015-10,Uber,Unknown,67
2015-10-13,2015-10,Uber,Bronx,2200
2015-10-13,2015-10,Uber,Brooklyn,18382
2015-10-13,2015-10,Uber,Manhattan,79057
2015-10-13,2015-10,Uber,Queens,12646
2015-10-13,2015-10,Uber,Staten Island,149
