pickup_date,pickup_month,company,borough,trips
2016-08-01,2016-08,Uber,Bronx,2566
2016-08-01,2016-08,Uber,Brooklyn,19385
2016-08-01,2016-08,Uber,Manhattan,66271
2016-08-01,2016-08,Uber,Queens,15189
2016-08-01,2016-08,Uber,Staten Island,397
2016-08-01,2016-08,Uber,Unknown,128
2016-08-02,2016-08,Uber,Bronx,2738
2016-08-02,2016-08,Uber,Brooklyn,20955
2016-08-02,2016-08,Uber,Manhattan,71148
2016-08-02,2016-08,Uber,Queens,13409
2016-08-02,2016-08,Uber,Staten Island,420
2016-08-02,2016-08,Uber,Unknown,87
2016-08-03,2016-08,Uber,Bronx,3153
2016-08-03,2016-08,Uber,Brooklyn,22462
2016-08-03,2016-08,Uber,Manhattan,73750
2016-08-03,2016-08,Uber,Queens,13259
2016-08-03,2016-08,Uber,Staten Island,405
2016-08-03,2016-08,Uber,Unknown,133
2016-08-04,2016-08,Uber,Bronx,3269
2016-08-04,2016-08,Uber,Brooklyn,23593
2016-08-04,2016-08,Uber,Manhattan,78290
2016-08-04,2016-08,Uber,Queens,14628
2016-08-04,2016-08,Uber,Staten Island,427
2016-08-04,2016-08,Uber,Unknown,140
2016-08-05,2016-08,Uber,Bronx,3789
2016-08-05,2016-08,Uber,Brooklyn,27070
2016-08-05,2016-08,Uber,Manhattan,82971
2016-08-05,2016-08,Uber,Queens,16124
2016-08-05,2016-08,Uber,Staten Island,526
2016-08-05,2016-08,Uber,Unknown,143
2016-08-06,2016-08,Uber,Bronx,4342
2016-08-06,2016-08,Uber,Brooklyn,35694
2016-08-06,2016-08,Uber,Manhattan,82317
2016-08-06,2016-08,Uber,Queens,17076
2016-08-06,2016-08,Uber,Staten Island,574
2016-08-06,2016-08,Uber,Unknown,164
2016-08-07,2016-08,Uber,Bronx,4112
2016-08-07,2016-08,Uber,Brooklyn,30197
2016-08-07,2016-08,Uber,Manhattan,70704
2016-08-07,2016-08,Uber,Queens,18519
2016-08-07,2016-08,Uber,Staten Island,493
2016-08-07,2016-08,Uber,Unknown,163
2016-08-08,2016-08,Uber,Bronx,2607
2016-08-08,2016-08,Uber,Brooklyn,19136
2016-08-08,2016-08,Uber,Manhattan,61104
2016-08-08,2016-08,Uber,Queens,14275
2016-08-08,2016-08,Uber,Staten Island,397
2016-08-08,2016-08,Uber,Unknown,116
2016-08-09,2016-08,Uber,Bronx,2751
2016-08-09,2016-08,Uber,Brooklyn,20167
2016-08-09,2016-08,Uber,Manhattan,68452
2016-08-09,2016-08,Uber,Queens,12943
2016-08-09,2016-08,Uber,Staten Island,378
2016-08-09,2016-08,Uber,Unknown,100
