pickup_date,pickup_month,company,borough,trips
2016-05-01,2016-05,Uber,Bronx,3908
2016-05-01,2016-05,Uber,Brooklyn,34500
2016-05-01,2016-05,Uber,Manhattan,80431
2016-05-01,2016-05,Uber,Queens,19628
2016-05-01,2016-05,Uber,Staten Island,471
2016-05-01,2016-05,Uber,Unknown,174
2016-05-02,2016-05,Uber,Bronx,3014
2016-05-02,2016-05,Uber,Brooklyn,20708
2016-05-02,2016-05,Uber,Manhattan,67127
2016-05-02,2016-05,Uber,Queens,16435
2016-05-02,2016-05,Uber,Staten Island,606
2016-05-02,2016-05,Uber,Unknown,141
2016-05-03,2016-05,Uber,Bronx,4947
2016-05-03,2016-05,Uber,Brooklyn,24341
2016-05-03,2016-05,Uber,Manhattan,87446
2016-05-03,2016-05,Uber,Queens,16281
2016-05-03,2016-05,Uber,Staten Island,417
2016-05-03,2016-05,Uber,Unknown,132
2016-05-04,2016-05,Uber,Bronx,3540
2016-05-04,2016-05,Uber,Brooklyn,24754
2016-05-04,2016-05,Uber,Manhattan,89129
2016-05-04,2016-05,Uber,Queens,18030
2016-05-04,2016-05,Uber,Staten Island,425
2016-05-04,2016-05,Uber,Unknown,117
2016-05-05,2016-05,Uber,Bronx,3857
2016-05-05,2016-05,Uber,Brooklyn,34332
2016-05-05,2016-05,Uber,Manhattan,95537
2016-05-05,2016-05,Uber,Queens,17068
2016-05-05,2016-05,Uber,Staten Island,573
2016-05-05,2016-05,Uber,Unknown,124
2016-05-06,2016-05,Uber,Bronx,4865
2016-05-06,2016-05,Uber,Brooklyn,33401
2016-05-06,2016-05,Uber,Manhattan,125143
2016-05-06,2016-05,Uber,Queens,19278
2016-05-06,2016-05,Uber,Staten Island,699
2016-05-06,2016-05,Uber,Unknown,168
2016-05-07,2016-05,Uber,Bronx,5185
2016-05-07,2016-05,Uber,Brooklyn,42545
2016-05-07,2016-05,Uber,Manhattan,99933
2016-05-07,2016-05,Uber,Queens,20220
2016-05-07,2016-05,Uber,Staten Island,636
2016-05-07,2016-05,Uber,Unknown,202
2016-05-08,2016-05,Uber,Bronx,5173
2016-05-08,2016-05,Uber,Brooklyn,38165
2016-05-08,2016-05,Uber,Manhattan,78910
2016-05-08,2016-05,Uber,Queens,21199
2016-05-08,2016-05,Uber,Staten Island,521
2016-05-08,2016-05,Uber,Unknown,176
2016-05-09,2016-05,Uber,Bronx,3244
2016-05-09,2016-05,Uber,Brooklyn,20498
2016-05-09,2016-05,Uber,Manhattan,62003
2016-05-09,2016-05,Uber,Queens,15702
2016-05-09,2016-05,Uber,Staten Island,370
2016-05-09,2016-05,Uber,Unknown,115
2016-05-10,2016-05,Uber,Bronx,3374
